ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
10842,0.041931215996267986,,TilizeWithValPaddingDeviceOperation,2,16.314,,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3809282.0,,TilizeWithValPaddingDeviceOperation
10845,0.2206670723393154,,TilizeWithValPaddingDeviceOperation,3,3.15,82.704,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3810307.0,,TilizeWithValPaddingDeviceOperation
10850,0.32248790853473996,,TilizeWithValPaddingDeviceOperation,2,3.14,122.329,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3811330.0,,TilizeWithValPaddingDeviceOperation
10853,0.5025654404172045,,LayerNormDeviceOperation,3,26.252,169.279,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_5_DRAM_INTERLEAVED,,,,3812355.0,,LayerNormDeviceOperation
10857,0.20914716856983684,SLOW,MatmulDeviceOperation 64 x 2048 x 4608,3,45.876,35.496,72.0,224.2818031214578,43.80503967215973,26.330969395762487,13.22728256201096,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_5_DRAM_INTERLEAVED,2,2,2,3813379.0,If possible place input 0 in L1 (currently in DEV_5_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy,MatmulDeviceOperation
10862,0.018917111053851438,,SliceDeviceOperation,2,3.081,4.279,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3814402.0,,SliceDeviceOperation
10866,0.06475769198393845,,SliceDeviceOperation,2,0.952,24.243,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3815426.0,,SliceDeviceOperation
10871,0.06778802811607036,,SliceDeviceOperation,0,0.948,25.426,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3816448.0,,SliceDeviceOperation
10876,0.1865931401054963,,ReshapeViewDeviceOperation,1,36.66,35.937,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3817473.0,,ReshapeViewDeviceOperation
10880,0.016516488536963227,,SliceDeviceOperation,1,3.513,2.913,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3818497.0,,SliceDeviceOperation
10884,0.09564707250638228,,SliceDeviceOperation,1,3.528,33.685,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3819521.0,,SliceDeviceOperation
10885,0.15943577660074165,,ReshapeViewDeviceOperation,3,39.284,22.747,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3820547.0,,ReshapeViewDeviceOperation
10892,0.030090029770032445,,TransposeDeviceOperation,1,5.246,6.461,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3821569.0,,TransposeDeviceOperation
10895,0.07072583490065626,,ReshapeViewDeviceOperation,0,5.192,22.325,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3822592.0,,ReshapeViewDeviceOperation
10900,0.08260043450239453,,TransposeDeviceOperation,1,3.472,28.665,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3823617.0,,TransposeDeviceOperation
10903,0.050970819199582594,,ReshapeViewDeviceOperation,0,5.661,14.17,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,3824640.0,,ReshapeViewDeviceOperation
