sample	disabled_cycles	enabled_cycles
0	801	953
1	802	954
2	802	957
3	802	958
4	803	960
5	804	961
6	804	962
7	804	966
8	805	967
9	806	968
10	806	971
11	808	971
12	810	972
13	812	973
14	813	974
15	815	974
16	816	977
17	817	978
18	817	980
19	817	982
20	818	989
21	818	1000
22	819	1011
23	820	1014
24	824	1016
25	834	1021
26	837	1027
27	841	1033
28	844	1034
29	865	1037
30	926	1043
31	1228	1372
32	1261	1530
