pair	position	arm	us
53	3	baseline_original	51099
53	4	baseline_noop	51726
54	1	baseline_noop	52241
54	2	baseline_original	51058
54	3	current_enabled	52371
54	4	current_disabled	51719
55	1	current_disabled	56164
55	2	current_enabled	82493
55	3	baseline_original	50151
55	4	baseline_noop	50480
56	1	baseline_noop	51104
56	2	baseline_original	50795
56	3	current_enabled	52194
56	4	current_disabled	51846
57	1	current_disabled	52057
57	2	current_enabled	51391
57	3	baseline_original	52715
57	4	baseline_noop	51609
58	1	baseline_noop	52029
58	2	baseline_original	51334
58	3	current_enabled	50704
58	4	current_disabled	52489
59	1	current_disabled	50794
59	2	current_enabled	51098
59	3	baseline_original	51496
59	4	baseline_noop	51772
60	1	baseline_noop	51896
60	2	baseline_original	51139
60	3	current_enabled	51575
60	4	current_disabled	53438
