pair	mode	microseconds
1	baseline	52945
1	enabled	53604
2	enabled	52965
2	baseline	52613
3	baseline	52336
3	enabled	51679
4	enabled	53752
4	baseline	56031
5	baseline	52889
5	enabled	52678
6	enabled	51266
6	baseline	52995
7	baseline	53763
7	enabled	54049
8	enabled	52578
8	baseline	52870
9	baseline	52466
9	enabled	53061
10	enabled	52694
10	baseline	52761
11	baseline	52056
11	enabled	52778
12	enabled	52356
12	baseline	51704
13	baseline	51276
13	enabled	52856
14	enabled	52483
14	baseline	51449
15	baseline	51557
15	enabled	52582
16	enabled	51056
16	baseline	55100
17	baseline	51312
17	enabled	53195
18	enabled	54569
18	baseline	52000
19	baseline	53298
19	enabled	54877
20	enabled	53926
20	baseline	51966
21	baseline	52132
21	enabled	52467
22	enabled	52088
22	baseline	53746
23	baseline	51726
23	enabled	54823
24	enabled	51580
24	baseline	50884
25	baseline	52190
25	enabled	52983
26	enabled	51775
26	baseline	52142
27	baseline	52123
27	enabled	52359
28	enabled	54026
28	baseline	52428
29	baseline	52483
29	enabled	53934
30	enabled	55220
30	baseline	55313
