pair	disabled_us	enabled_us	order
1	51432	53038	enabled-disabled
2	50570	52278	disabled-enabled
3	52472	52541	enabled-disabled
4	51315	53397	disabled-enabled
5	53434	52018	enabled-disabled
6	53028	54299	disabled-enabled
7	52800	53293	enabled-disabled
8	50837	52689	disabled-enabled
9	50430	52160	enabled-disabled
10	51596	51975	disabled-enabled
11	51358	51966	enabled-disabled
12	51638	52663	disabled-enabled
13	52021	53149	enabled-disabled
14	52305	51147	disabled-enabled
15	51521	51206	enabled-disabled
16	50875	52356	disabled-enabled
17	52618	51441	enabled-disabled
18	60479	56293	disabled-enabled
19	50930	52947	enabled-disabled
20	52587	51473	disabled-enabled
21	50145	51156	enabled-disabled
22	51029	53936	disabled-enabled
23	51258	53441	enabled-disabled
24	51328	53418	disabled-enabled
25	52649	52589	enabled-disabled
26	51451	53345	disabled-enabled
27	51621	53925	enabled-disabled
28	51409	53383	disabled-enabled
29	52355	56575	enabled-disabled
30	52891	52474	disabled-enabled
