sample	disabled_go_tail_cycles	enabled_go_tail_cycles
1	919	979
2	814	1155
3	799	1085
4	798	1047
5	808	1079
6	1265	1548
7	810	1060
8	799	1041
9	822	1052
10	820	1097
11	813	1032
12	836	1053
13	800	1055
14	819	1084
15	801	1038
16	818	1063
17	821	1055
18	800	1083
19	1209	1465
20	814	1089
21	802	1058
22	827	1071
23	817	1070
24	810	1068
25	796	1057
26	822	1078
27	845	1037
28	817	1048
29	798	1076
30	815	1100
31	803	1047
32	846	1078
33	821	1084
