pair	mode	microseconds
1	baseline	51753
1	disabled	52070
2	disabled	50071
2	baseline	51965
3	baseline	51930
3	disabled	51296
4	disabled	49931
4	baseline	51873
5	baseline	50923
5	disabled	50668
6	disabled	50148
6	baseline	51328
7	baseline	52341
7	disabled	52417
8	disabled	62489
8	baseline	50666
9	baseline	50621
9	disabled	52695
10	disabled	50034
10	baseline	51099
11	baseline	51901
11	disabled	50783
12	disabled	51416
12	baseline	52302
13	baseline	51615
13	disabled	50055
14	disabled	52119
14	baseline	51243
15	baseline	51138
15	disabled	50746
16	disabled	52050
16	baseline	51058
17	baseline	51274
17	disabled	52030
18	disabled	50141
18	baseline	51043
19	baseline	51795
19	disabled	52286
20	disabled	54800
20	baseline	50719
21	baseline	51427
21	disabled	52591
22	disabled	50974
22	baseline	52405
23	baseline	51902
23	disabled	52073
24	disabled	50753
24	baseline	51295
25	baseline	51049
25	disabled	51060
26	disabled	51226
26	baseline	52768
27	baseline	51992
27	disabled	51828
28	disabled	51278
28	baseline	51738
29	baseline	51359
29	disabled	51154
30	disabled	50337
30	baseline	52119
