activation,precision,config_csv,native_maxulp,native_meanulp,native_us,native_pure,native_ml,ours_maxulp,ours_meanulp,ours_us,ours_pure,ours_ml,range_min,range_max,tiles,status
asin,bf16,asin_p11_s1_uniform_any_ulp.csv,1.504632769052528e-36,9.25699993264752e-41,5.71,128.0,99.80927771625446,1.00,0.00,2.27,128.0,99.395751953125,-0.99,0.99,256,pass
cbrt,bf16,cbrt_p3_s1_uniform_any_ulp.csv,1.0,0.00035093876122677125,2.13,255.0,97.52003275428439,1.00,0.00,4.96,1.0,97.5738525390625,-100.0,100.0,256,pass
digamma,bf16,digamma_n5d5_s1_uniform_rational_ulp.csv,1.0,0.06651064070089122,6.63,1.0,29.266862170087975,1.00,0.01,3.42,1.0,51.85813903808594,0.01,102.0,256,pass
erfinv,bf16,erfinv_n5d2_s1_uniform_rational_ulp.csv,1.0,0.004832314113064476,5.96,255.0,99.45244247569829,2.00,0.01,2.38,129.0,99.127197265625,-0.99,0.99,256,pass
gelu,bf16,gelu_p11_s4_uniform_any_max.csv,0.125,9.655709452335051e-06,5.75,253.0,99.66712649193306,0.25,0.00,7.36,2.512298968886651e+24,99.64599609375,-10.0,10.0,256,pass
hardswish,bf16,hardswish_p2_s3_uniform_any_ulp.csv,0.25,0.0005611954242927673,2.00,128.0,99.35524500689738,0.02,0.00,2.08,128.0,99.7772216796875,-10.0,10.0,256,pass
identity,bf16,identity_p1_s1_uniform_any_ulp.csv,1.7540579766176321e-38,3.679202061433659e-40,0.16,191.0,100.0,0.00,0.00,0.13,0.0,100.0,-128.0,128.0,256,pass
log10,bf16,log10_p5_s1_uniform_any_ulp.csv,0.5,0.005336707746478873,2.47,1.0,94.71830985915493,0.50,0.00,2.47,2.0,94.71969604492188,0.1,10.0,256,pass
logsigmoid,bf16,logsigmoid_p8_s2_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,-,-,FAILED,0.0,9.901046752929688,-10.0,10.0,256,native_fail
prelu,bf16,prelu_p1_s2_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,0.00,0.00,1.81,128.0,100.0,-10.0,10.0,256,native_fail
relu_min,bf16,relu_min_p1_s2_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,0.00,0.00,1.79,0.0,100.0,-10.0,10.0,256,native_fail
sigmoid_accurate,bf16,sigmoid_accurate_p2_s1_uniform_fpminimax_ulp.csv,0.5,0.0032268618662213045,2.88,1.0,99.22329514784381,0.50,0.00,2.47,1.0,99.2095947265625,-10.0,10.0,256,pass
softplus,bf16,softplus_n10d4_s1_uniform_rational_ulp.csv,0.125,9.486282450217746e-05,5.31,1.0,10.265099262280334,0.25,0.00,4.09,1.0,9.685516357421875,-10.0,10.0,256,pass
swish,bf16,swish_n6d4_s1_uniform_rational_ulp.csv,0.25,9.19663955431311e-05,3.12,128.0,99.43921309902237,0.50,0.00,3.42,1.724004816310392e+33,99.29046630859375,-10.0,10.0,256,pass
threshold,bf16,threshold_p1_s2_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,0.00,0.00,1.79,0.0,100.0,-10.0,10.0,256,native_fail
