Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
61.58,MatmulDeviceOperation (in0:l1_interleaved),8414.35,64,Compute,4.42,40.73,13.91,10.94,7.72
8.55,MatmulDeviceOperation (in0:width_sharded),1167.92,64,Compute,44.47,67.66,53.99,9.71,58.71
4.80,SparseMatmulDeviceOperation (in0:l1_interleaved),655.36,16,Compute,,,,,
3.09,LayerNormDeviceOperation (in0:width_sharded),421.78,72,Compute,,,,,
2.92,SdpaDecodeDeviceOperation (in0:dram_interleaved),398.99,16,Compute,,,,,
1.79,UntilizeCodegenDeviceOperation (in0:l1_interleaved),244.47,16,Other,,,,,
1.77,FillPadDeviceOperation (in0:l1_interleaved),241.57,40,TM,,,,,
1.71,BinaryNgDeviceOperation (in0:l1_interleaved),233.99,64,Compute,,,,,
1.38,MatmulDeviceOperation (in0:dram_interleaved),188.15,16,Compute,12.71,13.01,12.90,0.08,12.90
1.37,SliceDeviceOperation (in0:l1_interleaved),187.18,144,TM,,,,,
1.36,ReshapeViewDeviceOperation (in0:l1_interleaved),185.45,24,TM,,,,,
1.10,TransposeDeviceOperation (in0:dram_interleaved),150.03,48,TM,,,,,
0.93,InterleavedToShardedDeviceOperation (in0:l1_interleaved),126.75,104,DM,,,,,
0.86,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),117.48,24,TM,,,,,
0.79,ShardedToInterleavedDeviceOperation (in0:width_sharded),107.85,88,DM,,,,,
0.78,TopKDeviceOperation (in0:l1_interleaved),107.01,8,Other,,,,,
0.54,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),74.12,24,TM,,,,,
0.51,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),70.26,16,DM,,,,,
0.48,UnaryDeviceOperation (in0:l1_interleaved),65.68,24,Compute,,,,,
0.47,InterleavedToShardedDeviceOperation (in0:dram_interleaved),64.57,88,DM,,,,,
0.45,BinaryNgDeviceOperation (in0:width_sharded),60.84,40,Compute,,,,,
0.44,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),60.72,32,Compute,,,,,
0.40,TransposeDeviceOperation (in0:l1_interleaved),53.99,16,TM,,,,,
0.25,TypecastDeviceOperation (in0:l1_interleaved),34.49,24,TM,,,,,
0.21,FastReduceNCDeviceOperation (in0:l1_interleaved),29.07,16,Compute,,,,,
0.20,EmbeddingsDeviceOperation (in0:dram_interleaved),27.85,24,Compute,,,,,
0.20,ConcatDeviceOperation (in0:dram_interleaved),27.14,16,TM,,,,,
0.19,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),25.32,16,TM,,,,,
0.18,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),24.02,24,TM,,,,,
0.17,ConcatDeviceOperation (in0:l1_interleaved),23.76,16,TM,,,,,
0.12,ShardedToInterleavedDeviceOperation (in0:height_sharded),16.35,32,DM,,,,,
0.11,ReduceDeviceOperation (in0:l1_interleaved),15.46,8,Compute,,,,,
0.09,EmbeddingsDeviceOperation (in0:l1_interleaved),12.02,8,Compute,,,,,
0.08,UnaryDeviceOperation (in0:dram_interleaved),11.45,8,Compute,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),7.28,8,TM,,,,,
0.05,SliceDeviceOperation (in0:dram_interleaved),7.08,8,TM,,,,,
0.04,PlusOneDeviceOperation (in0:dram_interleaved),4.94,8,Other,,,,,
