Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
38.30,MatmulDeviceOperation (in0:l1_interleaved),8434.87,64,Compute,4.39,40.58,13.76,10.98,7.70
24.15,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),5319.08,32,Other,,,,,
5.30,MatmulDeviceOperation (in0:width_sharded),1167.27,64,Compute,45.06,67.77,54.04,9.65,58.74
2.98,TopkRouteFinishDeviceOperation (in0:dram_interleaved),656.23,32,Other,,,,,
2.98,SparseMatmulDeviceOperation (in0:l1_interleaved),655.39,16,Compute,,,,,
2.48,TopkRoutePrepDeviceOperation (in0:dram_interleaved),546.14,32,Other,,,,,
2.07,SliceDeviceOperation (in0:dram_interleaved),456.78,40,TM,,,,,
1.92,LayerNormDeviceOperation (in0:width_sharded),421.75,72,Compute,,,,,
1.81,SdpaDecodeDeviceOperation (in0:dram_interleaved),398.83,16,Compute,,,,,
1.47,CopyDeviceOperation (in0:l1_interleaved),324.14,8,DM,,,,,
1.33,BinaryNgDeviceOperation (in0:dram_interleaved),292.18,96,Compute,,,,,
1.11,UntilizeCodegenDeviceOperation (in0:l1_interleaved),244.48,16,Other,,,,,
1.10,FillPadDeviceOperation (in0:l1_interleaved),242.54,40,TM,,,,,
1.06,BinaryNgDeviceOperation (in0:l1_interleaved),233.63,64,Compute,,,,,
1.04,TypecastDeviceOperation (in0:l1_interleaved),229.32,32,TM,,,,,
0.99,SamplingDeviceOperation (in0:dram_interleaved),218.40,8,Other,,,,,
0.86,MatmulDeviceOperation (in0:dram_interleaved),188.38,16,Compute,12.75,13.06,12.89,0.09,12.89
0.85,SliceDeviceOperation (in0:l1_interleaved),187.47,144,TM,,,,,
0.84,ReshapeViewDeviceOperation (in0:l1_interleaved),185.56,24,TM,,,,,
0.69,TransposeDeviceOperation (in0:dram_interleaved),151.31,48,TM,,,,,
0.67,ManualSeedDeviceOperation (in0:dram_interleaved),147.49,8,Other,,,,,
0.57,InterleavedToShardedDeviceOperation (in0:l1_interleaved),125.15,104,DM,,,,,
0.54,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),118.40,24,TM,,,,,
0.49,ShardedToInterleavedDeviceOperation (in0:width_sharded),107.98,88,DM,,,,,
0.49,TopKDeviceOperation (in0:l1_interleaved),107.02,8,Other,,,,,
0.34,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),74.02,24,TM,,,,,
0.32,TypecastDeviceOperation (in0:dram_interleaved),71.24,40,TM,,,,,
0.32,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),70.43,16,DM,,,,,
0.30,UnaryDeviceOperation (in0:l1_interleaved),66.08,24,Compute,,,,,
0.29,InterleavedToShardedDeviceOperation (in0:dram_interleaved),64.74,88,DM,,,,,
0.28,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),60.75,32,Compute,,,,,
0.27,BinaryNgDeviceOperation (in0:width_sharded),60.55,40,Compute,,,,,
0.24,TransposeDeviceOperation (in0:l1_interleaved),53.91,16,TM,,,,,
0.24,ConcatDeviceOperation (in0:dram_interleaved),52.81,32,TM,,,,,
0.20,ReduceDeviceOperation (in0:dram_interleaved),44.40,16,Compute,,,,,
0.16,UntilizeDeviceOperation (in0:dram_interleaved),34.72,8,TM,,,,,
0.13,FastReduceNCDeviceOperation (in0:l1_interleaved),28.98,16,Compute,,,,,
0.13,EmbeddingsDeviceOperation (in0:dram_interleaved),28.01,24,Compute,,,,,
0.13,UnaryDeviceOperation (in0:dram_interleaved),27.73,16,Compute,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),25.32,16,TM,,,,,
0.11,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),24.14,24,TM,,,,,
0.11,ConcatDeviceOperation (in0:l1_interleaved),23.79,16,TM,,,,,
0.07,ShardedToInterleavedDeviceOperation (in0:height_sharded),16.43,32,DM,,,,,
0.07,ReduceDeviceOperation (in0:l1_interleaved),15.37,8,Compute,,,,,
0.06,EmbeddingsDeviceOperation (in0:l1_interleaved),12.75,8,Compute,,,,,
0.02,PlusOneDeviceOperation (in0:dram_interleaved),4.95,8,Other,,,,,
