ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
25807,3.027906319170785,SLOW,MatmulDeviceOperation 32 x 2048 x 4608,3,41.442,,72.0,237.9993243569326,46.4842430384634,14.574098161285653,7.3212539792338065,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_11_DRAM_INTERLEAVED,2,1,2,8003587.0,If possible place input 0 in L1 (currently in DEV_11_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy,MatmulDeviceOperation
25812,0.16658526151511485,,SliceDeviceOperation,3,1.696,0.584,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_11_DRAM_INTERLEAVED,,,,8008707.0,,SliceDeviceOperation
25819,0.37299024562923744,,RotaryEmbeddingDeviceOperation,3,3.598,1.507,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_11_DRAM_INTERLEAVED,,,,8015875.0,,RotaryEmbeddingDeviceOperation
25820,0.16607381553677897,,SliceDeviceOperation,3,1.652,0.621,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_11_DRAM_INTERLEAVED,,,,8016899.0,,SliceDeviceOperation
25828,0.17206503985442786,,InterleavedToShardedDeviceOperation,3,0.833,1.522,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_11_DRAM_INTERLEAVED,,,,8025091.0,,InterleavedToShardedDeviceOperation
25833,1.0259606325417732,,SdpaDecodeDeviceOperation,3,7.139,6.903,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_11_DRAM_INTERLEAVED,,,,8030211.0,,SdpaDecodeDeviceOperation
25834,0.22116385377467226,,ReshapeViewDeviceOperation,3,2.483,0.544,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_11_DRAM_INTERLEAVED,,,,8031235.0,,ReshapeViewDeviceOperation
25843,0.40163122041604665,,FillPadDeviceOperation,3,4.885,0.612,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_8_DRAM_INTERLEAVED,,,,8040451.0,,FillPadDeviceOperation
25847,0.8582063516476051,,FillPadDeviceOperation,3,10.223,1.523,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_8_DRAM_INTERLEAVED,,,,8044547.0,,FillPadDeviceOperation
25848,0.20501677360149662,,ReduceDeviceOperation,3,1.308,1.498,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8045571.0,,ReduceDeviceOperation
25850,0.18908888456189357,,UnaryDeviceOperation,3,2.067,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8047619.0,,UnaryDeviceOperation
25856,0.4296876855133292,,UntilizeWithUnpaddingDeviceOperation,3,4.398,1.483,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8053763.0,,UntilizeWithUnpaddingDeviceOperation
25858,0.8826096311853455,,TilizeWithValPaddingDeviceOperation,3,10.567,1.513,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8055811.0,,TilizeWithValPaddingDeviceOperation
25859,3.304598593450496,,UnaryDeviceOperation,3,44.69,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8056835.0,,UnaryDeviceOperation
25862,0.16870410913964923,,SliceDeviceOperation,3,1.816,0.493,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8059907.0,,SliceDeviceOperation
25865,1.2683860262729802,,TransposeDeviceOperation,3,16.882,0.478,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8062979.0,,TransposeDeviceOperation
25866,12.89106894766702,,UnaryDeviceOperation,3,175.849,0.587,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,8064003.0,,UnaryDeviceOperation
25876,2.173353153082722,SLOW,MatmulDeviceOperation 32 x 2048 x 512,3,29.192,0.554,16.0,41.5324746505892,8.111811455193203,2.2988785968758565,5.196756087411061,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_5_DRAM_INTERLEAVED,2,1,1,8074243.0,"If possible place input 0 in L1 (currently in DEV_5_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy",MatmulDeviceOperation
25878,0.16563543326963395,,SliceDeviceOperation,3,1.566,0.701,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_5_DRAM_INTERLEAVED,,,,8076291.0,,SliceDeviceOperation
25880,0.5509003823789325,SLOW,MatmulDeviceOperation 32 x 256 x 2048,3,7.001,0.539,64.0,95.94972146836166,18.740179974289386,4.792805599200114,2.7086077650282765,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_5_DRAM_INTERLEAVED,2,1,1,8078339.0,"If possible place input 0 in L1 (currently in DEV_5_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy",MatmulDeviceOperation
25885,0.20837770431627525,,BinaryNgDeviceOperation,3,2.316,0.536,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,8083459.0,,BinaryNgDeviceOperation
