GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,32,110,,,330,1060,8855456834494,8855456835925,569,8855456834991,8855456835759,473,8855456835120,8855456835759,378,183,358,206,444,,0,0
2051,,,3,blackhole,,1,110,,,76,2144,8855463965759,8855463968653,1604,8855463966341,8855463968507,1604,8855463966341,8855463968507,1529,1080,1159,144,1190,,5280449,5280449
3075,,,3,blackhole,,1,110,,,9,1815,8855469184024,8855469186474,1271,8855469184609,8855469186325,1268,8855469184613,8855469186325,1262,547,641,910,202,,3863442,3863331
4099,,,3,blackhole,,7,110,,,233,11430,8855480306074,8855480321505,10803,8855480306772,8855480321356,10803,8855480306772,8855480321356,10779,1941,1988,2001,2290,,8237396,8237396
5123,,,3,blackhole,,1,110,,,27,3089,8855491093352,8855491097522,2536,8855491093951,8855491097375,2536,8855491093951,8855491097375,2509,1710,1777,107,1859,,7978768,7978768
6147,,,3,blackhole,,7,110,,,101,11457,8855491277401,8855491292868,10848,8855491278076,8855491292721,10841,8855491278085,8855491292721,10809,1938,1991,2006,2297,,133851,133853
7171,,,3,blackhole,,1,110,,,40,3205,8855491304969,8855491309296,2668,8855491305545,8855491309147,2656,8855491305561,8855491309147,2629,1833,1912,111,1970,,9499,9510
8195,,,3,blackhole,,110,110,,,304,3873,8855494654368,8855494659596,3259,8855494655042,8855494659442,3259,8855494655042,8855494659442,3236,913,,,,,2478244,2478244
9219,,,3,blackhole,,110,110,,,165,3960,8855494839425,8855494844771,3360,8855494840078,8855494844614,3360,8855494840078,8855494844614,3348,977,,,,,133804,133804
10243,,,3,blackhole,,32,110,,,164,2046,8855497314995,8855497317757,1087,8855497316115,8855497317582,1087,8855497316115,8855497317582,1087,1076,,,,,1831303,1831303
11267,,,3,blackhole,,32,110,,,170,2064,8855497439599,8855497442385,1099,8855497440714,8855497442198,1099,8855497440714,8855497442198,1096,1097,,,,,91187,91187
12291,,,3,blackhole,,64,110,,,218,14827,8855506060224,8855506080240,13841,8855506061411,8855506080096,13840,8855506061412,8855506080096,13840,13270,13319,232,731,,6384722,6384603
13315,,,3,blackhole,,32,110,,,152,1800,8855506437298,8855506439728,1236,8855506437902,8855506439570,1236,8855506437902,8855506439570,1210,1229,,,,,265137,265137
14339,,,3,blackhole,,32,110,,,403,7456,8855519844171,8855519854236,6209,8855519845675,8855519854057,6135,8855519845775,8855519854057,5612,2431,6122,5793,6074,,9930626,9930822
15363,,,3,blackhole,,80,110,,,215,93645,8856050438501,8856050564922,93072,8856050439135,8856050564782,93072,8856050439135,8856050564782,93007,86891,91128,91380,91810,,393026609,393026609
16387,,,3,blackhole,,32,110,,,170,1876,8856053387450,8856053389982,951,8856053388548,8856053389832,951,8856053388548,8856053389832,944,199,,,,,2091434,2091434
17411,,,3,blackhole,,32,110,,,187,17990,8856057054556,8856057078843,17401,8856057055205,8856057078697,17401,8856057055205,8856057078697,17360,17271,,,,,2715016,2715016
18435,,,3,blackhole,,32,110,,,267,2618,8856063435237,8856063438771,2041,8856063435841,8856063438596,,,,,,1919,1701,1858,,4709594,
19459,,,3,blackhole,,32,110,,,293,2634,8856063795386,8856063798942,2058,8856063795987,8856063798765,,,,,,1937,1724,1884,,264763,
20483,,,3,blackhole,,32,110,,,399,13206,8856071509599,8856071527427,12647,8856071510196,8856071527270,12502,8856071510392,8856071527270,12412,11434,11757,11790,11950,,5711987,10689954
21507,,,3,blackhole,,32,110,,,354,12916,8856071645892,8856071663328,12348,8856071646503,8856071663173,12243,8856071646645,8856071663173,12129,11182,11489,11501,11686,,88320,88426
22531,,,3,blackhole,,64,110,,,581,61636,8856083584538,8856083667746,60990,8856083585267,8856083667604,60756,8856083585584,8856083667604,60619,57226,59145,59404,59353,,8831127,8831480
23555,,,3,blackhole,,32,110,,,153,1752,8856084105747,8856084108112,1192,8856084106343,8856084107952,1192,8856084106343,8856084107952,1163,1184,,,,,325032,325032
24579,,,3,blackhole,,32,110,,,202,6301,8856086651918,8856086660424,5355,8856086653041,8856086660270,5355,8856086653041,8856086660270,5354,5058,,,,,1885316,1885316
25603,,,3,blackhole,,110,110,,,258,66218,8856093793716,8856093883110,65623,8856093794373,8856093882964,65623,8856093794373,8856093882964,65555,61596,63996,64249,64688,,5284524,5284524
26627,,,3,blackhole,,32,110,,,151,1956,8856096870474,8856096873114,1388,8856096871081,8856096872955,1388,8856096871081,8856096872955,136,1388,,,,,2213184,2213184
27651,,,3,blackhole,,110,110,,,176,1185,8856102902744,8856102904344,562,8856102903401,8856102904160,550,8856102903417,8856102904160,151,247,498,325,558,,4465231,4464003
28675,,,3,blackhole,,32,110,,,368,7459,8856103348827,8856103358896,6207,8856103350344,8856103358724,6133,8856103350445,8856103358724,5587,2455,6121,5781,6059,,330485,330603
29699,,,3,blackhole,,80,110,,,201,110078,8858661494814,8858661643419,109501,8858661495448,8858661643275,109497,8858661495454,8858661643275,109444,100558,107107,107137,107421,,1894907760,1894915455
30723,,,3,blackhole,,80,110,,,191,110118,8858661839572,8858661988231,109530,8858661840226,8858661988092,109520,8858661840240,8858661988092,109476,100553,107107,107130,107399,,145889,145900
31747,,,3,blackhole,,110,110,,,275,11840,8858670190553,8858670206537,11242,8858670191207,8858670206384,11216,8858670191243,8858670206384,11159,7313,10370,10903,10273,,6076261,6076649
32771,,,3,blackhole,,80,110,,,198,115428,8858678367152,8858678522980,114843,8858678367802,8858678522840,114843,8858678367802,8858678522840,114782,111321,113711,113744,114022,,6045497,6045497
33795,,,3,blackhole,,32,110,,,166,1928,8858678602158,8858678604761,1364,8858678602762,8858678604603,1364,8858678602762,8858678604603,156,1364,,,,,59214,59214
