candidate,status,prefix_len,rep,real_weight_decode_pcc,trace_vs_eager_pcc,prefill_ms,eager_decode_ms,traced_decode_ms,error
bf16_cache,ok,16,0,0.9994682144570992,1.0,132.29314796626568,2.955253701657057,0.5018273368477821,
bf16_cache,ok,17,0,0.9992807441048474,1.0,43.27603708952665,1.544201746582985,0.5058371461927891,
bfloat8_b_cache,ok,16,0,0.9994673595855361,1.0,10.352564044296741,1.6986611299216747,0.5036471411585808,
bfloat8_b_cache,ok,17,0,0.9992873744338733,1.0,3.4351921640336514,1.6838209703564644,0.5049980245530605,
bf16_cache,ok,16,1,0.9994682144570992,1.0,2.064058091491461,1.6996907070279121,0.5053668282926083,
bf16_cache,ok,17,1,0.9992807441048474,1.0,2.1239779889583588,1.7387610860168934,0.5028871819376945,
bfloat8_b_cache,ok,16,1,0.9994673595855361,1.0,2.149309031665325,1.7178896814584732,0.5033370107412338,
bfloat8_b_cache,ok,17,1,0.9992873744338733,1.0,2.1949978545308113,1.7161210998892784,0.5015567876398563,
bf16_cache,ok,16,2,0.9994682144570992,1.0,2.1015089005231857,1.7160610295832157,0.5046366713941097,
bf16_cache,ok,17,2,0.9992807441048474,1.0,2.1011880598962307,1.7569409683346748,0.5058469250798225,
bfloat8_b_cache,ok,16,2,0.9994673595855361,1.0,2.192018087953329,1.726530957967043,0.505298376083374,
bfloat8_b_cache,ok,17,2,0.9992873744338733,1.0,2.183557953685522,1.692471094429493,0.5035782232880592,
