GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,64,110,,,315,4248,2630627398680,2630627404415,3372,2630627399705,2630627404257,3371,2630627399706,2630627404257,3371,2987,2996,224,3049,,0,0
2051,,,3,blackhole,,64,110,,,144,9011,2630634373358,2630634385523,8016,2630634374556,2630634385377,8016,2630634374556,2630634385377,8008,5538,5936,5894,5973,,5163471,5163471
3075,,,3,blackhole,,64,110,,,139,4233,2644218073635,2644218079350,3242,2644218074825,2644218079202,3242,2644218074825,2644218079202,3242,2815,2842,220,2890,,10061302534,10061302534
4099,,,3,blackhole,,1,110,,,94,6093,2644225608714,2644225616940,5565,2644225609281,2644225616794,5565,2644225609281,2644225616794,5471,4764,4764,107,4824,,5577651,5577651
5123,,,3,blackhole,,1,110,,,104,6101,2644225886918,2644225895155,5579,2644225887475,2644225895006,5572,2644225887484,2644225895006,5475,4773,4766,107,4827,,200522,200516
6147,,,3,blackhole,,1,110,,,216,26555,2644322098510,2644322134359,26014,2644322099088,2644322134207,25886,2644322099261,2644322134207,25798,12341,24972,25049,25240,,71262080,71262615
7171,,,3,blackhole,,80,110,,,442,44857,2644328667831,2644328728388,43037,2644328670129,2644328728229,43037,2644328670129,2644328728229,43037,40481,40711,40637,40782,,4841420,4841420
8195,,,3,blackhole,,1,110,,,72,25944,2644331412304,2644331447329,25342,2644331412951,2644331447163,25342,2644331412951,2644331447163,25270,25311,,,,,1988666,1988666
9219,,,3,blackhole,,1,110,,,303,5608,2644336691583,2644336699154,5077,2644336692148,2644336699002,4931,2644336692345,2644336699002,4839,2919,4195,4226,4319,,3885146,3885232
10243,,,3,blackhole,,1,110,,,240,5587,2644336822785,2644336830328,5062,2644336823346,2644336830180,4925,2644336823531,2644336830180,4830,2906,4219,4210,4367,,92103,92240
11267,,,3,blackhole,,64,110,,,776,9550,2644344489376,2644344502269,8896,2644344490116,2644344502126,8664,2644344490430,2644344502126,8533,2972,6009,6304,6219,,5673838,5674453
12291,,,3,blackhole,,1,110,,,10,1141,2644347033438,2644347034978,601,2644347034015,2644347034827,601,2644347034015,2644347034827,601,584,,,,,1873972,1873972
13315,,,3,blackhole,,32,110,,,182,2253,2644349676291,2644349679332,1316,2644349677412,2644349679189,1316,2644349677412,2644349679189,1316,1199,,,,,1957030,1957030
14339,,,3,blackhole,,32,110,,,216,31136,2644355494194,2644355536228,30196,2644355495297,2644355536062,30196,2644355495297,2644355536062,30196,28678,28921,28853,28997,,4308186,4308186
15363,,,3,blackhole,,64,110,,,131,2209,2644358106156,2644358109138,1203,2644358107371,2644358108995,1203,2644358107371,2644358108995,1203,833,,,,,1904732,1904732
16387,,,3,blackhole,,110,110,,,273,2226,2644360913992,2644360916997,1642,2644360914635,2644360916852,1642,2644360914635,2644360916852,1614,1175,,,,,2077971,2077971
17411,,,3,blackhole,,4,110,,,139,25559,2644367280392,2644367314896,24606,2644367281518,2644367314736,24586,2644367281545,2644367314736,24583,23797,23992,23967,24040,,4714582,4714602
18435,,,3,blackhole,,4,110,,,85,1947,2644372453275,2644372455903,1364,2644372453910,2644372455752,1363,2644372453912,2644372455752,1363,645,740,1002,276,,3805556,3806900
19459,,,3,blackhole,,4,110,,,99,4534,2644377709209,2644377715330,3917,2644377709901,2644377715189,3910,2644377709910,2644377715189,3876,542,3441,3551,333,,3891925,3891600
20483,,,3,blackhole,,1,110,,,214,25197,2644383356519,2644383390535,24641,2644383357108,2644383390373,24641,2644383357108,2644383390373,24541,16519,23832,23903,24140,,4179243,4179243
21507,,,3,blackhole,,1,110,,,1,1293,2644383596137,2644383597882,753,2644383596724,2644383597741,753,2644383596724,2644383597741,753,559,,,,,152785,152785
22531,,,3,blackhole,,1,110,,,6,1279,2644386096444,2644386098170,753,2644386097013,2644386098030,753,2644386097013,2644386098030,753,550,,,,,1850493,1850493
23555,,,3,blackhole,,110,110,,,173,2534,2644391911099,2644391914520,1945,2644391911746,2644391914372,1944,2644391911748,2644391914372,1906,613,658,1459,330,,4306046,4307114
24579,,,3,blackhole,,110,110,,,182,1725,2644395905843,2644395908172,1140,2644395906484,2644395908023,1126,2644395906503,2644395908023,1116,656,705,742,323,,2957120,2957329
25603,,,3,blackhole,,1,110,,,99,2817,2644401114269,2644401118072,2299,2644401114822,2644401117925,2246,2644401114893,2644401117925,2200,1679,1717,1800,2033,,3857696,3857068
26627,,,3,blackhole,,1,110,,,65,1633,2644406421071,2644406423275,1083,2644406421665,2644406423127,1082,2644406421666,2644406423127,1018,509,542,119,736,,3928831,3927890
27651,,,3,blackhole,,1,110,,,65,1646,2644410838230,2644410840452,1099,2644410838821,2644410840305,1099,2644410838821,2644410840305,1034,512,521,117,720,,3270113,3270113
28675,,,3,blackhole,,1,110,,,37,3559,2644413371000,2644413375804,3035,2644413371565,2644413375662,3035,2644413371565,2644413375662,2998,2803,,,,,1875122,1875122
29699,,,3,blackhole,,1,110,,,106,6107,2644413705103,2644413713348,5564,2644413705688,2644413713200,5564,2644413705688,2644413713200,5479,4763,4783,108,4807,,244444,244444
30723,,,3,blackhole,,1,110,,,70,2764,2644414021678,2644414025410,2223,2644414022262,2644414025263,2222,2644414022263,2644414025263,2153,1670,1699,1739,1985,,228939,228913
31747,,,3,blackhole,,110,110,,,192,18587,2644419408725,2644419433817,18004,2644419409362,2644419433668,18000,2644419409368,2644419433668,17951,17576,17616,17636,17396,,3988123,3988226
32771,,,3,blackhole,,24,110,,,161,241533,2644425710217,2644426036287,240252,2644425711789,2644426036129,240249,2644425711793,2644426036129,240249,239599,240199,240190,240199,,4650463,4650465
33795,,,3,blackhole,,110,110,,,273,20096,2644433477279,2644433504409,18025,2644433479902,2644433504236,18024,2644433479903,2644433504236,18004,17634,17672,17361,17383,,5513849,5513771
34819,,,3,blackhole,,110,110,,,167,32722,2644441060311,2644441104486,32139,2644441060957,2644441104345,32139,2644441060957,2644441104345,32114,31707,,,,,5597526,5597526
35843,,,3,blackhole,,110,110,,,226,3456,2644449569679,2644449574345,1430,2644449572273,2644449574203,1424,2644449572281,2644449574203,1421,1039,1075,737,755,,6274164,6273851
36867,,,3,blackhole,,96,110,,,162,1898,2644452388523,2644452391085,837,2644452389799,2644452390929,837,2644452389799,2644452390929,836,570,,,,,2085534,2085534
37891,,,3,blackhole,,96,110,,,168,1879,2644452889754,2644452892291,837,2644452891014,2644452892144,837,2644452891014,2644452892144,837,576,,,,,370417,370417
38915,,,3,blackhole,,110,110,,,181,2576,2644457314942,2644457318419,1990,2644457315584,2644457318271,1990,2644457315584,2644457318271,1941,595,624,1589,384,,3276013,3276013
