csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d2_s1_uniform_rational_ulp.csv,abs,rational,10d2,1,fp32,16777216.00,3.14,1,[-128.0,128.0]
abs_n10d4_s1_uniform_rational_ulp.csv,abs,rational,10d4,1,fp32,16777216.00,3.17,1,[-128.0,128.0]
abs_n10d6_s1_uniform_rational_ulp.csv,abs,rational,10d6,1,fp32,16777216.00,3.16,1,[-128.0,128.0]
abs_n11d2_s1_uniform_rational_ulp.csv,abs,rational,11d2,1,fp32,16777216.00,3.22,1,[-128.0,128.0]
abs_n11d4_s1_uniform_rational_ulp.csv,abs,rational,11d4,1,fp32,16777216.00,3.23,1,[-128.0,128.0]
abs_n12d1_s1_uniform_rational_ulp.csv,abs,rational,12d1,1,fp32,16777216.00,3.20,1,[-128.0,128.0]
abs_n12d3_s1_uniform_rational_ulp.csv,abs,rational,12d3,1,fp32,16777216.00,3.20,1,[-128.0,128.0]
abs_n13d1_s1_uniform_rational_ulp.csv,abs,rational,13d1,1,fp32,16777216.00,3.26,1,[-128.0,128.0]
abs_n13d3_s1_uniform_rational_ulp.csv,abs,rational,13d3,1,fp32,16777216.00,3.25,1,[-128.0,128.0]
abs_n14d2_s1_uniform_rational_ulp.csv,abs,rational,14d2,1,fp32,16777216.00,3.27,1,[-128.0,128.0]
abs_n1d1_s1_uniform_rational_ulp.csv,abs,rational,1d1,1,fp32,16777216.00,3.01,1,[-128.0,128.0]
abs_n2d1_s1_uniform_rational_ulp.csv,abs,rational,2d1,1,fp32,16777216.00,3.07,1,[-128.0,128.0]
abs_n3d1_s1_uniform_rational_ulp.csv,abs,rational,3d1,1,fp32,16777216.00,3.03,1,[-128.0,128.0]
abs_n3d3_s1_uniform_rational_ulp.csv,abs,rational,3d3,1,fp32,16777216.00,3.01,1,[-128.0,128.0]
abs_n4d2_s1_uniform_rational_ulp.csv,abs,rational,4d2,1,fp32,16777216.00,3.03,1,[-128.0,128.0]
abs_n4d4_s1_uniform_rational_ulp.csv,abs,rational,4d4,1,fp32,16777216.00,3.07,1,[-128.0,128.0]
abs_n5d2_s1_uniform_rational_ulp.csv,abs,rational,5d2,1,fp32,16777216.00,3.10,1,[-128.0,128.0]
abs_n5d4_s1_uniform_rational_ulp.csv,abs,rational,5d4,1,fp32,16777216.00,3.07,1,[-128.0,128.0]
abs_n6d1_s1_uniform_rational_ulp.csv,abs,rational,6d1,1,fp32,16777216.00,3.06,1,[-128.0,128.0]
abs_n6d3_s1_uniform_rational_ulp.csv,abs,rational,6d3,1,fp32,16777216.00,3.05,1,[-128.0,128.0]
abs_n6d5_s1_uniform_rational_ulp.csv,abs,rational,6d5,1,fp32,16777216.00,3.09,1,[-128.0,128.0]
abs_n7d1_s1_uniform_rational_ulp.csv,abs,rational,7d1,1,fp32,16777216.00,3.11,1,[-128.0,128.0]
abs_n7d3_s1_uniform_rational_ulp.csv,abs,rational,7d3,1,fp32,16777216.00,3.11,1,[-128.0,128.0]
abs_n7d5_s1_uniform_rational_ulp.csv,abs,rational,7d5,1,fp32,16777216.00,3.10,1,[-128.0,128.0]
abs_n7d7_s1_uniform_rational_ulp.csv,abs,rational,7d7,1,fp32,16777216.00,3.09,1,[-128.0,128.0]
abs_n8d2_s1_uniform_rational_ulp.csv,abs,rational,8d2,1,fp32,16777216.00,3.14,1,[-128.0,128.0]
abs_n8d4_s1_uniform_rational_ulp.csv,abs,rational,8d4,1,fp32,16777216.00,3.12,1,[-128.0,128.0]
abs_n8d6_s1_uniform_rational_ulp.csv,abs,rational,8d6,1,fp32,16777216.00,3.12,1,[-128.0,128.0]
abs_n8d8_s1_uniform_rational_ulp.csv,abs,rational,8d8,1,fp32,16777216.00,3.13,1,[-128.0,128.0]
abs_n9d2_s1_uniform_rational_ulp.csv,abs,rational,9d2,1,fp32,16777216.00,3.16,1,[-128.0,128.0]
abs_n9d4_s1_uniform_rational_ulp.csv,abs,rational,9d4,1,fp32,16777216.00,3.15,1,[-128.0,128.0]
abs_n9d6_s1_uniform_rational_ulp.csv,abs,rational,9d6,1,fp32,16777216.00,3.18,1,[-128.0,128.0]
