device_config,op_type,use_case,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,2,2,2,520707,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,4,2,2,389618,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,6,2,2,358577,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,8,2,2,273867,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,10,2,2,272627,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,12,2,2,275597,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,14,2,2,278299,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,2,16,2,2,273910,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,2,2,2,420408,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,4,2,2,318622,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,6,2,2,289624,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,8,2,2,235639,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,10,2,2,237300,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,12,2,2,240580,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,14,2,2,238568,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,3,16,2,2,239944,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,2,2,2,380477,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,4,2,2,292658,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,6,2,2,269722,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,8,2,2,235096,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,10,2,2,234764,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,12,2,2,236448,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,14,2,2,238790,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,4,16,2,2,237210,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,2,2,2,354160,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,4,2,2,280099,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,6,2,2,248902,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,8,2,2,215717,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,10,2,2,217346,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,12,2,2,218301,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,14,2,2,217453,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,6,16,2,2,219261,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,2,2,2,346119,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,4,2,2,281830,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,6,2,2,246279,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,8,2,2,223970,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,10,2,2,218480,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,12,2,2,221970,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,14,2,2,220220,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,8,16,2,2,222352,OK
bh_4x8_sp1_tp0,agmm,qkv,1024,3072,2304,12x9,2,12,2,2,2,348129,OK
