context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,1.5655,1.5626,1.5851,638.8,100
1024,1.6618,1.6596,1.6776,601.8,100
4096,1.9942,1.9913,2.0155,501.4,100
