seq_len,median_ms,min_ms,max_ms,us_per_token,iters
128,69.229,69.121,69.563,540.85,5
512,274.706,274.539,274.921,536.54,5
1024,548.734,548.681,548.793,535.87,5
2048,1098.163,1098.056,1098.171,536.21,5
