GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,OP NAME,DEVICE KERNEL DURATION [ns]
3172352,0,1,0,,2939
3172352,0,2,0,,2941
3172352,0,3,0,,2992
3172352,0,4,0,,3035
3172352,0,5,0,,2988
3172352,0,6,0,,2896
3172352,0,7,0,,3013
3172352,0,8,0,,2994
3172352,0,9,0,,2971
3172352,0,10,0,,2964
3173376,0,1,0,,7316
3173376,0,2,0,,7344
3173376,0,3,0,,7271
3173376,0,4,0,,7274
3173376,0,5,0,,7211
3173376,0,6,0,,7319
3173376,0,7,0,,7245
3173376,0,8,0,,7255
3173376,0,9,0,,7236
3173376,0,10,0,,7272
3174400,0,1,0,,3560
3174400,0,2,0,,3754
3174400,0,3,0,,3530
3174400,0,4,0,,3667
3174400,0,5,0,,3554
3174400,0,6,0,,3663
3174400,0,7,0,,3582
3174400,0,8,0,,3868
3174400,0,9,0,,3599
3174400,0,10,0,,3674
3175424,0,1,0,,39586
3175424,0,2,0,,39590
3175424,0,3,0,,39696
3175424,0,4,0,,39582
3175424,0,5,0,,39624
3175424,0,6,0,,39749
3175424,0,7,0,,39552
3175424,0,8,0,,39499
3175424,0,9,0,,39623
3175424,0,10,0,,39458
3176448,0,1,0,,17970
3176448,0,2,0,,17501
3176448,0,3,0,,17273
3176448,0,4,0,,17360
3176448,0,5,0,,17086
3176448,0,6,0,,17190
3176448,0,7,0,,17176
3176448,0,8,0,,17824
3176448,0,9,0,,17481
3176448,0,10,0,,17651
3177472,0,1,0,,1773
3177472,0,2,0,,1772
3177472,0,3,0,,1759
3177472,0,4,0,,1684
3177472,0,5,0,,1891
3177472,0,6,0,,1773
3177472,0,7,0,,1778
3177472,0,8,0,,1774
3177472,0,9,0,,1693
3177472,0,10,0,,1773
3178496,0,1,0,,1801
3178496,0,2,0,,1781
3178496,0,3,0,,1779
3178496,0,4,0,,1629
3178496,0,5,0,,1804
3178496,0,6,0,,1781
3178496,0,7,0,,1778
3178496,0,8,0,,1818
3178496,0,9,0,,1648
3178496,0,10,0,,1770
3179520,0,1,0,,2250
3179520,0,2,0,,2253
3179520,0,3,0,,2284
3179520,0,4,0,,2162
3179520,0,5,0,,2285
3179520,0,6,0,,2260
3179520,0,7,0,,2281
3179520,0,8,0,,2261
3179520,0,9,0,,2303
3179520,0,10,0,,2273
3180544,0,1,0,,1859
3180544,0,2,0,,1889
3180544,0,3,0,,1939
3180544,0,4,0,,1881
3180544,0,5,0,,1961
3180544,0,6,0,,1840
3180544,0,7,0,,1858
3180544,0,8,0,,1859
3180544,0,9,0,,1868
3180544,0,10,0,,1910
3181568,0,1,0,,2904
3181568,0,2,0,,2758
3181568,0,3,0,,2700
3181568,0,4,0,,2796
3181568,0,5,0,,2767
3181568,0,6,0,,2715
3181568,0,7,0,,2901
3181568,0,8,0,,2689
3181568,0,9,0,,2693
3181568,0,10,0,,2714
3182592,0,1,0,,2724
3182592,0,2,0,,2765
3182592,0,3,0,,2719
3182592,0,4,0,,2688
3182592,0,5,0,,2676
3182592,0,6,0,,2725
3182592,0,7,0,,2664
3182592,0,8,0,,2663
3182592,0,9,0,,2775
3182592,0,10,0,,2693
3183616,0,1,0,,2800
3183616,0,2,0,,2856
3183616,0,3,0,,2827
3183616,0,4,0,,2807
3183616,0,5,0,,2892
3183616,0,6,0,,2821
3183616,0,7,0,,2764
3183616,0,8,0,,2849
3183616,0,9,0,,2821
3183616,0,10,0,,2859
3184640,0,1,0,,1729
3184640,0,2,0,,1534
3184640,0,3,0,,1675
3184640,0,4,0,,1525
3184640,0,5,0,,1650
3184640,0,6,0,,1649
3184640,0,7,0,,1711
3184640,0,8,0,,1659
3184640,0,9,0,,1650
3184640,0,10,0,,1680
3185664,0,1,0,,1662
3185664,0,2,0,,1490
3185664,0,3,0,,1620
3185664,0,4,0,,1476
3185664,0,5,0,,1532
3185664,0,6,0,,1559
3185664,0,7,0,,1633
3185664,0,8,0,,1656
3185664,0,9,0,,1593
3185664,0,10,0,,1613
3186688,0,1,0,,2167
3186688,0,2,0,,2167
3186688,0,3,0,,2286
3186688,0,4,0,,2236
3186688,0,5,0,,2159
3186688,0,6,0,,2147
3186688,0,7,0,,2056
3186688,0,8,0,,2135
3186688,0,9,0,,2213
3186688,0,10,0,,2174
3187712,0,1,0,,1782
3187712,0,2,0,,1825
3187712,0,3,0,,1807
3187712,0,4,0,,1845
3187712,0,5,0,,1773
3187712,0,6,0,,1813
3187712,0,7,0,,1773
3187712,0,8,0,,1783
3187712,0,9,0,,1875
3187712,0,10,0,,1863
3188736,0,1,0,,2673
3188736,0,2,0,,2745
3188736,0,3,0,,2621
3188736,0,4,0,,2662
3188736,0,5,0,,2570
3188736,0,6,0,,2633
3188736,0,7,0,,2685
3188736,0,8,0,,2675
3188736,0,9,0,,2599
3188736,0,10,0,,2896
3189760,0,1,0,,2770
3189760,0,2,0,,2799
3189760,0,3,0,,2866
3189760,0,4,0,,2756
3189760,0,5,0,,2641
3189760,0,6,0,,2764
3189760,0,7,0,,2750
3189760,0,8,0,,2664
3189760,0,9,0,,3044
3189760,0,10,0,,2727
3190784,0,1,0,,2747
3190784,0,2,0,,2822
3190784,0,3,0,,2728
3190784,0,4,0,,2750
3190784,0,5,0,,2741
3190784,0,6,0,,2707
3190784,0,7,0,,2630
3190784,0,8,0,,2747
3190784,0,9,0,,2656
3190784,0,10,0,,2666
3191808,0,1,0,,1938
3191808,0,2,0,,1849
3191808,0,3,0,,1866
