OP CODE,OP TYPE,DEVICE ID,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,CORE COUNT,DEVICE KERNEL DURATION [ns]
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,217617
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,163630
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511965
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,128939
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,79568
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,78138
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2568120
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,45203
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,254141
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1185600
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1317046
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,219082
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,166209
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470180
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469097
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186839
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,430172
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1202199
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1305412
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,232886
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,173524
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513010
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,135268
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,82259
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,83649
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2565044
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,49699
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,258256
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187716
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1292819
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,227039
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,174630
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471531
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470335
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,187056
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429363
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1223024
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1301828
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,233246
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,176561
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511498
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,140756
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,84862
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,86499
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2568395
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,49801
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257139
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187175
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1330818
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230209
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,177506
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471193
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471610
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186881
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,428921
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1188421
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1288365
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,229501
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175220
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511947
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,138281
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,86433
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,86627
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2567547
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48706
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257499
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1237320
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1298677
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,220429
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,167483
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469704
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469348
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186927
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429313
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187017
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1305850
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,222750
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,171061
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512299
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,135430
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,84289
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,84331
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2568187
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48510
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257349
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1196336
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1300319
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,233965
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175601
