OP CODE,OP TYPE,DEVICE ID,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,CORE COUNT,DEVICE KERNEL DURATION [ns]
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,372250
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,150476
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175879
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1711773
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,524964
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,305730
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,303821
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9270441
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,178451
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,614794
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,222190
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,167390
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1469704
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1468402
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,736747
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1259343
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,222150
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,171604
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1708690
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,522879
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,303488
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,306187
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9270433
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,178973
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,614394
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,216561
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,165112
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1467316
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1465238
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735624
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1253399
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,206639
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,159479
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1705285
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,493431
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,297199
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,295307
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9236871
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,175579
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,615075
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,216544
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,164818
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1466673
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1467527
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735581
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1256236
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,213456
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,161987
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1709451
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,517936
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,301841
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,305651
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9257240
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,179407
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,616067
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,215527
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,161535
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1465514
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1465190
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735539
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1252198
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,215311
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,167710
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1709891
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,512278
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,299455
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,301274
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9251816
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,178279
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,615439
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,218816
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,169112
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1467887
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1467783
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735773
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1255944
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,215422
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,169622
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1704859
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,510753
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,298841
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,300344
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9244945
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,174599
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,614613
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,210660
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,160859
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1464291
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1464884
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735553
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1252127
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,210324
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,163070
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1708004
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,497186
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,295974
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,296869
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9223951
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,167256
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,614871
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,202941
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,154665
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1463113
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1462196
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735452
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1254167
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,198468
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,154104
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1710253
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,473030
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,292899
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,294411
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,9228439
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,163655
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,613307
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,196588
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,155026
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1462503
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1462767
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,735544
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,1253765
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,197785
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,154902
MatmulDeviceOperation,tt_dnn_device,0,0,1,110,1703513
