OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,CORE COUNT,DEVICE KERNEL DURATION [ns]
EmbeddingsDeviceOperation,tt_dnn_device,4155392,0,0,1,1,3765
AllGatherDeviceOperation,tt_dnn_device,4156416,0,0,1,5,14589
SliceDeviceOperation,tt_dnn_device,4157440,0,0,1,48,1685
TypecastDeviceOperation,tt_dnn_device,4158464,0,0,1,48,1987
LayerNormDeviceOperation,tt_dnn_device,4159488,0,0,1,1,21039
MatmulDeviceOperation,tt_dnn_device,4160512,0,0,1,20,25067
MatmulDeviceOperation,tt_dnn_device,4161536,0,0,1,20,11309
BinaryNgDeviceOperation,tt_dnn_device,4162560,0,0,1,110,2747
BinaryNgDeviceOperation,tt_dnn_device,4163584,0,0,1,110,2611
BinaryNgDeviceOperation,tt_dnn_device,4164608,0,0,1,110,2710
TypecastDeviceOperation,tt_dnn_device,4165632,0,0,1,20,2073
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4166656,0,0,1,1,1978
PagedUpdateCacheDeviceOperation,tt_dnn_device,4167680,0,0,1,1,2794
PagedUpdateCacheDeviceOperation,tt_dnn_device,4168704,0,0,1,1,2724
SdpaDecodeDeviceOperation,tt_dnn_device,4169728,0,0,1,64,5858
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4170752,0,0,1,3,1283
ShardedToInterleavedDeviceOperation,tt_dnn_device,4171776,0,0,1,3,1454
SliceDeviceOperation,tt_dnn_device,4172800,0,0,1,12,1650
AllGatherDeviceOperation,tt_dnn_device,4173824,0,0,1,10,17603
MatmulDeviceOperation,tt_dnn_device,4174848,0,0,1,48,26626
BinaryNgDeviceOperation,tt_dnn_device,4175872,0,0,1,110,2724
LayerNormDeviceOperation,tt_dnn_device,4176896,0,0,1,1,19201
MatmulDeviceOperation,tt_dnn_device,4177920,0,0,1,70,33274
MatmulDeviceOperation,tt_dnn_device,4178944,0,0,1,70,32837
UnaryDeviceOperation,tt_dnn_device,4179968,0,0,1,110,4206
BinaryNgDeviceOperation,tt_dnn_device,4180992,0,0,1,110,3379
MatmulDeviceOperation,tt_dnn_device,4182016,0,0,1,48,40889
ReduceScatterDeviceOperation,tt_dnn_device,4183040,0,0,1,10,19107
AllGatherDeviceOperation,tt_dnn_device,4184064,0,0,1,10,16350
BinaryNgDeviceOperation,tt_dnn_device,4185088,0,0,1,110,2533
LayerNormDeviceOperation,tt_dnn_device,4186112,0,0,1,1,20854
MatmulDeviceOperation,tt_dnn_device,4187136,0,0,1,20,24950
MatmulDeviceOperation,tt_dnn_device,4188160,0,0,1,20,11445
BinaryNgDeviceOperation,tt_dnn_device,4189184,0,0,1,110,2697
BinaryNgDeviceOperation,tt_dnn_device,4190208,0,0,1,110,2721
BinaryNgDeviceOperation,tt_dnn_device,4191232,0,0,1,110,2826
TypecastDeviceOperation,tt_dnn_device,4192256,0,0,1,20,2089
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4193280,0,0,1,1,1945
PagedUpdateCacheDeviceOperation,tt_dnn_device,4194304,0,0,1,1,2775
PagedUpdateCacheDeviceOperation,tt_dnn_device,4195328,0,0,1,1,2816
SdpaDecodeDeviceOperation,tt_dnn_device,4196352,0,0,1,64,5867
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4197376,0,0,1,3,1261
ShardedToInterleavedDeviceOperation,tt_dnn_device,4198400,0,0,1,3,1469
SliceDeviceOperation,tt_dnn_device,4199424,0,0,1,12,1627
AllGatherDeviceOperation,tt_dnn_device,4200448,0,0,1,10,16190
MatmulDeviceOperation,tt_dnn_device,4201472,0,0,1,48,26573
BinaryNgDeviceOperation,tt_dnn_device,4202496,0,0,1,110,2724
LayerNormDeviceOperation,tt_dnn_device,4203520,0,0,1,1,18870
MatmulDeviceOperation,tt_dnn_device,4204544,0,0,1,70,33173
MatmulDeviceOperation,tt_dnn_device,4205568,0,0,1,70,32830
UnaryDeviceOperation,tt_dnn_device,4206592,0,0,1,110,4104
BinaryNgDeviceOperation,tt_dnn_device,4207616,0,0,1,110,3548
MatmulDeviceOperation,tt_dnn_device,4208640,0,0,1,48,40887
ReduceScatterDeviceOperation,tt_dnn_device,4209664,0,0,1,10,17927
AllGatherDeviceOperation,tt_dnn_device,4210688,0,0,1,10,16014
BinaryNgDeviceOperation,tt_dnn_device,4211712,0,0,1,110,2564
LayerNormDeviceOperation,tt_dnn_device,4212736,0,0,1,1,21040
MatmulDeviceOperation,tt_dnn_device,4213760,0,0,1,20,25078
MatmulDeviceOperation,tt_dnn_device,4214784,0,0,1,20,11103
BinaryNgDeviceOperation,tt_dnn_device,4215808,0,0,1,110,2697
BinaryNgDeviceOperation,tt_dnn_device,4216832,0,0,1,110,2630
BinaryNgDeviceOperation,tt_dnn_device,4217856,0,0,1,110,2726
TypecastDeviceOperation,tt_dnn_device,4218880,0,0,1,20,1894
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4219904,0,0,1,1,1957
PagedUpdateCacheDeviceOperation,tt_dnn_device,4220928,0,0,1,1,2819
PagedUpdateCacheDeviceOperation,tt_dnn_device,4221952,0,0,1,1,2729
SdpaDecodeDeviceOperation,tt_dnn_device,4222976,0,0,1,64,6527
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4224000,0,0,1,3,1253
ShardedToInterleavedDeviceOperation,tt_dnn_device,4225024,0,0,1,3,1478
SliceDeviceOperation,tt_dnn_device,4226048,0,0,1,12,1633
AllGatherDeviceOperation,tt_dnn_device,4227072,0,0,1,10,17279
MatmulDeviceOperation,tt_dnn_device,4228096,0,0,1,48,26598
BinaryNgDeviceOperation,tt_dnn_device,4229120,0,0,1,110,2703
LayerNormDeviceOperation,tt_dnn_device,4230144,0,0,1,1,18877
MatmulDeviceOperation,tt_dnn_device,4231168,0,0,1,70,33234
MatmulDeviceOperation,tt_dnn_device,4232192,0,0,1,70,32776
UnaryDeviceOperation,tt_dnn_device,4233216,0,0,1,110,4084
BinaryNgDeviceOperation,tt_dnn_device,4234240,0,0,1,110,3382
MatmulDeviceOperation,tt_dnn_device,4235264,0,0,1,48,40816
ReduceScatterDeviceOperation,tt_dnn_device,4236288,0,0,1,10,19144
AllGatherDeviceOperation,tt_dnn_device,4237312,0,0,1,10,15733
BinaryNgDeviceOperation,tt_dnn_device,4238336,0,0,1,110,2488
LayerNormDeviceOperation,tt_dnn_device,4239360,0,0,1,1,20987
MatmulDeviceOperation,tt_dnn_device,4240384,0,0,1,20,24935
MatmulDeviceOperation,tt_dnn_device,4241408,0,0,1,20,11145
BinaryNgDeviceOperation,tt_dnn_device,4242432,0,0,1,110,2661
BinaryNgDeviceOperation,tt_dnn_device,4243456,0,0,1,110,2720
BinaryNgDeviceOperation,tt_dnn_device,4244480,0,0,1,110,2781
TypecastDeviceOperation,tt_dnn_device,4245504,0,0,1,20,2021
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4246528,0,0,1,1,1952
PagedUpdateCacheDeviceOperation,tt_dnn_device,4247552,0,0,1,1,2793
PagedUpdateCacheDeviceOperation,tt_dnn_device,4248576,0,0,1,1,2779
SdpaDecodeDeviceOperation,tt_dnn_device,4249600,0,0,1,64,5847
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4250624,0,0,1,3,1248
ShardedToInterleavedDeviceOperation,tt_dnn_device,4251648,0,0,1,3,1466
SliceDeviceOperation,tt_dnn_device,4252672,0,0,1,12,1650
AllGatherDeviceOperation,tt_dnn_device,4253696,0,0,1,10,18039
MatmulDeviceOperation,tt_dnn_device,4254720,0,0,1,48,26610
BinaryNgDeviceOperation,tt_dnn_device,4255744,0,0,1,110,2890
LayerNormDeviceOperation,tt_dnn_device,4256768,0,0,1,1,18742
MatmulDeviceOperation,tt_dnn_device,4257792,0,0,1,70,33177
MatmulDeviceOperation,tt_dnn_device,4258816,0,0,1,70,32759
UnaryDeviceOperation,tt_dnn_device,4259840,0,0,1,110,4044
BinaryNgDeviceOperation,tt_dnn_device,4260864,0,0,1,110,3397
MatmulDeviceOperation,tt_dnn_device,4261888,0,0,1,48,40763
ReduceScatterDeviceOperation,tt_dnn_device,4262912,0,0,1,10,18666
AllGatherDeviceOperation,tt_dnn_device,4263936,0,0,1,10,16480
BinaryNgDeviceOperation,tt_dnn_device,4264960,0,0,1,110,2596
LayerNormDeviceOperation,tt_dnn_device,4265984,0,0,1,1,21020
MatmulDeviceOperation,tt_dnn_device,4267008,0,0,1,20,24959
MatmulDeviceOperation,tt_dnn_device,4268032,0,0,1,20,11330
BinaryNgDeviceOperation,tt_dnn_device,4269056,0,0,1,110,2619
BinaryNgDeviceOperation,tt_dnn_device,4270080,0,0,1,110,2696
BinaryNgDeviceOperation,tt_dnn_device,4271104,0,0,1,110,2648
TypecastDeviceOperation,tt_dnn_device,4272128,0,0,1,20,1867
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4273152,0,0,1,1,1964
PagedUpdateCacheDeviceOperation,tt_dnn_device,4274176,0,0,1,1,2796
PagedUpdateCacheDeviceOperation,tt_dnn_device,4275200,0,0,1,1,2784
SdpaDecodeDeviceOperation,tt_dnn_device,4276224,0,0,1,64,5830
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4277248,0,0,1,3,1232
ShardedToInterleavedDeviceOperation,tt_dnn_device,4278272,0,0,1,3,1474
SliceDeviceOperation,tt_dnn_device,4279296,0,0,1,12,1635
AllGatherDeviceOperation,tt_dnn_device,4280320,0,0,1,10,18871
MatmulDeviceOperation,tt_dnn_device,4281344,0,0,1,48,26557
BinaryNgDeviceOperation,tt_dnn_device,4282368,0,0,1,110,2772
LayerNormDeviceOperation,tt_dnn_device,4283392,0,0,1,1,18824
MatmulDeviceOperation,tt_dnn_device,4284416,0,0,1,70,33144
MatmulDeviceOperation,tt_dnn_device,4285440,0,0,1,70,32849
UnaryDeviceOperation,tt_dnn_device,4286464,0,0,1,110,4013
BinaryNgDeviceOperation,tt_dnn_device,4287488,0,0,1,110,3394
MatmulDeviceOperation,tt_dnn_device,4288512,0,0,1,48,40857
ReduceScatterDeviceOperation,tt_dnn_device,4289536,0,0,1,10,18642
AllGatherDeviceOperation,tt_dnn_device,4290560,0,0,1,10,15764
BinaryNgDeviceOperation,tt_dnn_device,4291584,0,0,1,110,2459
LayerNormDeviceOperation,tt_dnn_device,4292608,0,0,1,1,20979
MatmulDeviceOperation,tt_dnn_device,4293632,0,0,1,20,25175
MatmulDeviceOperation,tt_dnn_device,4294656,0,0,1,20,11098
BinaryNgDeviceOperation,tt_dnn_device,4295680,0,0,1,110,2667
BinaryNgDeviceOperation,tt_dnn_device,4296704,0,0,1,110,2684
BinaryNgDeviceOperation,tt_dnn_device,4297728,0,0,1,110,2764
TypecastDeviceOperation,tt_dnn_device,4298752,0,0,1,20,2029
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4299776,0,0,1,1,1957
PagedUpdateCacheDeviceOperation,tt_dnn_device,4300800,0,0,1,1,2800
PagedUpdateCacheDeviceOperation,tt_dnn_device,4301824,0,0,1,1,2737
SdpaDecodeDeviceOperation,tt_dnn_device,4302848,0,0,1,64,5853
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4303872,0,0,1,3,1250
ShardedToInterleavedDeviceOperation,tt_dnn_device,4304896,0,0,1,3,1476
SliceDeviceOperation,tt_dnn_device,4305920,0,0,1,12,1656
AllGatherDeviceOperation,tt_dnn_device,4306944,0,0,1,10,17407
MatmulDeviceOperation,tt_dnn_device,4307968,0,0,1,48,26633
BinaryNgDeviceOperation,tt_dnn_device,4308992,0,0,1,110,2673
LayerNormDeviceOperation,tt_dnn_device,4310016,0,0,1,1,18793
MatmulDeviceOperation,tt_dnn_device,4311040,0,0,1,70,33140
MatmulDeviceOperation,tt_dnn_device,4312064,0,0,1,70,32774
UnaryDeviceOperation,tt_dnn_device,4313088,0,0,1,110,4049
BinaryNgDeviceOperation,tt_dnn_device,4314112,0,0,1,110,3419
MatmulDeviceOperation,tt_dnn_device,4315136,0,0,1,48,40895
ReduceScatterDeviceOperation,tt_dnn_device,4316160,0,0,1,10,18324
AllGatherDeviceOperation,tt_dnn_device,4317184,0,0,1,10,16034
BinaryNgDeviceOperation,tt_dnn_device,4318208,0,0,1,110,2516
LayerNormDeviceOperation,tt_dnn_device,4319232,0,0,1,1,21056
MatmulDeviceOperation,tt_dnn_device,4320256,0,0,1,20,24967
MatmulDeviceOperation,tt_dnn_device,4321280,0,0,1,20,11221
BinaryNgDeviceOperation,tt_dnn_device,4322304,0,0,1,110,2682
BinaryNgDeviceOperation,tt_dnn_device,4323328,0,0,1,110,2669
BinaryNgDeviceOperation,tt_dnn_device,4324352,0,0,1,110,2715
TypecastDeviceOperation,tt_dnn_device,4325376,0,0,1,20,2014
NLPCreateQKVHeadsDecodeDeviceOperation,tt_dnn_device,4326400,0,0,1,1,1966
PagedUpdateCacheDeviceOperation,tt_dnn_device,4327424,0,0,1,1,2807
PagedUpdateCacheDeviceOperation,tt_dnn_device,4328448,0,0,1,1,2731
SdpaDecodeDeviceOperation,tt_dnn_device,4329472,0,0,1,64,5833
NLPConcatHeadsDecodeDeviceOperation,tt_dnn_device,4330496,0,0,1,3,1259
ShardedToInterleavedDeviceOperation,tt_dnn_device,4331520,0,0,1,3,1456
