requested_isl	actual_prompt_tokens	osl	concurrency	ttft_ms	tpot_ms	e2el_ms	decode_tokens_per_second_user	aggregate_output_tokens_per_second	completed	failed
128	82	512	1	128.5857899997609	34.491837792563885	17753.914901999906	28.992366426343064	28.838200771561947	1	0
1024	1066	512	1	1231.5941059996476	34.73288841095918	18980.100083999787	28.791155753244887	26.97519712192938	1	0
2048	1939	512	1	1408.3859759998631	34.79611776907999	19189.202155999737	28.73883824156398	26.68127371628519	1	0
4096	4138	512	1	4975.233311000011	34.98644908806255	22853.308794999975	28.582494824866412	22.403437002284573	1	0
8192	8234	512	1	10896.23415899996	35.326975395303236	28948.318585999914	28.30698039699575	17.686496659427863	1	0
16384	16426	512	1	25643.039999999928	36.02042705088042	44049.47822299982	27.762025102796713	11.623215248170364	1	0
32768	32810	512	1	66650.24328900018	37.3903825322901	85756.72876300043	26.744845392699748	5.970356952048919	1	0
65536	65578	512	1	194449.8194319999	40.17078256947126	214977.08932499972	24.893714686055777	2.381645643255723	1	0
130048	130090	512	1	206155.86133099988	45.646466426614204	229481.20567499974	21.907500805296714	2.2311165700750504	1	0
