# LATENCY SWEEP — vllm bench serve (.venv_benchmarks_vllm). Metric: t/s/u + agg tok/s.
# ISL	OSL	CONC	t/s/u	agg_tok/s	TTFT_ms	E2EL_s@osl1024(derived)
128	128	1	24.50	24.0	150	41.9
4096	128	1	23.54	23.0	168	43.6
32768	128	1	19.46	18.6	360	52.9
65536	128	1	16.18	15.2	582	63.8
131072	128	1	12.11	11.1	1053	85.5
32768	128	8	1.56	4.5	145943	801.2
32768	128	32	2.06	5.3	399615	895.7
