requested_isl	actual_prompt_tokens	actual_total_tokens	osl	concurrency	ttft_ms	tpot_ms	e2el_ms	decode_tokens_per_second_user	aggregate_output_tokens_per_second	completed	failed
128	82	594	512	1	206.3489039974229	50.08702247553837	25800.8090229996	19.965251487815685	19.844250043923747	1	0
1024	1066	1578	512	1	2214.7966869997617	50.464100649708165	28001.94202900093	19.81606700853358	18.284369566324454	1	0
2048	1939	2451	512	1	2569.1443659998185	50.4953384070444	28372.257041999546	19.803808263229584	18.045725594399734	1	0
4096	4138	4650	512	1	8992.450841000391	50.57202518982321	34834.751555001276	19.773778017520122	14.697920720293185	1	0
8192	8234	8746	512	1	19720.305122002173	50.71897405087677	45637.69232600316	19.716487147332455	11.218766902519352	1	0
16384	16426	16938	512	1	46708.369968000625	51.020579213302305	72779.88159799861	19.599934289638085	7.034900748121313	1	0
32768	32810	33322	512	1	122161.66322100253	51.60634252445929	148532.49910100203	19.37746313887757	3.4470543141000483	1	0
65536	65578	66090	512	1	359013.18382699904	52.776332956948025	385981.88608099736	18.947887129932727	1.3264867290855475	1	0
130048	130090	130602	512	1	381719.48742000316	55.10531586888253	409878.29942100146	18.147069556399927	1.2491509182571574	1	0
