  auipc	gp,0xffaf6
  addi	gp,gp,-2048
  auipc	sp,0xffaf6
  addi	sp,sp,-8
  lui	a5,0xffb00
  lui	a4,0xffb00
  addi	a5,a5,32
  addi	a4,a4,100
  bgeu	a5,a4,b044 <_start+0x44>
  addi	a4,a4,-1
  sub	a4,a4,a5
  andi	a4,a4,-4
  addi	a4,a4,4
  add	a4,a4,a5
  sw	zero,0(a5)
  addi	a5,a5,4
  bne	a5,a4,b038 <_start+0x38>
  lui	a5,0xf
  lui	a4,0x10
  mv	a5,a5
  mv	a4,a4
  beq	a5,a4,b094 <_start+0x94>
  lui	a4,0xffb00
  lui	a3,0xffb00
  mv	a4,a4
  addi	a3,a3,32
  bgeu	a4,a3,b094 <_start+0x94>
  addi	a3,a3,-1
  sub	a3,a3,a4
  andi	a3,a3,-4
  addi	a3,a3,4
  add	a3,a3,a5
  lw	a1,0(a5)
  addi	a5,a5,4
  sw	a1,0(a4)
  addi	a4,a4,4
  bne	a5,a3,b080 <_start+0x80>
  lui	s0,0xffb00
  lui	s1,0xffb00
  mv	s0,s0
  mv	s1,s1
  bgeu	s0,s1,b0b8 <_start+0xb8>
  lw	a5,0(s0)
  addi	s0,s0,4
  jalr	a5
  bltu	s0,s1,b0a8 <_start+0xa8>
  jal	b0c0 <main>
  j	b0bc <_start+0xbc>
  lui	a5,0x20
  lbu	a5,0(a5)
  addi	sp,sp,-48
  sb	a5,8(sp)
  sw	ra,44(sp)
  sw	s0,40(sp)
  sw	s1,36(sp)
  sw	s2,32(sp)
  sw	s3,28(sp)
  lbu	a5,8(sp)
  fence
  lw	a5,-2040(gp)
  addi	a4,a5,256
  sw	zero,0(a5)
  addi	a5,a5,4
  bne	a4,a5,b0f4 <main+0x34>
  lui	a5,0x16b
  lui	s2,0xffb00
  addi	a4,a5,-12
  sw	a5,0(s2)
  lui	s3,0xffb00
  sw	zero,-2000(gp)
  lui	a2,0x1
  li	a1,0
  lui	a0,0x16c
  sw	a4,4(s3)
  sw	zero,-2004(gp)
  sw	zero,-2012(gp)
  sw	zero,-2016(gp)
  jal	b830 <memset>
  lw	a2,4(s3)
  li	a4,1
  sw	a4,4(a2)
  fence
  li	a5,0
  li	a6,2
  sh3add	a3,a5,a2
  lw	a0,0(a3)
  slli	a1,a5,0x1
  beq	a0,a4,b16c <main+0xac>
  fence
  lw	a5,0(a3)
  bne	a5,a4,b160 <main+0xa0>
  li	a5,1
  bne	a1,a6,b150 <main+0x90>
  sb	zero,12(sp)
  lw	a3,-2012(gp)
  lw	a2,-2016(gp)
  li	a1,3
  add	a5,a3,a2
  addi	a5,a5,-1021
  bgeu	a1,a5,b1d8 <main+0x118>
  lui	a5,0xffb12
  lw	a0,496(a5)
  sb	a4,12(sp)
  lw	a4,504(a5)
  lui	a1,0x1
  addi	a6,a1,-1
  lw	a5,0(s2)
  addi	a2,a2,1
  sw	a2,-2016(gp)
  and	a4,a4,a6
  lui	a6,0xa5104
  or	a4,a4,a6
  sh2add	a5,a3,a5
  add	a5,a5,a1
  addi	a3,a3,2
  sw	a4,0(a5)
  sw	a0,4(a5)
  sw	a3,-2012(gp)
  addi	a0,sp,8
  jal	b2e0 <run_kernel(RuntimeParams const&)>
  lw	a4,-2036(gp)
  li	a5,0
