Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
78.52,MatmulDeviceOperation (in0:dram_interleaved),30278.81,72,Compute,4.13,7.09,5.03,1.15,4.54
17.14,LayerNormDeviceOperation (in0:dram_interleaved),6608.52,48,Compute,,,,,
1.17,SdpaDecodeDeviceOperation (in0:height_sharded),451.70,12,Compute,,,,,
0.77,BinaryNgDeviceOperation (in0:dram_interleaved),297.78,48,Compute,,,,,
0.40,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),153.23,12,Other,,,,,
0.36,UnaryDeviceOperation (in0:dram_interleaved),140.53,24,Compute,,,,,
0.35,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),135.03,24,TM,,,,,
0.26,LayerNormDeviceOperation (in0:l1_interleaved),98.70,24,Compute,,,,,
0.22,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),86.12,24,DM,,,,,
0.15,BinaryNgDeviceOperation (in0:height_sharded),58.12,12,Compute,,,,,
0.13,TransposeDeviceOperation (in0:dram_interleaved),51.41,24,TM,,,,,
0.12,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),44.39,24,Other,,,,,
0.07,EmbeddingsDeviceOperation (in0:dram_interleaved),26.72,24,Compute,,,,,
0.07,CopyDeviceOperation (in0:dram_interleaved),26.12,12,DM,,,,,
0.06,SliceDeviceOperation (in0:dram_interleaved),22.75,12,TM,,,,,
0.05,InterleavedToShardedDeviceOperation (in0:dram_interleaved),20.34,36,DM,,,,,
0.05,ShardedToInterleavedDeviceOperation (in0:width_sharded),18.41,12,DM,,,,,
0.04,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),16.01,12,TM,,,,,
0.04,ShardedToInterleavedDeviceOperation (in0:height_sharded),13.90,24,DM,,,,,
0.03,InterleavedToShardedDeviceOperation (in0:l1_interleaved),11.34,24,DM,,,,,
