a2_01b_page_table_placement rc=0 | 3 passed |   |
a2_02_llama_late_capacity rc=1 | 1 failed |   | assert all(spec.paged_atte
a2_03_llama_paged_vs_contig rc=143 | NO-SUMMARY |   |
a2_g1_llama_tf rc=0 | 1 passed | top-1 501/511 = 0.9804 (gate >= 0.91) top-5 511/511 = 1.0000 (gate >= 0.99)  |
a2_g2_llama_prefix rc=0 | 1 passed |   |
a2_g3_llama_smoke4k rc=0 | 1 passed |   |
a2_g4_llama_smoke32k rc=0 | 1 passed |   |
a2_g5_llama_smoke128k rc=0 | 1 passed |   |
a2_g6_llama_repeat rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 100 clash with L1 buffers on core range [0-0 - 0-3]. L1 buffer allocated at 544832 and static circular buffer region ends at 630080 (assert.h
a2_g7_llama_batch32_slots rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 100 clash with L1 buffers on core range [0-0 - 0-3]. L1 buffer allocated at 544832 and static circular buffer region ends at 630080 (assert.h
a2_g8_llama_demo_batch1 rc=0 | 1 passed |   |
a2_g9_llama_demo_batch32 rc=0 | 1 passed |   |
a2_s34_placement_run2 rc=0 | 3 passed |   |
a2_s35_placement_run3 rc=0 | 3 passed |   |
a2_g10_llama_demo_concat32 rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 1552 clash with L1 buffers on core range [0-0 - 6-9]. L1 buffer allocated at 543424 and static circular buffer region ends at 630080 (assert.
a2_g11_llama_demo_sampling rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 100 clash with L1 buffers on core range [0-0 - 0-3]. L1 buffer allocated at 544832 and static circular buffer region ends at 630080 (assert.h
a2_g12_qwen_tf rc=0 | 1 passed | top-1 498/511 = 0.9746 (gate >= 0.89) top-5 511/511 = 1.0000 (gate >= 0.97)  |
a2_g13_qwen_prefix rc=0 | 1 passed |   |
a2_g14_qwen_smoke4k rc=0 | 1 passed |   |
a2_g15_qwen_smoke32k rc=0 | 1 passed |   |
a2_g16_qwen_smoke128k rc=0 | 1 passed |   |
a2_g17_qwen_repeat rc=0 | 1 passed |   |
a2_g18_qwen_batch32_slots rc=0 | 1 passed |   |
a2_g19_qwen_first_decode rc=0 | 1 passed | top-5 [6049 top-5 [389  |
a2_g20_qwen_demo_batch1 rc=0 | 1 passed |   |
a2_g21_qwen_demo_batch32 rc=0 | 1 passed |   |
a2_g22_qwen_demo_concat32 rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers on core range [0-0 - 2-3] grow to 1669312 B which is beyond max L1 size of 1499136 B (assert.hpp:104)
a2_g23_qwen_demo_sampling rc=1 | 1 failed |   | TT_FATAL: MatmulMultiCoreProgramConfig: Input B memory layout must be INTERLEAVED, got: TensorMemoryLayout::WIDTH_SHARDED (assert.hpp:104)
a2_L1_qwen_repeat_run2 rc=0 | 1 passed |   |
a2_L1_qwen_batch32_run2 rc=0 | 1 passed |   |
a2_L1_llama_repeat_run2 rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 100 clash with L1 buffers on core range [0-0 - 0-3]. L1 buffer allocated at 544832 and static circular buffer region ends at 630080 (assert.h
a2_L1_qwen_repeat_run3 rc=0 | 1 passed |   |
a2_L1_qwen_batch32_run3 rc=0 | 1 passed |   |
a3_00_mesh_health rc=0 | 5 passed |   |
a3_L1_llama_repeat_run3 rc=1 | 1 failed |   | TT_THROW: Statically allocated circular buffers in program 100 clash with L1 buffers on core range [0-0 - 0-3]. L1 buffer allocated at 544832 and static circular buffer region ends at 630080 (assert.h
a3_q_two_pools rc=1 | 1 failed |   | TT_FATAL: Out of Memory: Not enough space to allocate 55444480 B L1 buffer across 70 banks, where each bank needs to store 792064 B, but bank size is 1393472 B (allocated: 923776 B, free: 469696 B, la
a3_q_greedy rc=1 | 1 failed |   | TT_FATAL: MatmulMultiCoreProgramConfig: Input B memory layout must be INTERLEAVED, got: TensorMemoryLayout::WIDTH_SHARDED (assert.hpp:104)
a3_l_greedy rc=1 | 1 failed |   | TT_FATAL: MatmulMultiCoreProgramConfig: Input B memory layout must be INTERLEAVED, got: TensorMemoryLayout::WIDTH_SHARDED (assert.hpp:104)
a3_q_pool_default rc=0 | 1 passed |   |
a3_q_pool_explicit rc=0 | 1 passed |   |
