run,segment,total_us,ccl_us,matmul_us,sparse_matmul_us,movementish_us,norm_us,elementwise_or_reduction_us,other_us
baseline,base_linear_prefill,12131.371,0.0,4246.368,5363.607,696.43,66.269,1680.005,78.692
baseline,mc_linear_prefill,6234.459,269.703,2200.746,401.207,1278.116,65.116,1930.615,88.956
baseline,base_full_prefill,7658.793,0.0,298.015,5527.761,750.21,66.18,985.753,30.874
baseline,mc_full_prefill,19200.155,1535.556,232.852,2641.995,6678.009,64.983,7912.361,134.398
baseline,base_linear_decode,1451.692,0.0,386.123,176.047,370.427,65.852,453.243,0.0
baseline,mc_linear_decode,1165.495,89.982,246.352,81.221,298.077,66.229,380.258,3.376
baseline,base_full_decode,1126.803,0.0,212.985,175.561,289.454,64.194,358.424,26.185
baseline,mc_full_decode,982.739,93.984,156.406,80.154,247.047,64.478,316.237,24.433
final,base_linear_prefill,12140.092,0.0,4246.124,5362.808,705.473,66.461,1680.464,78.762
final,mc_linear_prefill,6192.94,228.146,2200.111,403.241,1279.285,64.918,1928.524,88.715
final,base_full_prefill,7657.8,0.0,298.86,5528.764,751.201,66.612,982.117,30.246
final,mc_full_prefill,18951.233,1318.758,233.078,2642.171,6676.052,65.12,7881.618,134.436
final,base_linear_decode,1448.257,0.0,385.496,176.476,369.425,65.842,451.018,0.0
final,mc_linear_decode,1152.415,75.97,246.998,80.585,299.165,66.624,379.699,3.375
final,base_full_decode,1129.62,0.0,212.346,175.554,288.79,64.307,362.24,26.383
final,mc_full_decode,968.534,77.437,156.819,80.36,249.473,64.428,315.749,24.268
