activation,dtype,ttnn_maxulp,ttnn_meanulp,ttnn_us,ttnn_pure,ttnn_ml,range_min,range_max,tiles,status
abs,fp32,0.0,0.0,2.94,0.0,100.0,-128.0,128.0,256,pass
asinh,fp32,10107.0,3811.679563993588,4.69,45238.0,99.67041015625,-10.0,10.0,256,pass
celu,fp32,0.0625,0.00035684346221387386,4.40,1.0,100.0,-10.0,10.0,256,pass
elu,fp32,0.0625,0.00035684346221387386,4.38,1.0,100.0,-10.0,10.0,256,pass
exp,fp32,1.0,0.002856899412044811,4.02,1.0,100.0,-10.0,10.0,256,pass
hardmish,fp32,0.03125,0.00039233267307281494,3.05,1.0,100.0,-10.0,10.0,256,pass
hardtanh,fp32,0.0,0.0,3.14,0.0,100.0,-10.0,10.0,256,pass
leaky_relu,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
log1p,fp32,1.0,0.032540276646614075,3.88,1.0,100.0,-0.9,10.0,256,pass
mish,fp32,2.0,0.06958802422741428,5.94,5.0,100.0,-10.0,10.0,256,pass
relu,fp32,0.0,0.0,3.02,0.0,100.0,-10.0,10.0,256,pass
rsqrt,fp32,1.0,0.0012018829584121704,3.33,1.0,100.0,0.001,100.0,256,pass
silu,fp32,2.0,0.10655367375147762,4.62,3.0,100.0,-10.0,10.0,256,pass
softshrink,fp32,0.0,0.0,3.25,0.0,100.0,-11.0,11.0,256,pass
tan,fp32,1.0,0.039137184619903564,4.64,2.0,100.0,-1.5,1.5,256,pass
acos,fp32,14.0,1.9591596126556396,8.12,93.0,100.0,-0.99,0.99,256,pass
atan,fp32,2.0,0.18135077506303787,5.11,2.0,100.0,-1.5707963267948966,1.5707963267948966,256,pass
cos,fp32,1.0,0.10832202062010765,3.48,2.0,100.0,-3.141592653589793,3.141592653589793,256,pass
erf,fp32,3.5,0.38041674066334963,5.49,5.0,100.0,-10.0,10.0,256,pass
exp2,fp32,0.5,0.0098529988899827,3.59,1.0,100.0,-7.0,7.0,256,pass
hardshrink,fp32,0.0,0.0,2.98,0.0,100.0,-11.0,11.0,256,pass
i0,fp32,2582.0,156.2619749829173,3.82,2886.0,100.0,-10.0,10.0,256,pass
lgamma,fp32,1685.673828125,2.7449238637022972,21.33,1152043.0,99.50141906738281,0.001,100.0,256,pass
log2,fp32,1.0,0.21643286071775947,3.87,2.0,100.0,0.1,10.0,256,pass
multigammaln,fp32,8301360.0,3550807.8966817567,3.21,403631490.0,0.0,1.5,50.0,256,pass
relu6,fp32,0.0,0.0,3.06,0.0,100.0,-10.0,10.0,256,pass
selu,fp32,11.0,5.151202892157016,4.40,51.0,100.0,-10.0,10.0,256,pass
sin,fp32,1.0,0.07535110414028168,3.41,2.0,100.0,-3.141592653589793,3.141592653589793,256,pass
softsign,fp32,3.0,0.46289141941815615,3.19,3.0,100.0,-10.0,10.0,256,pass
tanh,fp32,5.0,0.6259188128169626,7.34,5.0,100.0,-5.0,5.0,256,pass
acosh,fp32,6791.0,3443.994400501251,5.29,44898.0,99.98245239257812,1.01,100.0,256,pass
atanh,fp32,10029.0,1719.3669520782569,4.79,4913593710.0,99.91455078125,-0.999,0.999,256,pass
cosh,fp32,1.0,0.013870816677808762,4.10,1.0,100.0,-10.0,10.0,256,pass
erfc,fp32,15979.5,867.4405636114676,5.99,13925133.0,97.6165771484375,-5.0,5.0,256,pass
expm1,fp32,1.0,0.02576902136206627,4.50,1.0,100.0,-1.0,1.0,256,pass
hardsigmoid,fp32,0.5,0.01918827890767716,3.05,19115.0,100.0,-10.0,10.0,256,pass
i1,fp32,5.0,0.12235659930320253,9.89,7.0,100.0,-10.0,10.0,256,pass
log,fp32,1.0,0.030219197273254395,3.76,1.0,100.0,0.1,10.0,256,pass
logit,fp32,1.0,0.058201538951834664,6.47,16193.0,100.0,0.01,0.99,256,pass
polygamma,fp32,,,,,,0.01,10.0,256,native_fail_rc_1
relu_max,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
sigmoid,fp32,2.0,0.3206593035720289,4.58,3.0,100.0,-10.0,10.0,256,pass
sinh,fp32,1.0,0.01860505667718826,4.48,2.0,100.0,-10.0,10.0,256,pass
sqrt,fp32,1.0,0.08202268183231354,3.29,1.0,100.0,0.001,100.0,256,pass
tanhshrink,fp32,0.5,0.0720581221442943,6.71,16.0,100.0,-10.0,10.0,256,pass
asin,fp32,27.5,3.7473053857684135,7.99,55.0,100.0,-0.99,0.99,256,pass
cbrt,fp32,2.0,0.30527544021606445,3.41,2.0,100.0,-100.0,100.0,256,pass
digamma,fp32,79.0,0.045986765588168055,12.17,1504.0,100.0,0.01,102.0,256,pass
erfinv,fp32,20560.0,1328.029764221501,6.52,16570228.0,100.0,-0.99,0.99,256,pass
gelu,fp32,2.0,0.08857193558740921,6.61,121501301.0,100.0,-10.0,10.0,256,pass
hardswish,fp32,0.25,0.006537985253089573,3.30,14335.0,100.0,-10.0,10.0,256,pass
identity,fp32,0.0,0.0,1.90,0.0,100.0,-128.0,128.0,256,pass
log10,fp32,1.0,0.16640947316773236,3.89,2.0,100.0,0.1,10.0,256,pass
logsigmoid,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
prelu,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
relu_min,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
sigmoid_accurate,fp32,2.0,0.3206593035720289,4.58,3.0,100.0,-10.0,10.0,256,pass
softplus,fp32,43.625,2.204844277803204,7.35,7697.0,100.0,-10.0,10.0,256,pass
swish,fp32,2.0,0.10655367375147762,4.61,3.0,100.0,-10.0,10.0,256,pass
threshold,fp32,,,,,,-10.0,10.0,256,native_fail_rc_1
