csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d1_s2_uniform_rational_ulp.csv,abs,rational,10d1,2,fp32,0.00,3.57,1,[-128.0,128.0]
abs_n10d3_s2_uniform_rational_ulp.csv,abs,rational,10d3,2,fp32,0.00,3.61,1,[-128.0,128.0]
abs_n10d5_s2_uniform_rational_ulp.csv,abs,rational,10d5,2,fp32,0.00,3.60,1,[-128.0,128.0]
abs_n11d1_s2_uniform_rational_ulp.csv,abs,rational,11d1,2,fp32,0.00,3.70,1,[-128.0,128.0]
abs_n11d3_s2_uniform_rational_ulp.csv,abs,rational,11d3,2,fp32,0.00,3.78,1,[-128.0,128.0]
abs_n11d5_s2_uniform_rational_ulp.csv,abs,rational,11d5,2,fp32,0.00,3.77,1,[-128.0,128.0]
abs_n12d2_s2_uniform_rational_ulp.csv,abs,rational,12d2,2,fp32,0.00,3.76,1,[-128.0,128.0]
abs_n12d4_s2_uniform_rational_ulp.csv,abs,rational,12d4,2,fp32,0.00,3.78,1,[-128.0,128.0]
abs_n13d2_s2_uniform_rational_ulp.csv,abs,rational,13d2,2,fp32,0.00,3.95,1,[-128.0,128.0]
abs_n14d1_s2_uniform_rational_ulp.csv,abs,rational,14d1,2,fp32,0.00,3.90,1,[-128.0,128.0]
abs_n15d1_s2_uniform_rational_ulp.csv,abs,rational,15d1,2,fp32,0.00,4.09,1,[-128.0,128.0]
abs_n1d1_s2_uniform_rational_ulp.csv,abs,rational,1d1,2,fp32,0.00,3.13,1,[-128.0,128.0]
abs_n2d2_s2_uniform_rational_ulp.csv,abs,rational,2d2,2,fp32,0.00,3.17,1,[-128.0,128.0]
abs_n3d2_s2_uniform_rational_ulp.csv,abs,rational,3d2,2,fp32,0.00,3.22,1,[-128.0,128.0]
abs_n4d1_s2_uniform_rational_ulp.csv,abs,rational,4d1,2,fp32,0.00,3.14,1,[-128.0,128.0]
abs_n4d3_s2_uniform_rational_ulp.csv,abs,rational,4d3,2,fp32,0.00,3.21,1,[-128.0,128.0]
abs_n5d1_s2_uniform_rational_ulp.csv,abs,rational,5d1,2,fp32,0.00,3.34,1,[-128.0,128.0]
abs_n5d3_s2_uniform_rational_ulp.csv,abs,rational,5d3,2,fp32,0.00,3.34,1,[-128.0,128.0]
abs_n5d5_s2_uniform_rational_ulp.csv,abs,rational,5d5,2,fp32,0.00,3.40,1,[-128.0,128.0]
abs_n6d2_s2_uniform_rational_ulp.csv,abs,rational,6d2,2,fp32,0.00,3.31,1,[-128.0,128.0]
abs_n6d4_s2_uniform_rational_ulp.csv,abs,rational,6d4,2,fp32,0.00,3.39,1,[-128.0,128.0]
abs_n6d6_s2_uniform_rational_ulp.csv,abs,rational,6d6,2,fp32,0.00,3.42,1,[-128.0,128.0]
abs_n7d2_s2_uniform_rational_ulp.csv,abs,rational,7d2,2,fp32,0.00,3.44,1,[-128.0,128.0]
abs_n7d4_s2_uniform_rational_ulp.csv,abs,rational,7d4,2,fp32,0.00,3.47,1,[-128.0,128.0]
abs_n7d6_s2_uniform_rational_ulp.csv,abs,rational,7d6,2,fp32,0.00,3.49,1,[-128.0,128.0]
abs_n8d1_s2_uniform_rational_ulp.csv,abs,rational,8d1,2,fp32,0.00,3.44,1,[-128.0,128.0]
abs_n8d3_s2_uniform_rational_ulp.csv,abs,rational,8d3,2,fp32,0.00,3.45,1,[-128.0,128.0]
abs_n8d5_s2_uniform_rational_ulp.csv,abs,rational,8d5,2,fp32,0.00,3.47,1,[-128.0,128.0]
abs_n8d7_s2_uniform_rational_ulp.csv,abs,rational,8d7,2,fp32,0.00,3.51,1,[-128.0,128.0]
abs_n9d1_s2_uniform_rational_ulp.csv,abs,rational,9d1,2,fp32,0.00,3.56,1,[-128.0,128.0]
abs_n9d3_s2_uniform_rational_ulp.csv,abs,rational,9d3,2,fp32,0.00,3.60,1,[-128.0,128.0]
abs_n9d5_s2_uniform_rational_ulp.csv,abs,rational,9d5,2,fp32,0.00,3.61,1,[-128.0,128.0]
abs_n9d7_s2_uniform_rational_ulp.csv,abs,rational,9d7,2,fp32,0.00,3.65,1,[-128.0,128.0]
abs_p10_s4_uniform_any_ulp.csv,abs,poly,10,4,fp32,0.00,3.71,1,[-128.0,128.0]
abs_p11_s4_uniform_any_ulp.csv,abs,poly,11,4,fp32,0.00,3.84,1,[-128.0,128.0]
abs_p13_s2_uniform_any_ulp.csv,abs,poly,13,2,fp32,0.00,2.89,1,[-128.0,128.0]
abs_p1_s16_uniform_any_ulp.csv,abs,poly,1,16,fp32,0.00,6.94,1,[-128.0,128.0]
abs_p1_s2_chebyshev_any_ulp.csv,abs,poly,1,2,fp32,0.00,2.93,1,[-128.0,128.0]
abs_p1_s2_uniform_any_ulp.csv,abs,poly,1,2,fp32,0.00,2.94,1,[-128.0,128.0]
abs_p1_s8_uniform_any_ulp.csv,abs,poly,1,8,fp32,0.00,4.06,1,[-128.0,128.0]
abs_p2_s32_uniform_any_ulp.csv,abs,poly,2,32,fp32,0.00,11.75,1,[-128.0,128.0]
abs_p3_s16_uniform_any_ulp.csv,abs,poly,3,16,fp32,0.00,7.45,1,[-128.0,128.0]
abs_p3_s3_uniform_any_ulp.csv,abs,poly,3,3,fp32,0.00,3.10,1,[-128.0,128.0]
abs_p4_s1_uniform_any_ulp.csv,abs,poly,4,1,fp32,16777216.00,1.87,1,[-128.0,128.0]
abs_p4_s4_uniform_any_ulp.csv,abs,poly,4,4,fp32,0.00,3.26,1,[-128.0,128.0]
abs_p5_s2_uniform_any_ulp.csv,abs,poly,5,2,fp32,0.00,3.03,1,[-128.0,128.0]
abs_p5_s8_uniform_any_ulp.csv,abs,poly,5,8,fp32,0.00,4.79,1,[-128.0,128.0]
abs_p6_s3_uniform_any_ulp.csv,abs,poly,6,3,fp32,0.00,3.21,1,[-128.0,128.0]
