OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,DEVICE ARCH,ATTRIBUTES,MATH FIDELITY,CORE COUNT,AVAILABLE WORKER CORE COUNT,SUB DEVICE ID,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W_PAD[LOGICAL],INPUT_0_Z_PAD[LOGICAL],INPUT_0_Y_PAD[LOGICAL],INPUT_0_X_PAD[LOGICAL],INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W_PAD[LOGICAL],INPUT_1_Z_PAD[LOGICAL],INPUT_1_Y_PAD[LOGICAL],INPUT_1_X_PAD[LOGICAL],INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,OUTPUT_0_W_PAD[LOGICAL],OUTPUT_0_Z_PAD[LOGICAL],OUTPUT_0_Y_PAD[LOGICAL],OUTPUT_0_X_PAD[LOGICAL],OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,PROGRAM HASH,PROGRAM CACHE HIT,TENSIX DM 0 MAX KERNEL SIZE [B],TENSIX DM 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 0 MAX KERNEL SIZE [B],TENSIX COMPUTE 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 2 MAX KERNEL SIZE [B],ACTIVE ETH DM 0 MAX KERNEL SIZE [B],ACTIVE ETH DM 1 MAX KERNEL SIZE [B],IDLE ETH DM 0 MAX KERNEL SIZE [B],IDLE ETH DM 1 MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),MULTICAST NOC UTIL (%),DRAM BW UTIL (%),DRAM BW UTIL PER CTRL (%),ETH BW UTIL (%),NPE CONG IMPACT (%),TT_DNN_DEVICE_OP_TT_HOST_FUNC [ns]
EmbeddingsDeviceOperation,tt_dnn_device,1027,3,blackhole,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,110,,,2281135006,2281232282,97276,8934635351630,8934635355751,0,0,3053,2600,2533,,,,175,2447,1724,1742,110,1774,,,,,,1[1],1[1],1[1],32[32],ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1[1],1[1],131072[131072],128[128],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/4075551047992850222/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'],['writer_unary_interleaved_start_id/17379425957123616916/'; 'embeddings_tilize/14134729056215501798/'],295500034972764725,False,1000,948,1180,784,2020,0,0,0,0,1,1,1,[],[],0.038,,,,,,,97276
TransposeDeviceOperation,tt_dnn_device,2051,3,blackhole,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_value': '0'},,110,110,,,2530755911,2530867123,111212,8934972342718,8934972348027,249612280,249612280,3933,3351,3351,,,,207,3327,979,,,,,,,,,1[1],1[1],32[32],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['writer_unary_transpose_hc_interleaved_tiled_padding_aware/3403485737563375483/'; 'reader_unary_transpose_hc_interleaved_tiled_padding_aware/3278640446294112578/'],14763886275959663257,False,1216,1040,0,0,0,0,0,0,0,1244,1244,476,[6.585208892822266],[210.7266845703125],37.123,,,,,,,111212
InterleavedToShardedDeviceOperation,tt_dnn_device,3075,3,blackhole,"{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec{grid=[{""start"":{""x"":0;""y"":0};""end"":{""x"":0;""y"":0}; {""start"":{""x"":0;""y"":1};""end"":{""x"":0;""y"":1}; {""start"":{""x"":0;""y"":2};""end"":{""x"":0;""y"":2}; {""start"":{""x"":1;""y"":0};""end"":{""x"":1;""y"":0}; {""start"":{""x"":1;""y"":1};""end"":{""x"":1;""y"":1}; {""start"":{""x"":1;""y"":2};""end"":{""x"":1;""y"":2}; {""start"":{""x"":2;""y"":0};""end"":{""x"":2;""y"":0}; {""start"":{""x"":2;""y"":1};""end"":{""x"":2;""y"":1}; {""start"":{""x"":2;""y"":2};""end"":{""x"":2;""y"":2}; {""start"":{""x"":3;""y"":0};""end"":{""x"":3;""y"":0}; {""start"":{""x"":3;""y"":1};""end"":{""x"":3;""y"":1}; {""start"":{""x"":3;""y"":2};""end"":{""x"":3;""y"":2}; {""start"":{""x"":4;""y"":0};""end"":{""x"":4;""y"":0}; {""start"":{""x"":4;""y"":1};""end"":{""x"":4;""y"":1}; {""start"":{""x"":4;""y"":2};""end"":{""x"":4;""y"":2}; {""start"":{""x"":5;""y"":0};""end"":{""x"":5;""y"":0}; {""start"":{""x"":5;""y"":1};""end"":{""x"":5;""y"":1}; {""start"":{""x"":5;""y"":2};""end"":{""x"":5;""y"":2}; {""start"":{""x"":6;""y"":0};""end"":{""x"":6;""y"":0}; {""start"":{""x"":6;""y"":1};""end"":{""x"":6;""y"":1}; {""start"":{""x"":6;""y"":2};""end"":{""x"":6;""y"":2}; {""start"":{""x"":7;""y"":0};""end"":{""x"":7;""y"":0}; {""start"":{""x"":7;""y"":1};""end"":{""x"":7;""y"":1}; {""start"":{""x"":7;""y"":2};""end"":{""x"":7;""y"":2}; {""start"":{""x"":8;""y"":0};""end"":{""x"":8;""y"":0}; {""start"":{""x"":8;""y"":1};""end"":{""x"":8;""y"":1}; {""start"":{""x"":8;""y"":2};""end"":{""x"":8;""y"":2}; {""start"":{""x"":9;""y"":0};""end"":{""x"":9;""y"":0}; {""start"":{""x"":9;""y"":1};""end"":{""x"":9;""y"":1}; {""start"":{""x"":9;""y"":2};""end"":{""x"":9;""y"":2}; {""start"":{""x"":10;""y"":0};""end"":{""x"":10;""y"":0}; {""start"":{""x"":10;""y"":1};""end"":{""x"":10;""y"":1}]; shape=[32; 128]; orientation=ShardOrientation::ROW_MAJOR};nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'}",,32,110,,,2742853550,2742952569,99019,8935258667736,8935258670458,211996878,211996878,2016,1101,1101,,,,163,1101,1059,,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'],['writer_unary_sharded/2816079715866797849/'; 'reader_unary_sharded_blocks_interleaved_start_id/13575281725531493021/'],3818893462322974683,False,444,876,0,0,0,0,0,0,0,1,1,1,[],[],0.091,,,,,,,99019
EmbeddingsDeviceOperation,tt_dnn_device,4099,3,blackhole,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,110,,,2743079471,2743083148,3677,8935258975369,8935258979557,226423,226400,3102,2546,2542,,,,30,2520,1733,1796,115,1864,,,,,,1[1],1[1],1[1],32[32],ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1[1],1[1],131072[131072],128[128],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/4075551047992850222/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'],['writer_unary_interleaved_start_id/17379425957123616916/'; 'embeddings_tilize/14134729056215501798/'],295500034972764725,False,1000,948,1180,784,2020,0,0,0,0,1,1,1,[],[],0.039,,,,,,,3677
TransposeDeviceOperation,tt_dnn_device,5123,3,blackhole,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_value': '0'},,110,110,,,2743124758,2743126321,1563,8935259044003,8935259049277,48354,48354,3907,3299,3299,,,,162,3295,998,,,,,,,,,1[1],1[1],32[32],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['writer_unary_transpose_hc_interleaved_tiled_padding_aware/3403485737563375483/'; 'reader_unary_transpose_hc_interleaved_tiled_padding_aware/3278640446294112578/'],14763886275959663257,False,1216,1040,0,0,0,0,0,0,0,1244,1244,476,[6.585208892822266],[210.7266845703125],37.708,,,,,,,1563
InterleavedToShardedDeviceOperation,tt_dnn_device,6147,3,blackhole,"{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec{grid=[{""start"":{""x"":0;""y"":0};""end"":{""x"":0;""y"":0}; {""start"":{""x"":0;""y"":1};""end"":{""x"":0;""y"":1}; {""start"":{""x"":0;""y"":2};""end"":{""x"":0;""y"":2}; {""start"":{""x"":1;""y"":0};""end"":{""x"":1;""y"":0}; {""start"":{""x"":1;""y"":1};""end"":{""x"":1;""y"":1}; {""start"":{""x"":1;""y"":2};""end"":{""x"":1;""y"":2}; {""start"":{""x"":2;""y"":0};""end"":{""x"":2;""y"":0}; {""start"":{""x"":2;""y"":1};""end"":{""x"":2;""y"":1}; {""start"":{""x"":2;""y"":2};""end"":{""x"":2;""y"":2}; {""start"":{""x"":3;""y"":0};""end"":{""x"":3;""y"":0}; {""start"":{""x"":3;""y"":1};""end"":{""x"":3;""y"":1}; {""start"":{""x"":3;""y"":2};""end"":{""x"":3;""y"":2}; {""start"":{""x"":4;""y"":0};""end"":{""x"":4;""y"":0}; {""start"":{""x"":4;""y"":1};""end"":{""x"":4;""y"":1}; {""start"":{""x"":4;""y"":2};""end"":{""x"":4;""y"":2}; {""start"":{""x"":5;""y"":0};""end"":{""x"":5;""y"":0}; {""start"":{""x"":5;""y"":1};""end"":{""x"":5;""y"":1}; {""start"":{""x"":5;""y"":2};""end"":{""x"":5;""y"":2}; {""start"":{""x"":6;""y"":0};""end"":{""x"":6;""y"":0}; {""start"":{""x"":6;""y"":1};""end"":{""x"":6;""y"":1}; {""start"":{""x"":6;""y"":2};""end"":{""x"":6;""y"":2}; {""start"":{""x"":7;""y"":0};""end"":{""x"":7;""y"":0}; {""start"":{""x"":7;""y"":1};""end"":{""x"":7;""y"":1}; {""start"":{""x"":7;""y"":2};""end"":{""x"":7;""y"":2}; {""start"":{""x"":8;""y"":0};""end"":{""x"":8;""y"":0}; {""start"":{""x"":8;""y"":1};""end"":{""x"":8;""y"":1}; {""start"":{""x"":8;""y"":2};""end"":{""x"":8;""y"":2}; {""start"":{""x"":9;""y"":0};""end"":{""x"":9;""y"":0}; {""start"":{""x"":9;""y"":1};""end"":{""x"":9;""y"":1}; {""start"":{""x"":9;""y"":2};""end"":{""x"":9;""y"":2}; {""start"":{""x"":10;""y"":0};""end"":{""x"":10;""y"":0}; {""start"":{""x"":10;""y"":1};""end"":{""x"":10;""y"":1}]; shape=[32; 128]; orientation=ShardOrientation::ROW_MAJOR};nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'}",,32,110,,,2743167399,2743168491,1092,8935259099592,8935259102358,38212,38212,2049,1124,1124,,,,164,1122,1091,,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'],['writer_unary_sharded/2816079715866797849/'; 'reader_unary_sharded_blocks_interleaved_start_id/13575281725531493021/'],3818893462322974683,False,444,876,0,0,0,0,0,0,0,1,1,1,[],[],0.089,,,,,,,1092
EmbeddingsDeviceOperation,tt_dnn_device,7171,3,blackhole,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,110,,,3004392121,3004468526,76405,8935611743329,8935611748223,261191204,261191204,3625,3116,3116,,,,84,3047,1839,1901,122,1996,,,,,,1[1],1[1],1[1],32[32],ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1[1],1[1],131072[131072],256[256],ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],256[256],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/1883113549092967117/'],['ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'],['writer_unary_interleaved_start_id/17379425957123616916/'; 'embeddings_tilize/16389043569753230323/'],2884466655117215699,False,1000,948,1220,804,2084,0,0,0,0,1,1,1,[],[],0.032,,,,,,,76405
TransposeDeviceOperation,tt_dnn_device,8195,3,blackhole,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'pad_value': '0'},,110,110,,,3252457317,3252554653,97336,8935946632574,8935946638157,248081238,248081238,4136,3541,3541,,,,167,3523,1024,,,,,,,,,1[1],1[1],32[32],256[256],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],256[256],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['writer_unary_transpose_hc_interleaved_tiled_padding_aware/3592149805530130016/'; 'reader_unary_transpose_hc_interleaved_tiled_padding_aware/3278640446294112578/'],11093648575313324181,False,1216,1040,0,0,0,0,0,0,0,2059,2059,953,[7.957260608673096],[254.63233947753906],58.147,,,,,,,97336
SliceDeviceOperation,tt_dnn_device,9219,3,blackhole,{'num_devices': 'std::nullopt'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'; 'slice_dim': 'std::nullopt'; 'slice_end': 'Shape([1; 32; 32; 128])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'; 'sub_core_grids': 'std::nullopt'; 'use_tensor_args': 'false'},,110,110,,,3254760241,3254840143,79902,8935949747072,8935949751359,2303588,2303588,3176,2589,2589,,,,161,2582,2322,,,,,,,,,1[1],32[32],32[1],256[256],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[32],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/reader_unary_unpad_dims_interleaved_start_id.cpp'],['writer_unary_interleaved_start_id/17872786682307166113/'; 'reader_unary_unpad_dims_interleaved_start_id/5783004548399313417/'],13405722893863627506,False,1000,1028,0,0,0,0,0,0,0,1207,1207,953,[434.3728332519531],[217.18641662597656],46.62,,,,,,,79902
InterleavedToShardedDeviceOperation,tt_dnn_device,10243,3,blackhole,"{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec{grid=[{""start"":{""x"":0;""y"":0};""end"":{""x"":0;""y"":0}; {""start"":{""x"":0;""y"":1};""end"":{""x"":0;""y"":1}; {""start"":{""x"":0;""y"":2};""end"":{""x"":0;""y"":2}; {""start"":{""x"":1;""y"":0};""end"":{""x"":1;""y"":0}; {""start"":{""x"":1;""y"":1};""end"":{""x"":1;""y"":1}; {""start"":{""x"":1;""y"":2};""end"":{""x"":1;""y"":2}; {""start"":{""x"":2;""y"":0};""end"":{""x"":2;""y"":0}; {""start"":{""x"":2;""y"":1};""end"":{""x"":2;""y"":1}; {""start"":{""x"":2;""y"":2};""end"":{""x"":2;""y"":2}; {""start"":{""x"":3;""y"":0};""end"":{""x"":3;""y"":0}; {""start"":{""x"":3;""y"":1};""end"":{""x"":3;""y"":1}; {""start"":{""x"":3;""y"":2};""end"":{""x"":3;""y"":2}; {""start"":{""x"":4;""y"":0};""end"":{""x"":4;""y"":0}; {""start"":{""x"":4;""y"":1};""end"":{""x"":4;""y"":1}; {""start"":{""x"":4;""y"":2};""end"":{""x"":4;""y"":2}; {""start"":{""x"":5;""y"":0};""end"":{""x"":5;""y"":0}; {""start"":{""x"":5;""y"":1};""end"":{""x"":5;""y"":1}; {""start"":{""x"":5;""y"":2};""end"":{""x"":5;""y"":2}; {""start"":{""x"":6;""y"":0};""end"":{""x"":6;""y"":0}; {""start"":{""x"":6;""y"":1};""end"":{""x"":6;""y"":1}; {""start"":{""x"":6;""y"":2};""end"":{""x"":6;""y"":2}; {""start"":{""x"":7;""y"":0};""end"":{""x"":7;""y"":0}; {""start"":{""x"":7;""y"":1};""end"":{""x"":7;""y"":1}; {""start"":{""x"":7;""y"":2};""end"":{""x"":7;""y"":2}; {""start"":{""x"":8;""y"":0};""end"":{""x"":8;""y"":0}; {""start"":{""x"":8;""y"":1};""end"":{""x"":8;""y"":1}; {""start"":{""x"":8;""y"":2};""end"":{""x"":8;""y"":2}; {""start"":{""x"":9;""y"":0};""end"":{""x"":9;""y"":0}; {""start"":{""x"":9;""y"":1};""end"":{""x"":9;""y"":1}; {""start"":{""x"":9;""y"":2};""end"":{""x"":9;""y"":2}; {""start"":{""x"":10;""y"":0};""end"":{""x"":10;""y"":0}; {""start"":{""x"":10;""y"":1};""end"":{""x"":10;""y"":1}]; shape=[32; 128]; orientation=ShardOrientation::ROW_MAJOR};nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0;per_core_allocation=0)'}",,32,110,,,3254924093,3254926037,1944,8935949965174,8935949967988,159326,159326,2084,1152,1152,,,,163,1151,1120,,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,1[1],32[32],32[1],128[128],TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'],['writer_unary_sharded/2816079715866797849/'; 'reader_unary_sharded_blocks_interleaved_start_id/13575281725531493021/'],3818893462322974683,False,444,876,0,0,0,0,0,0,0,1,1,1,[],[],0.087,,,,,,,1944
