Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
59.38,MatmulDeviceOperation (in0:dram_interleaved),2414.69,12,Compute,3.33,4.44,4.00,0.50,4.01
8.70,LayerNormDeviceOperation (in0:dram_interleaved),353.79,8,Compute,,,,,
5.47,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),222.55,4,Other,,,,,
5.44,MatmulDeviceOperation (in0:width_sharded),221.21,4,Compute,12.33,12.38,12.34,0.02,12.34
5.29,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),215.20,8,DM,,,,,
3.85,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),156.69,16,TM,,,,,
2.87,BinaryNgDeviceOperation (in0:dram_interleaved),116.86,36,Compute,,,,,
2.52,PermuteDeviceOperation (in0:dram_interleaved),102.39,24,TM,,,,,
2.08,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),84.39,24,TM,,,,,
1.35,SliceDeviceOperation (in0:dram_interleaved),54.72,24,TM,,,,,
0.77,SdpaDecodeDeviceOperation (in0:height_sharded),31.43,4,Other,,,,,
0.67,UntilizeDeviceOperation (in0:dram_interleaved),27.22,8,TM,,,,,
0.41,UnaryDeviceOperation (in0:dram_interleaved),16.53,8,Compute,,,,,
0.37,ConcatDeviceOperation (in0:dram_interleaved),15.07,8,TM,,,,,
0.22,EmbeddingsDeviceOperation (in0:dram_interleaved),8.87,8,Compute,,,,,
0.16,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.62,12,DM,,,,,
0.15,SliceDeviceOperation (in0:width_sharded),5.95,4,TM,,,,,
0.11,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),4.32,4,TM,,,,,
0.10,ShardedToInterleavedDeviceOperation (in0:height_sharded),4.19,8,DM,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),3.60,4,TM,,,,,
