Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_FUSED_PREFILL_B32'.
Using operations until 'PERF_FUSED_PREFILL_B32_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                            Device   Device Time  Op-to-Op Gap  Cores  DRAM     DRAM %  FLOPs        FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2142    0.4 %         LayerNormDeviceOperation                                 2       152 μs                  110                                                BF16, BF16 => BF16
 2143   13.6 %   SLOW  MatmulDeviceOperation b={32} x 128 x 3072 x 9216         2     5,033 μs          0 μs     96  31 GB/s   6.1 %  46.1 TFLOPs   17.4 %  HiFi2 BF16 x BF16 => BF16
 2144    1.0 %         NlpCreateHeadsDeviceOperation                            2       360 μs          1 μs    110                                                      BF16 => BF16
 2145    0.2 %         SliceDeviceOperation                                     2        88 μs          0 μs    110                                                      BF16 => BF16
 2146    0.4 %         UntilizeDeviceOperation                                  2       166 μs          1 μs    108                                                      BF16 => BF16
 2147    1.7 %         SliceDeviceOperation                                     2       622 μs          1 μs    110                                                      BF16 => BF16
 2148    0.8 %         TilizeWithValPaddingDeviceOperation                      2       284 μs          0 μs    108                                                      BF16 => BF16
 2149    0.2 %         UnaryDeviceOperation                                     2        85 μs          0 μs    110                                                      BF16 => BF16
 2150    0.9 %         UntilizeWithUnpaddingDeviceOperation                     2       338 μs          1 μs    108                                                      BF16 => BF16
 2151    0.9 %         UntilizeWithUnpaddingDeviceOperation                     2       338 μs          0 μs    108                                                      BF16 => BF16
 2152    1.4 %         PermuteDeviceOperation                                   2       529 μs          0 μs    110                                                      BF16 => BF16
 2153    1.4 %         PermuteDeviceOperation                                   2       530 μs          0 μs    110                                                      BF16 => BF16
 2154    1.0 %         ConcatDeviceOperation                                    2       367 μs          0 μs    110                                                BF16, BF16 => BF16
 2155    2.4 %         PermuteDeviceOperation                                   2       874 μs          1 μs    110                                                      BF16 => BF16
 2156    0.8 %         TilizeWithValPaddingDeviceOperation                      2       283 μs          1 μs    108                                                      BF16 => BF16
 2157    0.0 %         TilizeDeviceOperation                                    2         2 μs          1 μs      4                                                      BF16 => BF16
 2158    0.5 %         BinaryNgDeviceOperation                                  2       200 μs          0 μs    110                                                BF16, BF16 => BF16
 2159    0.0 %         TilizeDeviceOperation                                    2         2 μs          1 μs      4                                                      BF16 => BF16
 2160    0.5 %         BinaryNgDeviceOperation                                  2       197 μs          0 μs    110                                                BF16, BF16 => BF16
 2161    0.5 %         BinaryNgDeviceOperation                                  2       184 μs          0 μs    110                                                BF16, BF16 => BF16
 2162    0.2 %         SliceDeviceOperation                                     2        91 μs          0 μs    110                                                      BF16 => BF16
 2163    0.5 %         UntilizeDeviceOperation                                  2       168 μs          1 μs    108                                                      BF16 => BF16
 2164    1.7 %         SliceDeviceOperation                                     2       621 μs          1 μs    110                                                      BF16 => BF16
 2165    0.8 %         TilizeWithValPaddingDeviceOperation                      2       284 μs          1 μs    108                                                      BF16 => BF16
 2166    0.2 %         UnaryDeviceOperation                                     2        85 μs          0 μs    110                                                      BF16 => BF16
 2167    0.9 %         UntilizeWithUnpaddingDeviceOperation                     2       338 μs          1 μs    108                                                      BF16 => BF16
 2168    0.9 %         UntilizeWithUnpaddingDeviceOperation                     2       339 μs          0 μs    108                                                      BF16 => BF16
 2169    1.4 %         PermuteDeviceOperation                                   2       530 μs          0 μs    110                                                      BF16 => BF16
 2170    1.4 %         PermuteDeviceOperation                                   2       527 μs          0 μs    110                                                      BF16 => BF16
 2171    1.0 %         ConcatDeviceOperation                                    2       370 μs          1 μs    110                                                BF16, BF16 => BF16
 2172    2.3 %         PermuteDeviceOperation                                   2       858 μs          0 μs    110                                                      BF16 => BF16
 2173    0.8 %         TilizeWithValPaddingDeviceOperation                      2       286 μs          1 μs    108                                                      BF16 => BF16
 2174    0.0 %         TilizeDeviceOperation                                    2         2 μs          1 μs      4                                                      BF16 => BF16
 2175    0.5 %         BinaryNgDeviceOperation                                  2       198 μs          0 μs    110                                                BF16, BF16 => BF16
 2176    0.0 %         TilizeDeviceOperation                                    2         2 μs          1 μs      4                                                      BF16 => BF16
 2177    0.5 %         BinaryNgDeviceOperation                                  2       200 μs          0 μs    110                                                BF16, BF16 => BF16
 2178    0.5 %         BinaryNgDeviceOperation                                  2       180 μs          0 μs    110                                                BF16, BF16 => BF16
 2179    0.0 %         SliceDeviceOperation                                     2         5 μs          0 μs    110                                                      BF16 => BF16
 2180    0.0 %         SliceDeviceOperation                                     2         5 μs          0 μs    110                                                      BF16 => BF16
 2181    0.0 %         PagedFillCacheDeviceOperation                            2         5 μs          1 μs    110                                                BF16, BF16 => BF16
 2182    0.0 %         PagedFillCacheDeviceOperation                            2         5 μs          1 μs    110                                                BF16, BF16 => BF16
 2183    0.0 %         SliceDeviceOperation                                     2         5 μs          1 μs    110                                                      BF16 => BF16
 2184    0.0 %         SliceDeviceOperation                                     2         5 μs          1 μs    110                                                      BF16 => BF16
 2185    0.0 %         PagedFillCacheDeviceOperation                            2         4 μs          0 μs    110                                                BF16, BF16 => BF16
 2186    0.0 %         PagedFillCacheDeviceOperation                            2         5 μs          1 μs    110                                                BF16, BF16 => BF16
 2187    0.0 %         SliceDeviceOperation                                     2         5 μs          1 μs    110                                                      BF16 => BF16
 2188    0.0 %         SliceDeviceOperation                                     2         5 μs          0 μs    110                                                      BF16 => BF16
 2189    0.0 %         PagedFillCacheDeviceOperation                            2         5 μs          0 μs    110                                                BF16, BF16 => BF16
 2190    0.0 %         PagedFillCacheDeviceOperation                            2         5 μs          1 μs    110                                                BF16, BF16 => BF16
