# row  variant  rows  wt  blocks  tiles  gamma  blk  pcc  rel_rms
1	baseline	8	4	4	128	1	4	0.999983	0.00937
2	baseline_blk	8	4	4	128	1	4	0.999983	0.00937
3	baseline	8	4	4	128	1	4	0.999983	0.00937
4	baseline_norecfg	8	4	4	128	1	4	0.999983	0.00937
5	baseline	8	4	4	128	1	4	0.999983	0.00937
6	baseline_blk_norecfg	8	4	4	128	1	4	0.999983	0.00937
7	baseline	8	4	4	128	1	4	0.999983	0.00937
8	fused	8	4	4	128	1	4	0.999983	0.00927
9	baseline	8	4	4	128	1	4	0.999983	0.00937
10	fused_blk	8	4	4	128	1	4	0.999983	0.00927
11	baseline	8	4	4	128	1	4	0.999983	0.00937
12	fused_blk_norecfg	8	4	4	128	1	4	0.999983	0.00927
13	baseline	8	4	4	128	1	4	0.999983	0.00937
14	outer	8	4	4	128	1	4	0.999983	0.00935
15	baseline	8	4	4	128	1	4	0.999983	0.00937
16	baseline_gfull_blk	8	4	4	128	1	4	0.999983	0.00937
17	baseline	8	4	4	128	1	4	0.999983	0.00937
18	baseline_up	8	4	4	128	1	4	0.999983	0.00937
19	baseline	8	4	4	128	1	4	0.999983	0.00937
20	baseline_blk_up	8	4	4	128	1	4	0.999983	0.00937
