Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
96.35,SparseMatmulDeviceOperation (in0:dram_interleaved),534995.84,96,Compute,19.65,50.06,28.82,10.71,31.23
1.24,UnaryDeviceOperation (in0:dram_interleaved),6871.48,129,Compute,,,,,
1.05,BinaryNgDeviceOperation (in0:dram_interleaved),5831.56,70,Compute,,,,,
0.45,PermuteDeviceOperation (in0:dram_interleaved),2517.88,96,TM,,,,,
0.34,FastReduceNCDeviceOperation (in0:dram_interleaved),1868.44,32,Compute,,,,,
0.14,MatmulDeviceOperation (in0:dram_interleaved),796.67,6,Compute,28.32,89.92,73.89,23.76,77.35
0.13,SDPAOperation (in0:dram_interleaved),715.31,1,Compute,,,,,
0.10,ConcatDeviceOperation (in0:dram_interleaved),549.30,31,TM,,,,,
0.09,LayerNormDeviceOperation (in0:dram_interleaved),481.83,11,Compute,,,,,
0.04,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),197.57,2,Other,,,,,
0.02,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),117.15,1,TM,,,,,
0.02,SliceDeviceOperation (in0:dram_interleaved),96.45,66,TM,,,,,
0.01,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),59.20,1,TM,,,,,
0.01,TypecastDeviceOperation (in0:dram_interleaved),54.60,3,TM,,,,,
0.01,PagedFillCacheDeviceOperation (in0:dram_interleaved),44.47,2,Other,,,,,
0.00,ScatterDeviceOperation (in0:dram_interleaved),27.66,1,Other,,,,,
0.00,TopKDeviceOperation (in0:dram_interleaved),25.80,1,Other,,,,,
0.00,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),20.81,2,TM,,,,,
0.00,SoftmaxDeviceOperation (in0:dram_interleaved),6.40,1,Compute,,,,,
0.00,UntilizeDeviceOperation (in0:dram_interleaved),4.91,1,TM,,,,,
0.00,TilizeDeviceOperation (in0:dram_interleaved),3.47,1,TM,,,,,
