# server	ISL	OSL	CONC	t/s/u	agg_tok/s	E2EL_s(meas)	TTFT_ms
k64	1024	1024	1	28.44	27.9	36.7	711
k64	16384	1024	1	27.40	20.4	50.1	12775
k64	32768	1024	1	26.38	15.0	68.1	29346
k64	130048	1024	1	21.71	4.0	255.0	207842
k64	1024	128	8	24.02	99.1	10.3	5046
k64	16384	128	8	5.64	9.5	107.7	85150
