formats.input_A,formats.input_B,formats.register_A,formats.register_B,formats.output,formats.sfpu_math,unpack_to_dest,dest_acc,speed_of_light,math_fidelity,dest_sync,throttle_level,unpack_transpose_faces,num_faces,num_faces_A,num_faces_B,loop_factor,tile_cnt,c_dimm,r_dimm,k_dimm,marker,mean(L1_TO_L1),TEXT_SIZE(L1_TO_L1),test,dst_index,unpack_transpose_within_face,partial_a,partial_face_pack,partial_b,partial_face_math,in0_r_dim,in0_c_dim,in1_r_dim,in1_c_dim,cfg,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,5,1,5,1,TILE_LOOP,20032.0,12316,perf_matmul,,,,,,,,,,,c8308cdaadf9,20032,20032,20036,20032,19995,19989,20009,20032,20023,20032
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,10,1,5,2,TILE_LOOP,24633.0,12316,perf_matmul,,,,,,,,,,,f8257c81acb8,24633,24659,24633,24633,24633,24633,24624,24633,24633,24633
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,15,1,5,3,TILE_LOOP,34166.0,12316,perf_matmul,,,,,,,,,,,fb00de59d378,34166,34166,34166,34199,34166,34172,34134,34166,34166,34166
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,5,1,5,1,TILE_LOOP,19133.0,12316,perf_matmul,,,,,,,,,,,18551856811f,19133,19111,19133,19133,19133,19133,19132,19132,19133,19135
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,5,1,5,1,TILE_LOOP,19161.0,12304,perf_matmul,,,,,,,,,,,440eb80ab64e,19161,19166,19116,19160,19161,19160,19160,19163,19160,19160
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,10,1,5,2,TILE_LOOP,25330.0,12304,perf_matmul,,,,,,,,,,,098d9c489e27,25330,25359,25330,25330,25330,25368,25323,25340,25330,25367
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,12,2,2,3,TILE_LOOP,23687.0,12304,perf_matmul,,,,,,,,,,,ca8bf4503423,23687,23733,23749,23687,23687,23687,23687,23687,23682,23687
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,15,1,5,3,TILE_LOOP,29981.0,12304,perf_matmul,,,,,,,,,,,2958ff278c8e,29981,29957,29983,29963,29957,29998,29962,29977,29981,29957
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,16,2,2,4,TILE_LOOP,31034.0,12304,perf_matmul,,,,,,,,,,,2e608a3cfebe,31034,31055,31055,31055,31055,31055,31055,31055,31055,31157
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,16,4,1,4,TILE_LOOP,32056.0,12304,perf_matmul,,,,,,,,,,,5b18e8d4f69b,32056,31637,31637,31644,31637,31637,31637,31637,31637,31637
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,32,2,2,8,TILE_LOOP,60869.0,12304,perf_matmul,,,,,,,,,,,fe75552c4d6d,60869,60869,60869,60869,60923,60981,60869,60869,60869,60869
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,32,4,1,8,TILE_LOOP,59021.0,12304,perf_matmul,,,,,,,,,,,0fcf1a798e5e,59021,59039,59039,59039,59447,59443,59033,59039,59039,59034
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,128,4,1,32,TILE_LOOP,223394.0,12304,perf_matmul,,,,,,,,,,,621582ac83ff,223394,223383,223814,223394,223394,223394,223394,223395,223394,223383
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,6,2,1,3,TILE_LOOP,20999.0,12364,perf_matmul,,,,,,,,,,,fbdb89b154bb,20999,21061,21061,21061,20945,21061,21061,21061,21061,21061
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,8,2,1,4,TILE_LOOP,27364.0,12364,perf_matmul,,,,,,,,,,,c193ba1b9dd8,27364,27364,27364,27454,27364,27364,27364,27364,27454,27364
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,8,2,1,4,TILE_LOOP,27396.0,12352,perf_matmul,,,,,,,,,,,33c45b4e132f,27396,27396,27396,27396,27396,27397,27396,27330,27396,27396
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float16_b,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,16,2,1,8,TILE_LOOP,53488.0,12352,perf_matmul,,,,,,,,,,,6cce644f6f99,53488,53488,53494,53488,53488,53488,53579,53488,53488,53488
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,24,3,2,4,TILE_LOOP,55586.0,12316,perf_matmul,,,,,,,,,,,12e5fd983110,55586,55594,55586,55595,55586,55586,55588,55586,55586,55662
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,40,1,5,8,TILE_LOOP,92025.0,12316,perf_matmul,,,,,,,,,,,e4d031497c9f,92025,92027,91980,91929,91901,92016,92052,91963,91953,91922
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,18,3,2,3,TILE_LOOP,36841.0,12304,perf_matmul,,,,,,,,,,,7b14cc63e042,36841,36714,36880,36876,36782,36880,36880,36880,36713,36886
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,24,3,2,4,TILE_LOOP,39869.0,12304,perf_matmul,,,,,,,,,,,a9d4694c039c,39869,39868,39856,39868,39856,39863,39868,39848,39869,39827
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,40,1,5,8,TILE_LOOP,75093.0,12304,perf_matmul,,,,,,,,,,,8769a950dcc6,75093,75207,75128,75118,75158,75129,75157,75152,75172,75117
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,48,3,2,8,TILE_LOOP,65778.0,12304,perf_matmul,,,,,,,,,,,c13537b80989,65778,65745,65791,65694,65637,65793,65774,65939,65667,65779
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,4,4,1,1,TILE_LOOP,25804.0,12364,perf_matmul,,,,,,,,,,,0c9abfc53593,25804,25898,25804,25804,25804,25805,25804,25804,25805,25804
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,8,4,1,2,TILE_LOOP,26863.0,12364,perf_matmul,,,,,,,,,,,c29471cabd7b,26863,26863,26863,26819,26863,26838,26863,26863,26863,26826
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.HiFi4,DestSync.Half,0,Transpose.No,4,4,4,64,4,4,1,1,TILE_LOOP,25436.0,12364,perf_matmul,,,,,,,,,,,608962e97857,25436,25420,25449,25449,25484,25449,25449,25449,25449,25449
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,4,4,1,1,TILE_LOOP,25214.0,12352,perf_matmul,,,,,,,,,,,647f5aa20eaa,25214,25112,25224,25118,25120,25069,25112,25112,25112,25230
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,8,4,1,2,TILE_LOOP,27394.0,12352,perf_matmul,,,,,,,,,,,1977ad2c33ea,27394,27325,27819,27394,27394,27420,27393,27393,27394,27400
