cfg,test,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
9c3c1dc3d24b,perf_matmul,10000,10000,10000,9994,10000,10000,10000,10000,10000,10000
9c90f1e308b2,perf_matmul,14577,14577,14572,14556,14588,14588,14588,14588,14588,14588
8764b188a454,perf_matmul,20879,20879,20940,20940,20940,20940,20940,20963,20879,20940
4d608f33ddd0,perf_matmul,14762,14760,14762,14762,14762,14757,14762,14762,14762,14762
f4e938a39079,perf_matmul,45195,45195,45195,45195,45195,45195,45196,45195,45193,45194
2facbb652341,perf_matmul,47160,47160,47160,47160,47160,47160,47160,47160,47160,47160
b335713a6e8d,perf_matmul,88968,88969,88971,88971,88971,88971,88971,88964,88971,88971
dae41c038afa,perf_matmul,141082,141082,141082,141082,141082,141082,141082,141082,141082,141082
9a1e34b38acd,perf_matmul,212131,212126,212126,212126,212127,212126,212132,212126,212126,212127
89cb19c38ed0,perf_matmul,560409,560408,560410,560409,560409,560409,560407,560409,560409,560409
df6e2a85c928,perf_matmul,9522,9522,9522,9522,9522,9522,9550,9522,9522,9523
58c3e26c74be,perf_matmul,14545,14563,14547,14547,14565,14563,14563,14547,14563,14563
1a3a866cacb9,perf_matmul,20970,20905,20970,20970,20970,20970,20970,20970,20905,20970
59ec7bb88eae,perf_matmul,46208,46208,46208,46208,46208,46208,46208,46207,46208,46208
c43dd244cfed,perf_matmul,65416,65423,65423,65423,65423,65423,65423,65423,65423,65423
17a7a81a1d77,perf_matmul,68679,68677,68679,68679,68679,68673,68679,68679,68679,68669
c1b7a018d84a,perf_matmul,129676,129676,129676,129681,129676,129676,129671,129676,129678,129676
c2edf39bec50,perf_matmul,206610,206610,206611,206609,206616,206611,206611,206611,206611,206608
40ef9894cb45,perf_matmul,310433,310433,310433,310433,310433,310427,310433,310427,310435,310433
754eb5500955,perf_matmul,822537,822538,822537,822538,822535,822536,822538,822538,822538,822538
a87e8375d019,perf_matmul,9668,9669,9669,9669,9669,9669,9669,9664,9669,9669
d6455707c07e,perf_matmul,18179,18179,18179,18179,18179,18179,18179,18179,18183,18182
eb31e784d354,perf_matmul,26693,26692,26692,26692,26692,26692,26692,26692,26693,26692
037bd43fa0e1,perf_matmul,60527,60529,60529,60529,60529,60529,60529,60529,60529,60529
1703dfefe305,perf_matmul,85958,85958,85958,85958,85958,85958,85958,85958,85959,85958
a04c29405a88,perf_matmul,103062,103062,103062,103064,103062,103062,103062,103064,103062,103062
76dce36670f5,perf_matmul,272146,272147,272147,272146,272147,272147,272147,272147,272147,272147
2ef067f63c29,perf_matmul,408726,408726,408730,408726,408726,408726,408726,408726,408726,408726
64ef2001cb24,perf_matmul,1084688,1084686,1084688,1084688,1084691,1084691,1084688,1084688,1084688,1084688
4e5ab0713a00,perf_matmul,10461,10471,10471,10471,10471,10471,10477,10471,10471,10471
4cf71bb5328d,perf_matmul,14331,14329,14331,14331,14331,14331,14331,14315,14331,14331
a4cb0a2b41e9,perf_matmul,20874,20907,20874,20874,20874,20874,20874,20874,20874,20874
274e45657e1b,perf_matmul,13194,13194,13201,13194,13194,13194,13194,13194,13194,13189
09fd45f4953f,perf_matmul,35499,35516,35497,35500,35499,35500,35499,35499,35516,35499
