test,marker,run_type,cfg_broadcast_type,cfg_ct_dim,cfg_dest_acc,cfg_formats.input_A,cfg_formats.input_B,cfg_formats.output,cfg_formats.register_A,cfg_formats.register_B,cfg_formats.sfpu_math,cfg_loop_factor,cfg_math_fidelity,cfg_mathop,cfg_speed_of_light,cfg_tile_cnt,cfg_unpack_to_dest,n,median,mean,std,cv,min,max,spread,abs_spread,gate_delta_max_k1,gate_delta_max_k2,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,cfg_approx_mode,cfg_iterations,cfg_num_faces,cfg_num_faces_A,cfg_num_faces_B,cfg_unpack_transpose_faces,cfg_unpack_transpose_within_face,cfg_fast_mode,cfg_input_format,cfg_output_format,cfg_stable_sort,cfg_clamp_negative,cfg_block_ct_dim,cfg_block_rt_dim,cfg_full_ct_dim,cfg_full_rt_dim,cfg_c_dimm,cfg_dest_sync,cfg_dst_index,cfg_in0_c_dim,cfg_in0_r_dim,cfg_in1_c_dim,cfg_in1_r_dim,cfg_k_dimm,cfg_partial_a,cfg_partial_b,cfg_partial_face_math,cfg_partial_face_pack,cfg_r_dimm,cfg_throttle_level,cfg_math_transpose_faces,cfg_reduce_pool_type,cfg_binop_mathop,cfg_value_bits,cfg_ternary_mathop,cfg_ternary_scalar_bits,cfg_srca_reuse_count
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi3,,False,128,False,10,527.0,532.0,10.540925533894598,0.0198137698005537,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0474383301707779,527.0,527.0,527.0,552.0,527.0,552.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,4.0,DestSync.Half,,,,,,32.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi2,,False,32,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,552.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,4.0,DestSync.Half,,,,,,8.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi2,,False,5,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,527.0,527.0,527.0,527.0,527.0,527.0,552.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,5.0,DestSync.Half,,,,,,1.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi4,,False,10,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,552.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,5.0,DestSync.Half,,,,,,2.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi4,,False,160,False,10,527.0,529.7,7.860590874030329,0.0148397033680013,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0256166982922201,527.0,527.0,527.0,552.0,529.0,527.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,5.0,DestSync.Half,,,,,,32.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi2,,False,48,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,527.0,527.0,552.0,527.0,527.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,6.0,DestSync.Half,,,,,,8.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi3,,False,8,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,527.0,527.0,527.0,527.0,527.0,527.0,552.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,8.0,DestSync.Half,,,,,,1.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi2,,False,24,False,10,527.0,532.0,10.540925533894598,0.0198137698005537,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0474383301707779,527.0,527.0,527.0,552.0,527.0,527.0,552.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,8.0,DestSync.Half,,,,,,3.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi3,,False,24,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,552.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,8.0,DestSync.Half,,,,,,3.0,,,,,1.0,0.0,,,,,,,
perf_matmul,INIT,L1_TO_L1,,,DestAccumulation.No,Float16_b,Float16_b,Float32,Float16_b,Float16_b,Float16_b,64.0,MathFidelity.HiFi3,,False,256,False,10,527.0,529.5,7.905694150420948,0.0149304894247798,527.0,552.0,0.0474383301707779,25.0,0.0474383301707779,0.0237191650853889,527.0,527.0,527.0,527.0,552.0,527.0,527.0,527.0,527.0,527.0,,,4.0,4.0,4.0,Transpose.No,,,,,,,,,,,8.0,DestSync.Half,,,,,,32.0,,,,,1.0,0.0,,,,,,,
