OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,DEVICE ARCH,ATTRIBUTES,MATH FIDELITY,CORE COUNT,AVAILABLE WORKER CORE COUNT,SUB DEVICE ID,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W_PAD[LOGICAL],INPUT_0_Z_PAD[LOGICAL],INPUT_0_Y_PAD[LOGICAL],INPUT_0_X_PAD[LOGICAL],INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W_PAD[LOGICAL],INPUT_1_Z_PAD[LOGICAL],INPUT_1_Y_PAD[LOGICAL],INPUT_1_X_PAD[LOGICAL],INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W_PAD[LOGICAL],INPUT_2_Z_PAD[LOGICAL],INPUT_2_Y_PAD[LOGICAL],INPUT_2_X_PAD[LOGICAL],INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,INPUT_3_W_PAD[LOGICAL],INPUT_3_Z_PAD[LOGICAL],INPUT_3_Y_PAD[LOGICAL],INPUT_3_X_PAD[LOGICAL],INPUT_3_LAYOUT,INPUT_3_DATATYPE,INPUT_3_MEMORY,OUTPUT_0_W_PAD[LOGICAL],OUTPUT_0_Z_PAD[LOGICAL],OUTPUT_0_Y_PAD[LOGICAL],OUTPUT_0_X_PAD[LOGICAL],OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,OUTPUT_1_W_PAD[LOGICAL],OUTPUT_1_Z_PAD[LOGICAL],OUTPUT_1_Y_PAD[LOGICAL],OUTPUT_1_X_PAD[LOGICAL],OUTPUT_1_LAYOUT,OUTPUT_1_DATATYPE,OUTPUT_1_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,PROGRAM HASH,PROGRAM CACHE HIT,TENSIX DM 0 MAX KERNEL SIZE [B],TENSIX DM 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 0 MAX KERNEL SIZE [B],TENSIX COMPUTE 1 MAX KERNEL SIZE [B],TENSIX COMPUTE 2 MAX KERNEL SIZE [B],ACTIVE ETH DM 0 MAX KERNEL SIZE [B],ACTIVE ETH DM 1 MAX KERNEL SIZE [B],IDLE ETH DM 0 MAX KERNEL SIZE [B],IDLE ETH DM 1 MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),MULTICAST NOC UTIL (%),DRAM BW UTIL (%),DRAM BW UTIL PER CTRL (%),ETH BW UTIL (%),NPE CONG IMPACT (%),TT_DNN_DEVICE_OP_TT_HOST_FUNC [ns]
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,1024,0,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646055144,3646176525,121381,586319007526,586319076674,0,0,51221,46781,46779,,,,364,46778,36346,36702,36603,36696,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/2597572552967489583/'; 'ring_reduce_scatter_minimal_async_reader/15781018354000790838/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10440,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.002,,,,,,,121381
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,1025,1,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646176775,3646216812,40037,605836612318,605836674585,0,0,46124,41625,41619,,,,367,41619,35184,35552,35447,35541,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/3848932276095812441/'; 'ring_reduce_scatter_minimal_async_reader/6876141706773527706/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10444,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.002,,,,,,,40037
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,1026,2,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646216872,3646251478,34606,629068022998,629068080233,0,0,42396,38069,38069,,,,360,38069,30110,30457,30369,30456,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/8530114522062252416/'; 'ring_reduce_scatter_minimal_async_reader/9528361037197660804/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10444,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.003,,,,,,,34606
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,1027,3,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646251528,3646283579,32051,653318753535,653318808508,0,0,40721,36392,36390,,,,332,36390,24266,24637,24529,24619,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/4200255749446149143/'; 'ring_reduce_scatter_minimal_async_reader/11008527510919433573/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10444,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.003,,,,,,,32051
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,2048,0,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646576908,3646580655,3747,586319718926,586319781324,480295,480288,46221,41679,41676,,,,182,41675,31861,32226,32114,32220,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/2597572552967489583/'; 'ring_reduce_scatter_minimal_async_reader/15781018354000790838/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10440,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.002,,,,,,,3747
MatmulReduceScatterAsyncDeviceOperation,tt_dnn_device,2049,1,blackhole,{'matmul_struct': 'MatmulParams(program_config=MatmulMultiCoreReuseMultiCastProgramConfig(compute_with_storage_grid_size=8-6;in0_block_w=3;out_subblock_h=1;out_subblock_w=1;out_block_h=1;out_block_w=6;per_core_M=1;per_core_N=12;transpose_mcast=0;fused_activation=std::nullopt;fuse_batch=0;allowed_worker_cores=std::nullopt);bcast_batch=1;output_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0);output_dtype=DataType::BFLOAT16;compute_kernel_config=ComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=1;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0;throttle_level=ThrottleLevel::NO_THROTTLE);untilize_out=0;user_core_coord=std::nullopt;user_fused_activation=std::nullopt;user_run_batched=0;transpose_a=0;transpose_b=0;output_tile=Tile(tile_shape={32; 32};face_shape={16; 16};num_faces=4);global_cb=std::nullopt;sub_device_id=std::nullopt)'; 'reduce_scatter_core_grid_offset': '0-6'},HiFi4,20,110,0,,3646580835,3646581557,722,605837321467,605837379190,483811,483805,42758,38126,38124,,,,217,38124,31957,32340,32236,32326,,,,,,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],768[768],3072[3072],TILE,BFLOAT4_B,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],3072[3072],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,1[1],1[1],32[32],768[768],TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,['ttnn/cpp/ttnn/operations/matmul/device/kernels/compute/bmm_large_block_zm_fused_bias_activation.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduction.cpp'],['bmm_large_block_zm_fused_bias_activation/678283270109177724/'; 'ring_reduction/10717693503312802568/'],['ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_receiver.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in1_sender_writer_padding.cpp'; 'ttnn/cpp/ttnn/operations/matmul/device/kernels/dataflow/reader_bmm_tile_layout_in0_sender_padding.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_writer.cpp'; 'ttnn/cpp/ttnn/operations/experimental/ccl/reduce_scatter_minimal_async/device/kernels/ring_reduce_scatter_minimal_async_reader.cpp'; 'tt_metal/fabric/impl/kernels/tt_fabric_mux.cpp'],['reader_bmm_tile_layout_in0_receiver/8741903732594166366/'; 'reader_bmm_tile_layout_in1_sender_writer_padding/2714185065116100992/'; 'reader_bmm_tile_layout_in0_sender_padding/9173348068233180384/'; 'ring_reduce_scatter_minimal_async_writer/3848932276095812441/'; 'ring_reduce_scatter_minimal_async_reader/6876141706773527706/'; 'tt_fabric_mux/18300627693543784402/'],4706538254275739524,False,10444,1992,2452,2296,2340,0,0,0,0,1,1,1,[],[],0.003,,,,,,,722
