  auipc	gp,0xffb01
  addi	gp,gp,-2048
  auipc	sp,0xffb02
  addi	sp,sp,-8
  lui	a5,0xffb00
  lui	a4,0xffb00
  addi	a5,a5,36
  addi	a4,a4,76
  bgeu	a5,a4,44 <_start+0x44>
  addi	a4,a4,-1
  sub	a4,a4,a5
  andi	a4,a4,-4
  addi	a4,a4,4
  add	a4,a4,a5
  sw	zero,0(a5)
  addi	a5,a5,4
  bne	a5,a4,38 <_start+0x38>
  lui	a5,0x4
  lui	a4,0x6
  mv	a5,a5
  mv	a4,a4
  beq	a5,a4,94 <_start+0x94>
  lui	a4,0xffb00
  lui	a3,0xffb00
  mv	a4,a4
  addi	a3,a3,36
  bgeu	a4,a3,94 <_start+0x94>
  addi	a3,a3,-1
  sub	a3,a3,a4
  andi	a3,a3,-4
  addi	a3,a3,4
  add	a3,a3,a5
  lw	a1,0(a5)
  addi	a5,a5,4
  sw	a1,0(a4)
  addi	a4,a4,4
  bne	a5,a3,80 <_start+0x80>
  lui	s0,0xffb00
  lui	s1,0xffb00
  mv	s0,s0
  addi	s1,s1,4
  bgeu	s0,s1,b8 <_start+0xb8>
  lw	a5,0(s0)
  addi	s0,s0,4
  jalr	a5
  bltu	s0,s1,a8 <_start+0xa8>
  jal	bc <main>
  addi	sp,sp,-16
  lw	a5,-1976(gp)
  sw	s0,12(sp)
  sw	s1,8(sp)
  sw	s2,4(sp)
  sw	s3,0(sp)
  lui	a4,0xffef0
  beqz	a5,e0 <main+0x24>
  addi	a4,a4,896
  lw	a3,8(a4)
  lui	a2,0x400
  li	a5,0
  or	a3,a3,a2
  sw	a3,8(a4)
  lw	a3,-2000(gp)
  mv	a4,a5
  sw	a4,0(a3)
  lw	a4,0(a3)
  and	zero,zero,a4
  lw	a4,-2000(gp)
  mv	a3,a5
  addi	a4,a4,4
  sw	a3,0(a4)
  lw	a3,0(a4)
  and	zero,zero,a3
  mv	a4,a5
  lw	a3,-2008(gp)
  sw	a4,0(a3)
  lw	a4,0(a3)
  and	zero,zero,a4
  lw	a4,-2012(gp)
  sw	a5,0(a4)
  lw	a5,0(a4)
  and	zero,zero,a5
  lui	a4,0xb001d
