Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
35.39,MinimalMatmulDeviceOperation (in0:dram_interleaved),5730.82,6,Other,37.44,68.07,53.56,11.91,58.46
17.76,SDPAOperation (in0:dram_interleaved),2875.70,1,Compute,,,,,
12.79,LayerNormDeviceOperation (in0:dram_interleaved),2071.75,4,Compute,,,,,
12.36,BinaryNgDeviceOperation (in0:dram_interleaved),2001.93,4,Compute,,,,,
9.02,AllGatherAsyncDeviceOperation (in0:dram_interleaved),1460.88,4,Other,,,,,
8.80,ReduceScatterMinimalAsyncDeviceOperation (in0:dram_interleaved),1424.85,2,Other,,,,,
1.45,LayerNormPostAllGatherDeviceOperation (in0:dram_interleaved),234.42,2,Other,,,,,
0.85,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),137.80,2,Other,,,,,
0.72,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),117.37,1,TM,,,,,
0.66,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),106.88,1,TM,,,,,
0.10,TypecastDeviceOperation (in0:dram_interleaved),16.88,2,TM,,,,,
0.09,PagedFillCacheDeviceOperation (in0:dram_interleaved),14.92,2,Other,,,,,
0.01,SliceDeviceOperation (in0:dram_interleaved),0.87,1,TM,,,,,
