Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.38,MatmulDeviceOperation (in0:width_sharded),7066.11,48,Compute,41.20,57.36,48.84,7.36,52.84
5.43,BinaryNgDeviceOperation (in0:width_sharded),465.69,32,Compute,,,,,
3.10,LayerNormDeviceOperation (in0:width_sharded),265.68,32,Compute,,,,,
2.77,SdpaDecodeDeviceOperation (in0:height_sharded),237.45,8,Compute,,,,,
1.19,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),102.47,8,Other,,,,,
1.05,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),90.15,16,TM,,,,,
0.69,LayerNormDeviceOperation (in0:l1_interleaved),59.39,16,Compute,,,,,
0.67,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),57.40,16,DM,,,,,
0.45,InterleavedToShardedDeviceOperation (in0:dram_interleaved),38.99,40,DM,,,,,
0.43,ShardedToInterleavedDeviceOperation (in0:width_sharded),37.06,24,DM,,,,,
0.39,TransposeDeviceOperation (in0:dram_interleaved),33.24,16,TM,,,,,
0.38,ReshardDeviceOperation (in0:width_sharded),32.46,16,DM,,,,,
0.36,RotaryEmbeddingHfDeviceOperation (in0:height_sharded),31.27,16,Other,,,,,
0.20,EmbeddingsDeviceOperation (in0:dram_interleaved),17.52,16,Compute,,,,,
0.18,SliceDeviceOperation (in0:dram_interleaved),15.52,8,TM,,,,,
0.12,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),10.54,8,TM,,,,,
0.10,ShardedToInterleavedDeviceOperation (in0:height_sharded),8.95,16,DM,,,,,
0.09,InterleavedToShardedDeviceOperation (in0:l1_interleaved),8.07,16,DM,,,,,
