GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
28675,,,3,blackhole,,110,110,,,161,2844,15000556233688,15000556237527,2259,15000556234335,15000556237384,2259,15000556234335,15000556237384,2257,1536,,,,,41911,41911
29699,,,3,blackhole,,32,110,,,131,4700,15000556281909,15000556288254,3744,15000556283058,15000556288112,3739,15000556283065,15000556288112,3739,3029,2957,212,536,,33835,33842
30723,,,3,blackhole,,110,110,,,184,1857,15000556358005,15000556360512,1272,15000556358649,15000556360366,1268,15000556358654,15000556360366,1226,654,699,766,384,,52256,52247
31747,,,3,blackhole,,32,110,,,111,10156,15000556415146,15000556428857,9189,15000556416306,15000556428711,9187,15000556416308,15000556428711,9187,924,969,965,1263,,41438,41437
32771,,,3,blackhole,,32,110,,,141,10168,15000556433835,15000556447562,9190,15000556435010,15000556447416,9190,15000556435010,15000556447416,9179,926,974,964,1272,,4666,4666
33795,,,3,blackhole,,110,110,,,168,4963,15000556459535,15000556466235,4376,15000556460177,15000556466085,4376,15000556460177,15000556466085,4370,4091,,,,,9452,9452
34819,,,3,blackhole,,32,110,,,115,4005,15000556492659,15000556498066,3030,15000556493834,15000556497924,3028,15000556493836,15000556497924,3028,2142,2051,251,2139,,20557,20555
35843,,,3,blackhole,,32,110,,,165,1588,15000556528054,15000556530198,667,15000556529142,15000556530043,667,15000556529142,15000556530043,664,653,,,,,23110,23110
36867,,,3,blackhole,,110,110,,,278,3798,15000556640676,15000556645803,3210,15000556641328,15000556645662,3175,15000556641376,15000556645662,3096,1815,2113,2652,2001,,82424,82474
37891,,,3,blackhole,,110,110,,,265,3716,15000556705737,15000556710754,3134,15000556706382,15000556710613,3095,15000556706435,15000556710613,3034,1770,2053,2585,1945,,44977,45020
38915,,,3,blackhole,,110,110,,,173,1170,15000556780425,15000556782005,551,15000556781071,15000556781815,546,15000556781078,15000556781815,159,270,515,343,544,,52181,52203
39939,,,3,blackhole,,32,110,,,103,1397,15000559416925,15000559418811,816,15000559417553,15000559418654,816,15000559417553,15000559418654,544,813,,,,,1953462,1953462
40963,,,3,blackhole,,88,110,,,400,39127,15000565299675,15000565352497,38561,15000565300298,15000565352355,38451,15000565300446,15000565352355,38352,36394,37747,37777,37958,,4356803,4356870
41987,,,3,blackhole,,110,110,,,684,192327,15000572644782,15000572904424,191717,15000572645464,15000572904282,191434,15000572645846,15000572904282,191303,183381,190710,190984,190879,,5402302,5402584
43011,,,3,blackhole,,32,110,,,154,1648,15000573073721,15000573075946,1085,15000573074309,15000573075774,1085,15000573074309,15000573075774,1062,1078,,,,,125924,125924
