ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 130
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,1,2,BRISC,55593,422508699016,0,1024,,,BRISC-FW,ZONE_START,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,62524,422508699989,0,1024,,,BRISC-KERNEL,ZONE_START,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,62524,422996831954,0,1024,,,BRISC-KERNEL,ZONE_END,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,9090,422996832084,2096507828208217600,1024,,,,TS_DATA,0,,{"counter type":"FPU_COUNTER";"ref cnt":488131267;"value":288173568}
0,1,2,BRISC,9090,422996832156,2096507828045214423,1024,,,,TS_DATA,0,,{"counter type":"SFPU_COUNTER";"ref cnt":488131267;"value":125170391}
0,1,2,BRISC,9090,422996832223,2096507828236197611,1024,,,,TS_DATA,0,,{"counter type":"MATH_COUNTER";"ref cnt":488131267;"value":316153579}
0,1,2,BRISC,55593,422996832400,0,1024,,,BRISC-FW,ZONE_END,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,55593,423039102553,0,2048,,,BRISC-FW,ZONE_START,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,62524,423039103368,0,2048,,,BRISC-KERNEL,ZONE_START,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,62524,423527226663,0,2048,,,BRISC-KERNEL,ZONE_END,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,9090,423527226769,2096470217179606528,2048,,,,TS_DATA,0,,{"counter type":"FPU_COUNTER";"ref cnt":488122510;"value":288173568}
0,1,2,BRISC,9090,423527226842,2096470217016603344,2048,,,,TS_DATA,0,,{"counter type":"SFPU_COUNTER";"ref cnt":488122510;"value":125170384}
0,1,2,BRISC,9090,423527226909,2096470217207587567,2048,,,,TS_DATA,0,,{"counter type":"MATH_COUNTER";"ref cnt":488122510;"value":316154607}
0,1,2,BRISC,55593,423527227071,0,2048,,,BRISC-FW,ZONE_END,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,55593,425695623304,0,3072,,,BRISC-FW,ZONE_START,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,BRISC,62524,425695624131,0,3072,,,BRISC-KERNEL,ZONE_START,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,62524,426148891103,0,3072,,,BRISC-KERNEL,ZONE_END,78,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,2,BRISC,9090,426148891209,1946763170662919680,3072,,,,TS_DATA,0,,{"counter type":"FPU_COUNTER";"ref cnt":453266122;"value":288173568}
0,1,2,BRISC,9090,426148891282,1946763170499916506,3072,,,,TS_DATA,0,,{"counter type":"SFPU_COUNTER";"ref cnt":453266122;"value":125170394}
0,1,2,BRISC,9090,426148891349,1946763170691211944,3072,,,,TS_DATA,0,,{"counter type":"MATH_COUNTER";"ref cnt":453266122;"value":316465832}
0,1,2,BRISC,55593,426148891511,0,3072,,,BRISC-FW,ZONE_END,433,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,2,NCRISC,65084,422508699171,0,1024,,,NCRISC-FW,ZONE_START,129,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,NCRISC,46109,422508699870,0,1024,,,NCRISC-KERNEL,ZONE_START,70,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,46109,422996691023,0,1024,,,NCRISC-KERNEL,ZONE_END,70,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
0,1,2,NCRISC,65084,422996691053,0,1024,,,NCRISC-FW,ZONE_END,129,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,NCRISC,65084,423039102688,0,2048,,,NCRISC-FW,ZONE_START,129,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
0,1,2,NCRISC,46109,423039103291,0,2048,,,NCRISC-KERNEL,ZONE_START,70,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc,
