Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                           Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
150    2.6 %         LayerNormDeviceOperation                                3       119 μs                  110                                                  BF16, BF16 => BF16
151    7.8 %   SLOW  MatmulDeviceOperation b={32} x 128 x 2048 x 5120        3       356 μs          1 μs    100  194 GB/s  38.0 %  241.2 TFLOPs   43.6 %   LoFi BF16 x BFP8 => BF16
152    5.1 %         NlpCreateHeadsDeviceOperation                           3       231 μs          1 μs    110                                                        BF16 => BF16
153    8.8 %         RotaryEmbeddingDeviceOperation                          3       402 μs          1 μs    110                                                  BF16, BF16 => BF16
154    1.7 %         RotaryEmbeddingDeviceOperation                          3        77 μs          0 μs    110                                                  BF16, BF16 => BF16
155    0.0 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
156    0.0 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
157    0.0 %         PagedFillCacheDeviceOperation                           3         2 μs          0 μs     16                                                  BF16, BF16 => BF16
158    0.1 %         PagedFillCacheDeviceOperation                           3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
159    0.1 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
160    0.1 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
161    0.1 %         PagedFillCacheDeviceOperation                           3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
162    0.1 %         PagedFillCacheDeviceOperation                           3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
163    0.1 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
164    0.1 %         SliceDeviceOperation                                    3         2 μs          1 μs     64                                                        BF16 => BF16
165    0.1 %         PagedFillCacheDeviceOperation                           3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
166    0.1 %         PagedFillCacheDeviceOperation                           3         2 μs          1 μs     16                                                  BF16, BF16 => BF16
167    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
168    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
169    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
170    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
171    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
172    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
173    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
174    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
175    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
176    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
177    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
178    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
179    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
180    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
181    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
182    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
183    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
184    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
185    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
186    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
187    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
188    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
189    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
190    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
191    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
192    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
193    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
194    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
195    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
196    0.1 %         SliceDeviceOperation                                    3         1 μs          5 μs     64                                                        BF16 => BF16
197    0.1 %         PagedFillCacheDeviceOperation                           3         1 μs          2 μs     16                                                  BF16, BF16 => BF16
