name,src_file,src_line,zone_name,zone_text,ns_since_start,exec_time_ns,thread,special_parent_text
PY_FUNC_relative_to,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,820,,,8864442177,3060,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1478336738,540,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1479222494,880,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1479955547,580,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1480673110,520,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1481617318,540,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1482293420,500,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1483005743,540,1,
PY_FUNC_abspath,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/posixpath.py,379,,,1484115643,540,1,
PY_FUNC__find_and_load,<frozen importlib._bootstrap>,1025,,,1480858064,780,1,
PY_FUNC__expand_lang,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/gettext.py,248,,,1484807876,930,1,
PY_FUNC__expand_lang,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/gettext.py,248,,,1484955578,890,1,
PY_FUNC__expand_lang,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/gettext.py,248,,,1485085301,750,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1478827897,131552,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1479609811,91182,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1480321134,103602,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1481285261,73662,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1481998044,58012,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1482667707,89351,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1483394380,131272,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1483808187,60082,1,
PY_FUNC__compile_bytecode,<frozen importlib._bootstrap_external>,672,,,1484529691,68931,1,
PY_FUNC__init_module_attrs,<frozen importlib._bootstrap>,530,,,1478643323,690,1,
PY_FUNC__init_module_attrs,<frozen importlib._bootstrap>,530,,,1479465128,700,1,
PY_FUNC__init_module_attrs,<frozen importlib._bootstrap>,530,,,1480176821,700,1,
PY_FUNC__init_module_attrs,<frozen importlib._bootstrap>,530,,,1481140609,670,1,
