GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
27651,,,3,blackhole,,110,110,,,168,64210,1441912124803,1441912211486,63613,1441912125458,1441912211335,63613,1441912125458,1441912211335,63601,63424,,,,,5652206592,5652206592
28675,,,3,blackhole,,110,110,,,164,124671,1441915410031,1441915578337,124080,1441915410681,1441915578189,124080,1441915410681,1441915578189,124067,123781,,,,,2369886,2369886
29699,,,3,blackhole,,8,110,,,153,65449,1441918407373,1441918495729,62521,1441918411177,1441918495581,62521,1441918411177,1441918495581,62521,26653,,,,,2098493,2098493
30723,,,3,blackhole,,110,110,,,166,74649,1441920345247,1441920446023,74061,1441920345891,1441920445874,74061,1441920345891,1441920445874,74045,73839,,,,,1370591,1370591
31747,,,3,blackhole,,1,110,,,104,20757,1442065272191,1442065300213,20224,1442065272763,1442065300065,20219,1442065272769,1442065300065,20131,18013,18146,18095,18330,,107280749,107277806
32771,,,3,blackhole,,1,110,,,135,20747,1442065388981,1442065416990,20226,1442065389538,1442065416843,20214,1442065389554,1442065416843,20128,17999,18133,18087,18290,,66277,66288
33795,,,3,blackhole,,72,110,,,193,14720,1442069654044,1442069673916,13734,1442069655226,1442069673767,13725,1442069655238,1442069673767,13725,11103,11313,11218,11561,,3139526,3139509
34819,,,3,blackhole,,72,110,,,161,15692,1442070172957,1442070194141,14706,1442070174140,1442070193993,14705,1442070174141,1442070193993,14704,11268,11463,11364,11704,,370649,370643
35843,,,3,blackhole,,88,110,,,235,4627,1442070243651,1442070249897,3609,1442070244879,1442070249751,3609,1442070244879,1442070249751,3609,3203,3224,253,3264,,37694,37694
36867,,,3,blackhole,,1,110,,,165,44492,1442077661916,1442077721980,43935,1442077662519,1442077721831,43830,1442077662661,1442077721831,43770,26599,43208,43044,43318,,5490962,5491091
37891,,,3,blackhole,,107,110,,,331,91584,1442084840049,1442084963688,89633,1442084842526,1442084963531,89633,1442084842526,1442084963531,89631,84821,85189,85115,85308,,5274569,5274569
38915,,,3,blackhole,,1,110,,,93,26563,1442087850585,1442087886445,25979,1442087851212,1442087886284,25979,1442087851212,1442087886284,25856,25979,,,,,2139002,2139002
39939,,,3,blackhole,,1,110,,,2,1403,1442090602524,1442090604418,877,1442090603083,1442090604267,877,1442090603083,1442090604267,875,41,,,,,2012359,2012359
40963,,,3,blackhole,,1,110,,,16,1419,1442090892775,1442090894691,893,1442090893335,1442090894540,893,1442090893335,1442090894540,893,63,,,,,214222,214222
41987,,,3,blackhole,,1,110,,,3,1399,1442090970497,1442090972385,867,1442090971057,1442090972227,867,1442090971057,1442090972227,864,39,,,,,56701,56701
43011,,,3,blackhole,,1,110,,,203,9986,1442096392992,1442096406473,9430,1442096393593,1442096406323,9327,1442096393731,1442096406323,9227,4150,8687,8539,8799,,4015984,4015753
44035,,,3,blackhole,,1,110,,,233,9974,1442096880443,1442096893908,9459,1442096880990,1442096893759,9306,1442096881196,1442096893759,9226,4170,8675,8567,8794,,351623,351761
45059,,,3,blackhole,,1,110,,,194,8499,1442102831501,1442102842975,7975,1442102832057,1442102842823,7870,1442102832199,1442102842823,7781,2136,6719,6820,7090,,4398841,4399051
46083,,,3,blackhole,,110,110,,,167,3437,1442105849381,1442105854021,2851,1442105850024,1442105853873,2851,1442105850024,1442105853873,2829,1050,,,,,2227469,2227469
47107,,,3,blackhole,,110,110,,,169,2081,1442107847769,1442107850578,1497,1442107848412,1442107850433,1497,1442107848412,1442107850433,1478,1021,,,,,1477400,1477400
48131,,,3,blackhole,,16,110,,,375,31476,1442113261299,1442113303792,30796,1442113262076,1442113303650,30773,1442113262106,1442113303650,30707,30175,30354,30290,30236,,4008682,4008603
49155,,,3,blackhole,,2,110,,,270,27528,1442113559384,1442113596547,27001,1442113559953,1442113596405,26862,1442113560141,1442113596405,26753,26264,26445,26496,26311,,189851,189992
50179,,,3,blackhole,,110,110,,,168,3410,1442115464178,1442115468781,2811,1442115464828,1442115468623,2811,1442115464828,1442115468623,2781,2557,,,,,1383962,1383962
51203,,,3,blackhole,,110,110,,,167,2025,1442117311889,1442117314623,1421,1442117312544,1442117314463,1421,1442117312544,1442117314463,1411,1013,,,,,1365405,1365405
52227,,,3,blackhole,,1,110,,,5,1479,1442119926761,1442119928758,919,1442119927352,1442119928593,919,1442119927352,1442119928593,919,907,,,,,1934927,1934927
53251,,,3,blackhole,,1,110,,,6,1441,1442120057500,1442120059446,909,1442120058055,1442120059282,909,1442120058055,1442120059282,903,901,,,,,95910,95910
54275,,,3,blackhole,,1,110,,,16,1463,1442120076025,1442120078000,918,1442120076574,1442120077813,918,1442120076574,1442120077813,902,910,,,,,12812,12812
55299,,,3,blackhole,,1,110,,,267,5913,1442125699171,1442125707154,5373,1442125699742,1442125706996,5241,1442125699921,1442125706996,5107,2507,4025,4142,4292,,4164134,4164730
56323,,,3,blackhole,,1,110,,,228,5996,1442125817877,1442125825972,5441,1442125818479,1442125825825,5333,1442125818626,1442125825825,5229,2586,4164,4213,4384,,82573,82695
57347,,,3,blackhole,,32,110,,,670,55010,1442132823283,1442132897547,54414,1442132823941,1442132897400,54113,1442132824347,1442132897400,53975,21625,45656,46044,45848,,5183783,5184058
