label,ctx,chunk,layer,min_head_pcc,layer_pcc,relative_rmse
all_fixes_c2048,8k,2048,0,0.999832,0.999853,0.017425
all_fixes_c2048,8k,2048,1,0.999697,0.999755,0.022379
all_fixes_c2048,8k,2048,2,0.999691,0.999751,0.022533
all_fixes_c2048,8k,2048,3,0.999556,0.999660,0.026275
all_fixes_c2048,8k,2048,4,0.999465,0.999526,0.031010
all_fixes_c2048,8k,2048,5,0.999534,0.999550,0.030211
all_fixes_c2048,8k,2048,6,0.999153,0.999363,0.035879
all_fixes_c2048,8k,2048,7,0.999073,0.999504,0.031684
all_fixes_c2048,8k,2048,8,0.999020,0.999509,0.031522
all_fixes_c2048,8k,2048,9,0.999245,0.999479,0.032454
all_fixes_c2048,8k,2048,10,0.999021,0.999332,0.036748
all_fixes_c2048,8k,2048,11,0.999229,0.999332,0.036747
all_fixes_c2048,8k,2048,12,0.999235,0.999599,0.028497
all_fixes_c2048,8k,2048,13,0.999297,0.999445,0.033517
all_fixes_c2048,8k,2048,14,0.999126,0.999329,0.036823
all_fixes_c2048,8k,2048,15,0.999075,0.999343,0.036434
all_fixes_c2048,8k,2048,16,0.998780,0.999064,0.043457
all_fixes_c2048,8k,2048,17,0.999065,0.999180,0.040686
all_fixes_c2048,8k,2048,18,0.997704,0.998273,0.058968
all_fixes_c2048,8k,2048,19,0.997700,0.998664,0.051855
all_fixes_c2048,8k,2048,20,0.997530,0.998235,0.059567
all_fixes_c2048,8k,2048,21,0.995361,0.995972,0.089942
all_fixes_c2048,8k,2048,22,0.994103,0.995514,0.094899
all_fixes_c2048,8k,2048,23,0.992164,0.995893,0.090805
all_fixes_c2048,8k,2048,24,0.991261,0.993000,0.118526
all_fixes_c2048,8k,2048,25,0.986474,0.990731,0.136366
all_fixes_c2048,8k,2048,26,0.983196,0.986909,0.162060
all_fixes_c2048,8k,2048,27,0.975996,0.980751,0.196499
all_fixes_c2048,8k,2048,28,0.967231,0.977468,0.212597
all_fixes_c2048,8k,2048,29,0.959087,0.977409,0.212863
all_fixes_c2048,8k,2048,30,0.943086,0.960602,0.281111
