activation,precision,config_csv,native_maxulp,native_meanulp,native_us,native_pure,native_ml,ours_maxulp,ours_meanulp,ours_us,ours_pure,ours_ml,range_min,range_max,tiles,status
acosh,bf16,acosh_p3_s1_uniform_any_ulp.csv,1.0,0.32832985697258643,4.73,1.0,18.951132300357568,85.50,30.92,1.79,134.0,0.0,1.01,100.0,256,pass
atanh,bf16,atanh_n6d6_s1_uniform_rational_ulp.csv,1.0,0.010672181052720452,4.27,4784383.0,90.90797244094489,1.00,0.00,2.71,255.0,99.57275390625,-0.999,0.999,256,pass
cosh,bf16,cosh_p14_s1_uniform_any_ulp.csv,0.0001220703125,1.464287320818089e-08,2.98,1.0,97.02513045042885,0.01,0.00,2.79,1.0,97.161865234375,-10.0,10.0,256,pass
erfc,bf16,erfc_p12_s32_uniform_any_ulp.csv,0.5,0.12933139450920636,5.44,198.0,49.280749471139316,0.50,0.00,33.02,3.0,98.00300598144531,-5.0,5.0,256,pass
expm1,bf16,expm1_p7_s1_uniform_any_ulp.csv,0.0,0.0,2.92,0.0,99.82161530417666,0.00,0.00,2.01,0.0,99.822998046875,-1.0,1.0,256,pass
hardswish,bf16,hardswish_p2_s3_uniform_any_ulp.csv,0.25,0.0005611954242927673,2.00,128.0,99.35524500689738,0.02,0.00,2.09,128.0,99.7772216796875,-10.0,10.0,256,pass
identity,bf16,identity_p1_s1_uniform_any_ulp.csv,1.7540579766176321e-38,3.679202061433659e-40,0.16,191.0,100.0,0.00,0.00,0.13,0.0,100.0,-128.0,128.0,256,pass
log2,bf16,log2_p6_s1_uniform_fpminimax_ulp.csv,1.0,0.010288292253521127,2.47,1.0,67.01877934272301,0.00,0.00,2.57,0.0,67.61741638183594,0.1,10.0,256,pass
multigammaln,bf16,multigammaln_n3d3_s1_uniform_rational_max.csv,127.0,24.94581283757716,0.13,4251.0,0.0,0.50,0.02,2.76,1.0,51.618194580078125,1.5,50.0,256,pass
relu_max,bf16,relu_max_p1_s3_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,0.00,0.00,1.89,0.0,100.0,-10.0,10.0,256,native_fail
sigmoid,bf16,sigmoid_p5_s1_uniform_fpminimax_ulp.csv,0.5,0.0032268618662213045,2.89,1.0,99.22329514784381,-,-,FAILED,1.0,99.2095947265625,-10.0,10.0,256,pass
sinh,bf16,sinh_p15_s1_uniform_any_ulp.csv,0.0,0.0,3.28,0.0,98.37461764529479,0.03,0.00,2.60,1.0,98.443603515625,-10.0,10.0,256,pass
sqrt,bf16,sqrt_p0_s1_uniform_fpminimax_ulp.csv,0.0,0.0,2.30,0.0,78.88521492678319,158.99,26.59,1.68,252.984375,0.52032470703125,0.001,100.0,256,pass
tanhshrink,bf16,tanhshrink_p9_s4_uniform_any_ulp.csv,0.125,0.00043425278569625067,3.18,1.7803292276948992e+16,99.32225754213398,0.25,0.00,5.29,1.7873661021126656e+16,99.17335510253906,-10.0,10.0,256,pass
