OP_NAME,DEVICE_ID,CALL_IDX,KERNEL_DUR_us,CORES,AVAIL_CORES,CORE_UTIL%,MATH_FIDELITY,IN0_SHAPE,IN0_LAYOUT,IN0_DTYPE,IN0_MEM,IN1_SHAPE,IN1_MEM,OUT0_SHAPE,OUT0_MEM,FPU_UTIL%,DRAM_BW_UTIL%
EmbeddingsDeviceOperation,0,102400,0.00,70,70,100.0,HiFi4,8192[8192],ROW_MAJOR,UINT32,DRAM_INTERLEAVED,128256[128256]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,103424,220.87,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,104448,138.53,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,105472,52.73,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,106496,229.36,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,107520,570.97,56,70,80.0,HiFi2,4[4]x2048[2048]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x1280[1280],DRAM_INTERLEAVED,4[4]x2048[2048]x1280[1280],DRAM_INTERLEAVED,52.5,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,108544,264.83,40,70,57.1,HiFi4,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,109568,183.95,40,70,57.1,,8192[8192]x320[320],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
NlpCreateHeadsDeviceOperation,0,110592,113.07,70,70,100.0,,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,111616,148.42,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,112640,313.86,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,113664,18.40,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,114688,47.54,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,115712,14.91,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,116736,11.99,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,117760,12.30,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,118784,12.22,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,119808,105.87,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
