metric,what,ms,iterations
ttft,"prefill+lm_head+sample+readback, prompt 128",126.69530446873978,4
model_trace,"traced decode, batch 1",20.210688468068838,128
token_out,"traced decode, batch 1",22.079144546296448,128
token_out_readback,"traced decode, batch 1",22.748385032173246,128
sampler_split,"eager, same logits",6.154998632458349,1
sampler_force_argmax,"eager, same logits",1.1250717681832612,1
