run          chunks  tokens  push s drain s    tok/s
cold_k1          48  196608    5.80    0.12    33211
cold_k2          48  196608    3.80    0.16    49648
cold_k4          48  196608    3.60    0.29    50542
cold_open        48  196608    3.20    0.29    56335
hot_k1           48  196608    7.50    0.16    25667
hot_k2           48  196608    4.70    0.20    40124
hot_k4           48  196608    4.50    0.25    41391
hot_open         48  196608    4.20    0.26    44083
hot_warm          4   16384    0.00    0.26    63015
sync_cold        48  196608    3.30    0.29    54765
sync_hot         24   98304    1.80    0.27    47490
sync_warm         8   32768    0.10    0.28    86232
warm             16   65536    0.60    0.29    73636

sync session: 82 chunks with both stages timed
  stage A compute ms  median 61.8  (min 58.2 max 100.2)
  stage B compute ms  median 78.9  (min 76.4 max 103.4)
  hop ms (A done -> B start) median 93.38  p10 8.24  p90 100.03
    c=   0 A    75.4 B 85.6 hop   21.62
    c=   1 A    66.5 B 77.2 hop   22.98
    c=   2 A    68.4 B 83.7 hop    7.97
    c=   3 A    70.1 B 83.1 hop   17.03
    c=   4 A    58.9 B 76.8 hop   36.25
    c=   5 A    58.4 B 76.4 hop   49.39
    c=   6 A    59.8 B 77.8 hop   61.05
    c=   7 A    59.9 B 77.8 hop   73.14
    c=   8 A    61.1 B 78.4 hop   84.83
    c=   9 A    61.0 B 78.5 hop   96.09
    c=  10 A    69.3 B 103.4 hop    9.05
    c=  11 A    68.8 B 87.7 hop   38.76
    c=  12 A    58.4 B 78.1 hop   63.43
    c=  13 A    58.2 B 77.3 hop   77.80
    c=  14 A    59.6 B 78.7 hop   90.55
    c=  15 A    60.0 B 78.7 hop   95.44
    c=  16 A    61.3 B 79.2 hop   95.61
    c=  17 A    61.5 B 78.2 hop   95.81
    c=  18 A    61.8 B 83.1 hop   95.21
    c=  19 A    61.7 B 84.0 hop  100.06
    c=  20 A    58.7 B 77.0 hop  108.47
    c=  21 A    66.5 B 77.0 hop   94.10
    c=  22 A    65.0 B 77.8 hop   88.43
    c=  23 A    60.1 B 78.8 hop   94.50
    c=  24 A    61.5 B 78.6 hop   96.02
    c=  25 A    61.9 B 78.2 hop   96.58
    c=  26 A    61.8 B 83.0 hop   96.00
    c=  27 A    61.7 B 83.0 hop   98.88
    c=  28 A    65.0 B 77.5 hop   99.39
    c=  29 A    59.5 B 76.7 hop  100.13
    c=  30 A    60.0 B 78.5 hop   93.69
    c=  31 A    60.3 B 77.8 hop   94.39
    c=  32 A    61.2 B 78.6 hop   94.73
    c=  33 A    61.2 B 78.3 hop   94.81
    c=  34 A    62.1 B 83.0 hop   94.23
    c=  35 A    62.6 B 83.3 hop   98.22
    c=  36 A    58.8 B 77.2 hop  106.86
    c=  37 A    58.6 B 76.4 hop  101.21
    c=  38 A    60.1 B 78.2 hop   93.07
    c=  39 A    60.1 B 78.2 hop   93.90
    c=  40 A    61.3 B 78.2 hop   93.90
    c=  41 A    61.3 B 78.9 hop   94.79
    c=  42 A    61.8 B 83.2 hop   95.07
    c=  43 A    62.1 B 82.9 hop  100.03
    c=  44 A    58.8 B 76.9 hop  106.92
    c=  45 A    59.1 B 76.4 hop   99.81
    c=  46 A    60.9 B 77.9 hop   91.19
    c=  47 A    60.1 B 77.9 hop   93.76
    c=  48 A    61.1 B 78.6 hop   94.57
    c=  49 A    61.2 B 78.3 hop   94.93
    c=  50 A    61.9 B 83.0 hop   94.43
    c=  51 A    62.0 B 83.0 hop   98.75
    c=  52 A    59.0 B 77.8 hop  106.01
    c=  53 A    58.9 B 77.1 hop  100.68
    c=  54 A    60.1 B 78.8 hop   94.52
    c=  55 A    60.1 B 78.3 hop   95.69
    c=  56 A    61.5 B 78.3 hop   93.99
    c=  57 A    61.2 B 78.2 hop   93.73
    c=  58 A   100.2 B 90.9 hop    8.67
    c=  59 A    95.9 B 85.2 hop    8.42
    c=  60 A    98.5 B 91.7 hop   10.21
    c=  61 A    94.6 B 83.8 hop    8.84
    c=  62 A    99.5 B 92.8 hop   10.65
    c=  63 A    94.5 B 85.0 hop   10.80
    c=  64 A    99.8 B 91.5 hop   10.79
    c=  65 A    95.0 B 84.8 hop   10.47
    c=  66 A   100.1 B 90.6 hop    8.39
    c=  67 A    94.5 B 86.6 hop   10.71
    c=  68 A    99.2 B 92.9 hop   10.46
    c=  69 A    93.1 B 86.6 hop   10.55
    c=  70 A    99.5 B 90.7 hop    8.05
    c=  71 A    94.1 B 84.0 hop    8.03
    c=  72 A    99.3 B 92.4 hop    8.24
    c=  73 A    94.5 B 84.0 hop    8.23
    c=  74 A    98.9 B 91.5 hop    8.20
    c=  75 A    94.4 B 85.7 hop    8.18
    c=  76 A    99.2 B 90.8 hop    8.97
    c=  77 A    94.2 B 83.9 hop    8.64
    c=  78 A   100.2 B 90.7 hop    8.12
    c=  79 A    95.2 B 85.6 hop    8.25
    c=  80 A    99.0 B 90.6 hop    8.19
    c=  81 A    95.1 B 84.2 hop    8.47
