Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
No signposts found in the file. Using the entire file for analysis.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                               Device   Device Time   Op-to-Op Gap  Cores  DRAM  DRAM %  FLOPs  FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------
  2    0.0 %         PermuteDeviceOperation                      3        149 μs                  110                                      FP32 => FP32
  3    0.5 %         PermuteDeviceOperation                      3          2 μs    234,794 μs     64                                      FP32 => FP32
  4    0.5 %         TilizeDeviceOperation                       3         10 μs    249,683 μs      2                                      FP32 => FP32
  5    0.5 %         TilizeWithValPaddingDeviceOperation         3         78 μs    249,051 μs      1                                      FP32 => FP32
  6    1.4 %         PermuteDeviceOperation                      3     27,993 μs    652,981 μs    110                                      FP32 => FP32
  7    0.4 %         PermuteDeviceOperation                      3        224 μs    206,073 μs    110                                      FP32 => FP32
  8    1.4 %         TilizeDeviceOperation                       3        238 μs    651,719 μs    105                                      FP32 => FP32
  9    0.6 %         TilizeWithValPaddingDeviceOperation         3          4 μs    286,254 μs     48                                      FP32 => FP32
 10    0.0 %         TilizeWithValPaddingDeviceOperation         3          4 μs        892 μs     48                                      FP32 => FP32
 11    2.2 %         PermuteDeviceOperation                      3     55,519 μs    958,129 μs    110                                      FP32 => FP32
 12    0.4 %         PermuteDeviceOperation                      3        375 μs    185,227 μs    110                                      FP32 => FP32
 13    0.7 %         TilizeDeviceOperation                       3        366 μs    345,880 μs    110                                      FP32 => FP32
 14    0.6 %         TilizeWithValPaddingDeviceOperation         3         59 μs    267,184 μs      1                                      FP32 => FP32
 15    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs      4,140 μs      1                                      FP32 => FP32
 16    0.6 %         PermuteDeviceOperation                      3     10,453 μs    295,589 μs    110                                      FP32 => FP32
 17    0.5 %         PermuteDeviceOperation                      3         85 μs    222,177 μs    110                                      FP32 => FP32
 18    0.6 %         TilizeDeviceOperation                       3         86 μs    263,524 μs     84                                      FP32 => FP32
 19    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs        247 μs      1                                      FP32 => FP32
 20    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs         84 μs      1                                      FP32 => FP32
 21    0.5 %         PermuteDeviceOperation                      3      1,507 μs    256,598 μs    110                                      FP32 => FP32
 22    0.5 %         PermuteDeviceOperation                      3         13 μs    230,143 μs    110                                      FP32 => FP32
 23    0.0 %         TilizeDeviceOperation                       3         21 μs      1,463 μs     24                                      FP32 => FP32
 24    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs        180 μs      1                                      FP32 => FP32
 25    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs         41 μs      1                                      FP32 => FP32
 26    0.3 %         PermuteDeviceOperation                      3     10,249 μs    145,853 μs    110                                      FP32 => FP32
 27    0.0 %         PermuteDeviceOperation                      3         83 μs          1 μs    110                                      FP32 => FP32
 28    0.0 %         TilizeDeviceOperation                       3         88 μs      8,402 μs     84                                      FP32 => FP32
 29    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs        750 μs      1                                      FP32 => FP32
 30    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs         38 μs      1                                      FP32 => FP32
 31    0.0 %         PermuteDeviceOperation                      3      1,514 μs     20,826 μs    110                                      FP32 => FP32
 32    0.0 %         PermuteDeviceOperation                      3         12 μs          1 μs    110                                      FP32 => FP32
 33    0.0 %         TilizeDeviceOperation                       3         22 μs        899 μs     24                                      FP32 => FP32
 34    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs          3 μs      1                                      FP32 => FP32
 35    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs          3 μs      1                                      FP32 => FP32
 36    0.3 %         PermuteDeviceOperation                      3     10,063 μs    147,482 μs    110                                      FP32 => FP32
 37    0.0 %         PermuteDeviceOperation                      3         82 μs          1 μs    110                                      FP32 => FP32
 38    0.0 %         TilizeDeviceOperation                       3         87 μs      8,174 μs     84                                      FP32 => FP32
 39    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs        689 μs      1                                      FP32 => FP32
 40    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs         37 μs      1                                      FP32 => FP32
 41    0.0 %         PermuteDeviceOperation                      3      1,502 μs     20,832 μs    110                                      FP32 => FP32
 42    0.0 %         PermuteDeviceOperation                      3         12 μs          1 μs    110                                      FP32 => FP32
 43    0.0 %         TilizeDeviceOperation                       3         22 μs        906 μs     24                                      FP32 => FP32
 44    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs          3 μs      1                                      FP32 => FP32
 45    0.0 %         TilizeWithValPaddingDeviceOperation         3         59 μs          3 μs      1                                      FP32 => FP32
 46    0.7 %         PermuteDeviceOperation                      3     12,615 μs    317,248 μs    110                                      FP32 => FP32
 47    0.5 %         PermuteDeviceOperation                      3         88 μs    233,354 μs    110                                      FP32 => FP32
 48    0.6 %         TilizeDeviceOperation                       3         92 μs    266,070 μs     96                                      FP32 => FP32
 49    0.6 %         TilizeWithValPaddingDeviceOperation         3         30 μs    263,013 μs      1                                      FP32 => FP32
 50    0.0 %         TilizeWithValPaddingDeviceOperation         3         30 μs        617 μs      1                                      FP32 => FP32
 51    0.6 %         PermuteDeviceOperation                      3      2,575 μs    264,384 μs    110                                      FP32 => FP32
 52    0.5 %         PermuteDeviceOperation                      3         23 μs    231,571 μs    110                                      FP32 => FP32
 53    0.0 %         TilizeDeviceOperation                       3         24 μs      2,263 μs     84                                      FP32 => FP32
 54    0.0 %         TilizeWithValPaddingDeviceOperation         3         30 μs        173 μs      1                                      FP32 => FP32
