variant,actual_policy,prefill_repeats,trace_replays,output_pcc,single_prefill_ms,multi_prefill_ms,prefill_speedup,prefill_efficiency,single_decode_ms,multi_decode_ms,decode_speedup,decode_efficiency,disposition,log
initial_default,"O8 residual32 BF16 CCL 2 links separate gate/up",10,200,0.9999998075780363,1.250144,0.786084,1.590344,0.397586,0.582760,0.321638,1.811853,0.452963,rejected_geometry,logs/perf_explore_default.log
output16,"O16 residual32 BF16 CCL 2 links separate gate/up",10,200,0.9999998070672766,1.250723,0.777735,1.608161,0.402040,0.581652,0.320492,1.814871,0.453718,rejected_by_geometry16,logs/perf_explore_output16.log
output32,"O32 residual32 BF16 CCL 2 links separate gate/up",10,200,0.9999998075196990,1.251822,0.754940,1.658175,0.414544,0.581445,0.328676,1.769052,0.442263,rejected_decode_regression,logs/perf_explore_output32.log
geometry16,"O16 residual16 BF16 CCL 2 links separate gate/up",10,200,0.9999998070672766,1.250523,0.725702,1.723191,0.430798,0.581384,0.320057,1.816504,0.454126,selected,logs/perf_explore_geometry16.log
ccl_bfp8_initial_geometry,"O8 residual32 BFP8 CCL 2 links separate gate/up",10,200,0.9999998086547877,1.255454,0.813731,1.542837,0.385709,0.581712,0.331971,1.752298,0.438074,rejected,logs/perf_explore_ccl_bfp8.log
link1_initial_geometry,"O8 residual32 BF16 CCL 1 link separate gate/up",10,200,0.9999998075779671,1.251904,0.781963,1.600976,0.400244,0.581817,0.327966,1.774019,0.443505,rejected_decode_regression,logs/perf_explore_link1.log
packed_initial_geometry,"O8 residual32 BF16 CCL 2 links packed gate/up",10,200,0.9999998075780363,1.252927,0.828978,1.511412,0.377853,0.582048,0.321716,1.809200,0.452300,rejected,logs/perf_explore_packed_gate_up.log
geometry16_ccl_bfp8,"O16 residual16 BFP8 CCL 2 links separate gate/up",10,200,0.9999998078317246,1.250157,0.927289,1.348184,0.337046,0.582569,0.329558,1.767728,0.441932,rejected,logs/perf_explore_geometry16_ccl_bfp8.log
geometry16_link1,"O16 residual16 BF16 CCL 1 link separate gate/up",10,200,0.9999998070675027,1.250203,0.704445,1.774734,0.443684,0.582476,0.330688,1.761409,0.440352,rejected_decode_regression,logs/perf_explore_geometry16_link1.log
geometry16_packed,"O16 residual16 BF16 CCL 2 links packed gate/up",10,200,0.9999998070672766,1.251704,0.782732,1.599148,0.399787,0.581746,0.320033,1.817769,0.454442,rejected_prefill_regression,logs/perf_explore_geometry16_packed_gate_up.log
geometry8,"QKV/O/gate/up/down/residual 8-way DRAM-sharded geometry; BF16 CCL 2 links",10,200,0.9999998069879694,1.250098,0.753826,1.658337,0.414584,0.581925,0.331311,1.756431,0.439108,rejected_decode_regression,logs/perf_explore_geometry8.log
interleaved_1d,"TP4-shape-adapted interleaved BFP4 advisor-1D; QKV24 O64 gate/up28 down64 output workers; explicit subblocks",10,200,0.9999998038895090,1.250855,0.989849,1.263683,0.315921,0.582344,0.405666,1.435525,0.358881,rejected_prefill_and_decode_regression,logs/perf_explore_interleaved_1d.log
final_default,"O16 residual16 BF16 CCL 2 links separate gate/up",50,1000,0.9999998070672766,1.243475,0.733909,1.694317,0.423579,0.581578,0.320058,1.817101,0.454275,final_long_run,logs/perf_final.log
