OP_NAME,DEVICE_ID,CALL_IDX,KERNEL_DUR_us,CORES,AVAIL_CORES,CORE_UTIL%,MATH_FIDELITY,IN0_SHAPE,IN0_LAYOUT,IN0_DTYPE,IN0_MEM,IN1_SHAPE,IN1_MEM,OUT0_SHAPE,OUT0_MEM,FPU_UTIL%,DRAM_BW_UTIL%
EmbeddingsDeviceOperation,0,101376,0.00,70,70,100.0,HiFi4,8192[8192],ROW_MAJOR,UINT32,DRAM_INTERLEAVED,128256[128256]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,102400,219.47,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,103424,139.28,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,104448,44.13,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,105472,228.69,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,106496,569.84,56,70,80.0,HiFi2,4[4]x2048[2048]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x1280[1280],DRAM_INTERLEAVED,4[4]x2048[2048]x1280[1280],DRAM_INTERLEAVED,52.6,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,107520,263.19,40,70,57.1,HiFi4,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,108544,184.69,40,70,57.1,,8192[8192]x320[320],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
NlpCreateHeadsDeviceOperation,0,109568,114.41,70,70,100.0,,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,110592,143.29,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,111616,312.64,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,112640,19.74,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,113664,45.73,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,114688,15.29,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,115712,12.07,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,116736,12.52,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,117760,12.82,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,118784,107.41,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
SDPA,0,119808,1810.65,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8[8]x2048[2048]x128[128],DRAM_INTERLEAVED,0.0,0.0
NLPConcatHeadsDeviceOperation,0,120832,21.72,64,70,91.4,,8[8]x2048[2048]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,2048[2048]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
SliceDeviceOperation,0,121856,11.91,70,70,100.0,,2048[2048]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,1024[1024]x1024[1024],DRAM_INTERLEAVED,34.8,0.0
SliceDeviceOperation,0,122880,12.28,70,70,100.0,,2048[2048]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,1024[1024]x1024[1024],DRAM_INTERLEAVED,33.7,0.0
AllGatherAsyncDeviceOperation,0,123904,82.11,40,70,57.1,,1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4096[4096]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,124928,88.82,40,70,57.1,,1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4096[4096]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
ConcatDeviceOperation,0,125952,79.66,70,70,100.0,,4096[4096]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,4096[4096]x1024[1024],DRAM_INTERLEAVED,8192[8192]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,126976,473.34,56,70,80.0,HiFi2,8[8]x1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,1024[1024]x2048[2048],DRAM_INTERLEAVED,8[8]x1024[1024]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,128000,496.01,40,70,57.1,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,129024,304.97,40,70,57.1,,8192[8192]x256[256],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,130048,235.30,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,131072,139.09,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,132096,49.09,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,133120,229.14,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,134144,751.50,63,70,90.0,LoFi,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x3584[3584],DRAM_INTERLEAVED,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,135168,704.20,40,70,57.1,HiFi4,8192[8192]x3584[3584],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,136192,752.26,63,70,90.0,LoFi,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x3584[3584],DRAM_INTERLEAVED,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,137216,723.90,40,70,57.1,HiFi4,8192[8192]x3584[3584],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,138240,200.48,70,70,100.0,HiFi4,8192[8192]x896[896],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x896[896],DRAM_INTERLEAVED,8192[8192]x896[896],DRAM_INTERLEAVED,0.0,0.0
AllGatherMinimalMatmulAsyncOp,0,139264,2093.64,58,70,82.9,HiFi2,8192[8192]x896[896],TILE,BFLOAT8_B,DRAM_INTERLEAVED,3584[3584]x2048[2048],DRAM_INTERLEAVED,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,140288,469.41,40,70,57.1,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,141312,308.90,40,70,57.1,,8192[8192]x256[256],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,142336,232.30,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,143360,138.71,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,144384,61.12,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,145408,228.12,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
UntilizeDeviceOperation,0,146432,318.38,64,70,91.4,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,37.6,0.0
SliceDeviceOperation,0,147456,1.62,1,70,1.4,,8192[8192]x2048[2048],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,,,2048[2048],DRAM_INTERLEAVED,31.1,0.0
TilizeWithValPaddingDeviceOperation,0,148480,5.76,64,70,91.4,HiFi4,2048[2048],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,,,32[1]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,149504,194.46,47,70,67.1,HiFi2,32[1]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,2048[2048]x16384[16384],DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,0.2,0.0
AllGatherAsyncDeviceOperation,0,150528,53.40,24,70,34.3,,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4[4]x32[1]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
FastReduceNCDeviceOperation,0,151552,13.56,70,70,100.0,HiFi4,4[4]x32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,32[32]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
CopyDeviceOperation,0,152576,7.39,70,70,100.0,,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
UntilizeWithUnpaddingDeviceOperation,0,153600,7.36,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,154624,7.67,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,155648,7.67,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.3,0.0
