case | head | cores_unlocked | dram_unlocked
0 | 24162 (n=4) [23802, 22772, 24523, 24571] | 23928 (n=4, -1.0%) [24547, 24099, 23571, 23758] | 30106 (n=4, +24.6%) [29742, 29305, 31651, 30470]
1 | 13278 (n=4) [13309, 13246, 13125, 13414] | 13318 (n=4, +0.3%) [13435, 13201, 13325, 13312] | 17802 (n=4, +34.1%) [18066, 17582, 17703, 17901]
2 | 44865 (n=4) [45130, 44600, 43623, 45385] | 45315 (n=4, +1.0%) [43353, 44808, 45822, 46559] | 59184 (n=4, +31.9%) [58680, 57919, 60130, 59689]
6 | 14067 (n=4) [14060, 14106, 14074, 13961] | 14346 (n=4, +2.0%) [14595, 14405, 13211, 14287] | 13264 (n=4, -5.7%) [13414, 13190, 13339, 13164]
w256 | 43630 (n=4) [43440, 43808, 43453, 43811] | 43640 (n=4, +0.0%) [44225, 46027, 43056, 42811] | 57384 (n=4, +31.5%) [56983, 58231, 57785, 56359]
w128 | 45080 (n=4) [44911, 45061, 45652, 45099] | 44696 (n=4, -0.9%) [43944, 44944, 44449, 45777] | 53564 (n=4, +18.8%) [53196, 53918, 53211, 54120]
w1024 | 46006 (n=4) [45912, 46375, 46101, 44686] | 46074 (n=4, +0.1%) [46296, 44333, 46468, 45852] | 50006 (n=4, +8.7%) [50428, 49092, 50083, 49930]
c_d2048x256 | 12286 (n=4) [12992, 12499, 12074, 12037] | 12033 (n=4, -2.1%) [12023, 11932, 12043, 12244] | 14604 (n=4, +18.9%) [13611, 15725, 15598, 12888]
c_d4096x128 | 12402 (n=4) [13024, 12231, 11948, 12572] | 12312 (n=4, -0.7%) [12189, 12436, 12704, 12044] | 14588 (n=4, +17.6%) [14541, 14233, 14988, 14634]
c_d1024x1024 | 23412 (n=4) [23657, 23166, 23104, 24214] | 23067 (n=4, -1.5%) [24442, 22622, 23312, 22822] | 26066 (n=4, +11.3%) [26153, 25465, 26908, 25978]
c_d8192x64 | 12889 (n=4) [12734, 12932, 12846, 12958] | 12782 (n=4, -0.8%) [12895, 12398, 12840, 12724] | 12080 (n=4, -6.3%) [11609, 11453, 12550, 12867]
d16384x32f | 25021 (n=4) [24724, 25039, 25003, 25225] | 25672 (n=4, +2.6%) [26129, 26087, 25256, 25188] | 30822 (n=4, +23.2%) [29779, 29365, 32221, 31864]
d4096x64f | 13289 (n=4) [13053, 12849, 13525, 13628] | 13525 (n=4, +1.8%) [13845, 13721, 13329, 13012] | 14295 (n=4, +7.6%) [12180, 13835, 14755, 15100]
d32x16384 | 12352 (n=4) [12292, 12258, 12413, 12695] | 12329 (n=4, -0.2%) [12429, 13016, 12003, 12229] | 14195 (n=4, +14.9%) [14528, 14417, 13277, 13973]
d64x8192 | 12926 (n=4) [12518, 12870, 12982, 13447] | 12486 (n=4, -3.4%) [12561, 12086, 12703, 12412] | 12595 (n=4, -2.6%) [12579, 12611, 12693, 12193]
hs_2c_big | 12948 (n=4) [12968, 12928, 12788, 13028] | 18275 (n=4, +41.1%) [18291, 18077, 18259, 18419] | 12870 (n=4, -0.6%) [12964, 12776, 12747, 12993]
