case | head | grad2 | unlocked
c_d2048x64 | 5062 (n=4) [4990, 5085, 5511, 5038] | 4516 (n=4, -10.8%) [4580, 4673, 4434, 4452] | 4538 (n=4, -10.4%) [4547, 4608, 4528, 4475]
c_d1024x256 | 7368 (n=4) [7213, 7645, 7417, 7319] | 6730 (n=4, -8.7%) [7038, 6687, 6756, 6703] | 6922 (n=4, -6.1%) [6946, 6897, 6571, 7165]
c_d2048x64f | 8360 (n=4) [8392, 8329, 7914, 8772] | 7284 (n=4, -12.9%) [7259, 7308, 7546, 7215] | 7332 (n=4, -12.3%) [7477, 7081, 7355, 7309]
c_d32x4096 | 5056 (n=4) [4927, 5040, 5207, 5071] | 4516 (n=4, -10.7%) [4490, 4540, 4492, 4665] | 4664 (n=4, -7.8%) [4693, 4603, 4772, 4634]
c_d8192x64 | 12722 (n=4) [12665, 12780, 12489, 12863] | 12658 (n=4, -0.5%) [12600, 12632, 12685, 12756] | 12510 (n=4, -1.7%) [12193, 13668, 12621, 12400]
c_d2048x256 | 12401 (n=4) [12131, 12054, 12671, 12843] | 12162 (n=4, -1.9%) [12263, 12708, 11963, 12060] | 14582 (n=4, +17.6%) [16297, 14274, 13888, 14889]
c_d4096x128 | 12854 (n=4) [12889, 12820, 12509, 12984] | 12633 (n=4, -1.7%) [12477, 12683, 12583, 13491] | 14432 (n=4, +12.3%) [13948, 14766, 14503, 14361]
c_d1024x1024 | 22940 (n=4) [22799, 23080, 22429, 23246] | 23183 (n=4, +1.1%) [23480, 23252, 22715, 23114] | 26226 (n=4, +14.3%) [26426, 26272, 25549, 26181]
c_bs16 | 6203 (n=4) [6203, 6060, 6225, 6203] | 6186 (n=4, -0.3%) [6216, 6115, 6670, 6155] | 6597 (n=4, +6.4%) [6144, 6577, 6629, 6617]
c_bs32 | 11040 (n=4) [11097, 10776, 11069, 11010] | 10563 (n=4, -4.3%) [10823, 10239, 11598, 10303] | 10751 (n=4, -2.6%) [11828, 10797, 10549, 10705]
c_hs_k24 | 11980 (n=4) [12090, 11859, 11944, 12015] | 11346 (n=4, -5.3%) [11284, 11407, 11573, 11021] | 10796 (n=4, -9.9%) [10779, 11258, 10814, 10753]
c_hs_k40 | 10584 (n=4) [10599, 10570, 10769, 10154] | 9176 (n=4, -13.3%) [9176, 9177, 8964, 9291] | 9096 (n=4, -14.1%) [9000, 9193, 8739, 9220]
c_ws16 | 3567 (n=4) [3496, 3536, 3685, 3598] | 3668 (n=4, +2.8%) [3666, 3714, 3652, 3669] | 3875 (n=4, +8.6%) [3698, 3995, 3860, 3890]
c_l1_256x64 | 2234 (n=4) [2198, 2361, 2226, 2241] | 2318 (n=4, +3.8%) [2225, 2353, 2334, 2301] | 2462 (n=4, +10.3%) [2498, 2427, 2502, 2416]
c_l1_4096x256 | 20842 (n=4) [21126, 20484, 20559, 23314] | 20225 (n=4, -3.0%) [21007, 20960, 18702, 19490] | 19487 (n=4, -6.5%) [20789, 18456, 18748, 20226]
