case | head | grad2 | off
7 | 15720 (n=4) [15407, 16032, 15612, 15827] | 14290 (n=4, -9.1%) [14427, 14542, 14154, 14075] | 15842 (n=4, +0.8%) [15677, 16008, 15224, 16315]
0 | 24054 (n=4) [24358, 24224, 23262, 23883] | 24006 (n=4, -0.2%) [23944, 24055, 23958, 24517] | 23896 (n=4, -0.7%) [23670, 24846, 23897, 23894]
1 | 13358 (n=4) [13393, 13278, 13323, 13452] | 13248 (n=4, -0.8%) [13212, 13156, 13283, 13395] | 13159 (n=4, -1.5%) [13101, 13446, 13054, 13217]
2 | 45462 (n=4) [45259, 44940, 46544, 45666] | 45672 (n=4, +0.5%) [45471, 45872, 45300, 48401] | 44758 (n=4, -1.5%) [44625, 46580, 44891, 44302]
3 | 2292 (n=4) [2276, 2293, 2292, 2488] | 2420 (n=4, +5.5%) [2402, 2464, 2437, 2304] | 2293 (n=4, +0.0%) [2385, 2286, 2297, 2289]
4 | 7307 (n=4) [7269, 7345, 6991, 7627] | 6774 (n=4, -7.3%) [6592, 6912, 6730, 6819] | 7166 (n=4, -1.9%) [7147, 7186, 7073, 7236]
5 | 3486 (n=4) [3511, 3335, 3462, 3514] | 3472 (n=4, -0.4%) [3403, 3622, 3477, 3467] | 3578 (n=4, +2.6%) [3614, 3536, 3576, 3581]
6 | 14408 (n=4) [14472, 13694, 14345, 14481] | 14392 (n=4, -0.1%) [14053, 14535, 15014, 14248] | 14087 (n=4, -2.2%) [14043, 13898, 14131, 14326]
8 | 10862 (n=4) [10823, 11097, 10883, 10841] | 10874 (n=4, +0.1%) [11081, 10887, 10841, 10860] | 10946 (n=4, +0.8%) [10911, 10894, 10981, 10997]
9 | 1872 (n=4) [1872, 1871, 1867, 1890] | 1881 (n=4, +0.5%) [1876, 1898, 1875, 1886] | 1889 (n=4, +0.9%) [1883, 1860, 1895, 1901]
10 | 1818 (n=4) [1778, 1835, 1803, 1834] | 1860 (n=4, +2.3%) [1853, 1869, 1802, 1868] | 1826 (n=4, +0.4%) [1822, 1817, 1863, 1831]
hs256 | 30444 (n=4) [30086, 31414, 29262, 30802] | 26272 (n=4, -13.7%) [25277, 26847, 25880, 26663] | 30678 (n=4, +0.8%) [31859, 30868, 29814, 30488]
bs1024 | 16110 (n=4) [15737, 16103, 17254, 16118] | 14138 (n=4, -12.2%) [14669, 13570, 14752, 13606] | 15849 (n=4, -1.6%) [15965, 15045, 16066, 15733]
l1_64 | 22700 (n=4) [22061, 22813, 22904, 22588] | 19734 (n=4, -13.1%) [19603, 19865, 19952, 19592] | 22294 (n=4, -1.8%) [22253, 22296, 23396, 22292]
l1_256 | 10254 (n=4) [10365, 10120, 10330, 10178] | 9400 (n=4, -8.3%) [8999, 9397, 9404, 10449] | 10263 (n=4, +0.1%) [10239, 10218, 10287, 10829]
hs512f | 32604 (n=4) [31999, 32809, 33061, 32400] | 29288 (n=4, -10.2%) [28557, 29671, 29748, 28904] | 33633 (n=4, +3.2%) [34202, 33064, 31827, 34759]
ws2048 | 7640 (n=4) [7508, 7693, 7586, 7823] | 7024 (n=4, -8.1%) [6926, 7092, 6956, 7498] | 7722 (n=4, +1.1%) [7633, 8147, 7810, 7339]
l1_pad | 8610 (n=4) [8854, 8580, 8641, 8553] | 8264 (n=4, -4.0%) [8298, 8231, 8078, 8428] | 8693 (n=4, +1.0%) [8763, 8607, 8810, 8623]
l1_pad_big | 45414 (n=4) [48897, 49544, 41931, 38469] | 41534 (n=4, -8.5%) [41408, 41659, 37018, 46774] | 43250 (n=4, -4.8%) [40776, 46467, 40683, 45724]
l1_lowl1_off | 22576 (n=4) [22557, 22810, 22596, 22392] | 19394 (n=4, -14.1%) [19344, 19356, 19433, 19626] | 22596 (n=4, +0.1%) [22453, 22738, 23363, 22451]
l1_lowl1_on | 22464 (n=4) [22199, 22814, 22687, 22240] | 19579 (n=4, -12.8%) [19195, 19435, 20094, 19723] | 22093 (n=4, -1.6%) [22077, 22129, 21885, 22109]
hs64 | 16750 (n=4) [16712, 17037, 16160, 16787] | 14675 (n=4, -12.4%) [14875, 15157, 14293, 14475] | 16208 (n=4, -3.2%) [16392, 15890, 17513, 16025]
hs1024 | 30794 (n=4) [31544, 30069, 31313, 30275] | 26034 (n=4, -15.5%) [26049, 26850, 26020, 24649] | 29672 (n=4, -3.6%) [30198, 29145, 30378, 28711]
hs_acc | 15952 (n=4) [16170, 16653, 15735, 15160] | 14677 (n=4, -8.0%) [14594, 15358, 14398, 14760] | 15567 (n=4, -2.4%) [15577, 15252, 16661, 15557]
l1_1024 | 40604 (n=4) [41194, 48524, 40015, 39762] | 35170 (n=4, -13.4%) [36862, 34697, 33727, 35644] | 41342 (n=4, +1.8%) [44170, 41962, 38217, 40721]
l1_retile | 10806 (n=4) [10736, 10801, 10811, 10875] | 10879 (n=4, +0.7%) [10913, 10845, 10774, 10925] | 10914 (n=4, +1.0%) [11048, 10779, 10566, 11062]
l1_64_t16 | 21496 (n=4) [21254, 21703, 21662, 21329] | 20348 (n=4, -5.3%) [19419, 20244, 20453, 20757] | 21281 (n=4, -1.0%) [21886, 21275, 21287, 21220]
c_l1_4096x256 | 20378 (n=4) [19717, 19435, 22601, 21039] | 19592 (n=4, -3.9%) [19036, 20760, 20147, 18548] | 21014 (n=4, +3.1%) [20222, 21807, 19821, 22098]
c_hs_k40 | 10022 (n=4) [10126, 9917, 9685, 10303] | 9066 (n=4, -9.5%) [9564, 9205, 8843, 8927] | 10234 (n=4, +2.1%) [10284, 9753, 10400, 10185]
c_bs32 | 11240 (n=4) [10811, 11369, 11110, 11470] | 10568 (n=4, -6.0%) [10444, 10209, 11156, 10691] | 11093 (n=4, -1.3%) [10674, 11276, 10910, 11934]
hs_k32 | 8275 (n=4) [8399, 8734, 8151, 7889] | 8064 (n=4, -2.5%) [8125, 8016, 8113, 7935] | 8348 (n=4, +0.9%) [8605, 8216, 8266, 8431]
c_d2048x64 | 5032 (n=4) [5014, 4798, 5232, 5049] | 4574 (n=4, -9.1%) [4845, 4551, 4530, 4596] | 5108 (n=4, +1.5%) [5274, 4805, 5163, 5052]
c_d1024x256 | 7396 (n=4) [7646, 7413, 7379, 7173] | 6844 (n=4, -7.5%) [6898, 7207, 6789, 6718] | 7492 (n=4, +1.3%) [7999, 7170, 7501, 7482]
c_d2048x64f | 8315 (n=4) [8086, 8617, 8150, 8480] | 7198 (n=4, -13.4%) [7202, 7559, 7176, 7194] | 8206 (n=4, -1.3%) [8374, 8222, 8190, 8101]
c_d32x4096 | 4866 (n=4) [4794, 4939, 4651, 4985] | 4582 (n=4, -5.9%) [4705, 4503, 4616, 4547] | 4936 (n=4, +1.4%) [4729, 5010, 4863, 5426]
d4096x64 | 7754 (n=4) [7481, 7888, 7842, 7665] | 6920 (n=4, -10.8%) [7127, 6883, 6956, 6615] | 7748 (n=4, -0.1%) [7777, 7866, 7720, 7558]
d4096x32f | 8710 (n=4) [8671, 8750, 9270, 8505] | 7720 (n=4, -11.4%) [7680, 7706, 7734, 7856] | 8800 (n=4, +1.0%) [8725, 9276, 8875, 8460]
w256 | 44246 (n=4) [43605, 44454, 44123, 44369] | 43390 (n=4, -1.9%) [43192, 43373, 43408, 44525] | 43284 (n=4, -2.2%) [43138, 43073, 43430, 43834]
c_d2048x256 | 12456 (n=4) [12593, 12964, 11936, 12318] | 12764 (n=4, +2.5%) [12707, 13220, 12694, 12820] | 12169 (n=4, -2.3%) [12555, 11783, 12812, 11495]
hs_k8 | 2982 (n=4) [2943, 3021, 2898, 3067] | 2936 (n=4, -1.6%) [3046, 3008, 2863, 2828] | 2878 (n=4, -3.5%) [2942, 2815, 2978, 2803]
