case | head | dram_in | min0 | both
0 | 23950 (n=4) [23245, 24026, 23975, 23926] | 30006 (n=4, +25.3%) [30729, 29599, 30414, 29080] | 23604 (n=4, -1.4%) [23362, 24271, 23129, 23845] | 29334 (n=4, +22.5%) [30752, 29119, 29550, 29018]
1 | 13376 (n=4) [13389, 13323, 13444, 13363] | 18197 (n=4, +36.0%) [17904, 18734, 18490, 17292] | 13325 (n=4, -0.4%) [13385, 13278, 13341, 13309] | 18554 (n=4, +38.7%) [19341, 18350, 18757, 17414]
2 | 45538 (n=4) [45680, 45328, 45397, 46583] | 58111 (n=4, +27.6%) [59350, 57530, 56937, 58692] | 45633 (n=4, +0.2%) [45903, 45514, 44654, 45752] | 58776 (n=4, +29.1%) [58819, 58790, 57047, 58763]
4 | 7328 (n=4) [7508, 8002, 7148, 6966] | 6804 (n=4, -7.1%) [7167, 6612, 6786, 6823] | 7216 (n=4, -1.5%) [7173, 7427, 6994, 7260] | 6762 (n=4, -7.7%) [6800, 6724, 6706, 6848]
6 | 14194 (n=4) [14135, 14335, 14254, 14040] | 12684 (n=4, -10.6%) [12163, 13308, 12875, 12492] | 14840 (n=4, +4.6%) [15053, 14677, 15004, 13677] | 12712 (n=4, -10.4%) [12639, 12633, 12790, 12786]
w256 | 43364 (n=4) [42745, 43500, 43227, 44889] | 58042 (n=4, +33.8%) [58896, 58601, 56392, 57483] | 43591 (n=4, +0.5%) [43085, 43311, 44373, 43871] | 57040 (n=4, +31.5%) [58508, 57199, 56627, 56880]
w1024 | 45782 (n=4) [45744, 45820, 46192, 45183] | 49861 (n=4, +8.9%) [50536, 49060, 50046, 49676] | 45804 (n=4, +0.0%) [45948, 44740, 45659, 46222] | 51360 (n=4, +12.2%) [50647, 51653, 52095, 51068]
w128 | 45920 (n=4) [46677, 46289, 45089, 45550] | 54090 (n=4, +17.8%) [54310, 53678, 56254, 53871] | 45253 (n=4, -1.5%) [44982, 45524, 45964, 44613] | 54056 (n=4, +17.7%) [53689, 51719, 56679, 54422]
3 | 2311 (n=4) [2289, 2314, 2508, 2308] | 2384 (n=4, +3.2%) [2414, 2358, 2411, 2347] | 2419 (n=4, +4.7%) [2379, 2474, 2459, 2306] | 2562 (n=4, +10.9%) [2583, 2542, 2526, 2597]
5 | 3600 (n=4) [3573, 3458, 3628, 3672] | 3544 (n=4, -1.6%) [3436, 3639, 3533, 3554] | 3488 (n=4, -3.1%) [3555, 3477, 3500, 3473] | 3598 (n=4, -0.1%) [3531, 3543, 3653, 3724]
hs_k8 | 2961 (n=4) [2929, 3075, 2993, 2922] | 2983 (n=4, +0.7%) [2994, 2972, 3037, 2944] | 3452 (n=4, +16.6%) [3475, 3446, 3457, 3425] | 3498 (n=4, +18.1%) [3519, 3603, 3378, 3477]
hs_k4 | 2664 (n=4) [2699, 2626, 2630, 2752] | 2774 (n=4, +4.1%) [2683, 2788, 2760, 2872] | 3426 (n=4, +28.6%) [3382, 3405, 3446, 3482] | 3410 (n=4, +28.0%) [3407, 3414, 3558, 3355]
hs_tiny | 2690 (n=4) [2570, 2619, 2761, 2760] | 2618 (n=4, -2.7%) [2591, 2645, 2587, 2726] | 3340 (n=4, +24.2%) [3268, 3367, 3313, 3575] | 3388 (n=4, +26.0%) [3384, 3393, 3377, 3394]
l1_pad | 8599 (n=4) [8343, 8641, 8557, 8666] | 8516 (n=4, -1.0%) [8564, 8333, 8467, 8742] | 8066 (n=4, -6.2%) [7990, 7870, 8141, 8154] | 8013 (n=4, -6.8%) [8340, 8005, 8021, 7990]
l1_128 | 2840 (n=4) [2818, 2794, 2969, 2861] | 2876 (n=4, +1.3%) [2880, 2871, 2887, 2866] | 2954 (n=4, +4.0%) [2975, 2932, 2821, 3033] | 2838 (n=4, -0.1%) [2841, 2828, 3053, 2835]
l1_512 | 6072 (n=4) [6149, 5751, 5994, 6491] | 5711 (n=4, -5.9%) [5667, 5983, 5755, 5596] | 5744 (n=4, -5.4%) [5628, 5930, 5785, 5704] | 5802 (n=4, -4.4%) [5899, 6067, 5699, 5706]
hs512s | 6096 (n=4) [5924, 6000, 6521, 6193] | 6220 (n=4, +2.0%) [6133, 6236, 6429, 6204] | 6080 (n=4, -0.3%) [5825, 5930, 6230, 6248] | 6236 (n=4, +2.3%) [6092, 6208, 6263, 6495]
hs_2c_big | 12910 (n=4) [12891, 12722, 12941, 12929] | 18538 (n=4, +43.6%) [18564, 18498, 18562, 18513] | 18379 (n=4, +42.4%) [18365, 18393, 18344, 18404] | 18560 (n=4, +43.8%) [18652, 18469, 18676, 18411]
