case | head | all_on
d8192x32 | 8613 (n=4) [8777, 8617, 8609, 8508] | 8434 (n=4, -2.1%) [8274, 8373, 8785, 8496]
d4096x32 | 6536 (n=4) [6325, 6431, 6657, 6641] | 6070 (n=4, -7.1%) [6138, 6024, 6116, 6005]
d4096x64 | 7708 (n=4) [7677, 7738, 7881, 7256] | 6938 (n=4, -10.0%) [6801, 7627, 6756, 7075]
d2048x128 | 7480 (n=4) [7369, 7462, 7497, 7698] | 7102 (n=4, -5.0%) [7197, 7007, 6971, 7326]
d64x8192 | 12482 (n=4) [12525, 12440, 12356, 13108] | 12721 (n=4, +1.9%) [12994, 12465, 12824, 12618]
d32x16384 | 12872 (n=4) [12862, 12881, 12913, 12227] | 14415 (n=4, +12.0%) [14305, 14525, 15500, 13641]
d16384x32f | 24968 (n=4) [26026, 24885, 25051, 24323] | 29809 (n=4, +19.4%) [29774, 29844, 30187, 29239]
d4096x32f | 8866 (n=4) [8460, 8868, 8864, 9004] | 7780 (n=4, -12.2%) [7823, 8068, 7607, 7737]
d4096x64f | 12945 (n=4) [13102, 12832, 13041, 12849] | 14108 (n=4, +9.0%) [14087, 14128, 14206, 13951]
6 | 14496 (n=4) [13796, 14405, 15061, 14586] | 13132 (n=4, -9.4%) [13109, 13154, 13401, 12936]
4 | 7426 (n=4) [7075, 7664, 7340, 7512] | 6750 (n=4, -9.1%) [6696, 6723, 6776, 6786]
hs_2c_big | 12802 (n=4) [12841, 12906, 12731, 12763] | 18543 (n=4, +44.8%) [18688, 18138, 18497, 18589]
hsb_k4 | 13171 (n=4) [13157, 13185, 13076, 13260] | 18549 (n=4, +40.8%) [18728, 18189, 18512, 18586]
hsb_k8 | 15629 (n=4) [15299, 15716, 15542, 16330] | 20010 (n=4, +28.0%) [20155, 19471, 20194, 19866]
hsb_k16 | 28719 (n=4) [28060, 28221, 31050, 29217] | 29774 (n=4, +3.7%) [29470, 30079, 28872, 30198]
hsb_k32 | 58078 (n=4) [58940, 57115, 58401, 57755] | 53940 (n=4, -7.1%) [54416, 53464, 53204, 54698]
hsb_k64 | 117291 (n=4) [118464, 117040, 115551, 117542] | 97926 (n=4, -16.5%) [98179, 97672, 98393, 97337]
hs_k4 | 2638 (n=4) [2624, 2636, 2641, 2724] | 3441 (n=4, +30.4%) [3402, 3458, 3457, 3425]
hs_k8 | 2932 (n=4) [3020, 2938, 2895, 2926] | 3525 (n=4, +20.2%) [3445, 3470, 3703, 3580]
hs_k16 | 4504 (n=4) [4937, 4539, 4339, 4469] | 4919 (n=4, +9.2%) [5013, 4983, 4838, 4855]
hs_k32 | 8419 (n=4) [8339, 8499, 8103, 8677] | 8211 (n=4, -2.5%) [8373, 8009, 8414, 8049]
hs_k48 | 12245 (n=4) [12230, 12080, 12260, 12507] | 10986 (n=4, -10.3%) [11210, 10761, 10578, 11517]
7 | 15532 (n=4) [15419, 16910, 15025, 15644] | 13902 (n=4, -10.5%) [13642, 14484, 13976, 13827]
hs_k16w | 21039 (n=4) [20325, 21461, 20801, 21277] | 21610 (n=4, +2.7%) [21705, 21547, 21617, 21603]
l1_k64 | 2852 (n=4) [2837, 2868, 2796, 2916] | 2890 (n=4, +1.3%) [2886, 2936, 2893, 2867]
l1_128 | 2862 (n=4) [2916, 2845, 2744, 2879] | 2868 (n=4, +0.2%) [2804, 2806, 2930, 2953]
l1_4096x32 | 5668 (n=4) [5757, 5623, 5713, 5537] | 5256 (n=4, -7.3%) [5190, 5306, 5222, 5290]
l1_pad | 8730 (n=4) [8630, 8626, 8965, 8831] | 8112 (n=4, -7.1%) [8180, 7958, 8160, 8064]
