family,candidate,prefill_pcc,decode_pcc,prefill_ms,traced_decode_ms,decision,artifact
baseline,starting_default,0.993391703,0.994005871,3.577945,0.791976,reproduced,before_default.json
residual,L1_interlayer,0.993391703,0.994005871,3.576924,0.786000,retain,candidate_l1_interlayer.json
projection,L1_packed_gate_up_32c,0.993391703,0.993981858,3.642007,0.782612,retain,candidate_packed_gate_up_32c.json
norm,distributed_norm,0.993391703,0.993981858,4.651343,0.795022,reject,candidate_distributed_norm_control.json
buffer,persistent_CCL_off,0.993391703,0.993981858,4.261291,0.797065,reject,sweep_persistent_off.json
activation,BFP8_matmul_outputs,0.993391703,0.993950133,4.381588,0.790555,reject,sweep_activation_bfp8.json
activation,attention_only_BFP8_final_policy,0.992527216,0.993768464,4.633630,0.771944,reject,sweep_activation_attention_bfp8_final.json
activation,MLP_only_BFP8_final_policy_7x100,0.992527216,0.993653497,3.504094,0.759567,reject,sweep_activation_mlp_bfp8_final_full.json
precision,MLP_BFP4_HiFi2,0.993391703,0.993981858,4.291264,0.951910,reject,sweep_precision_mlp_bfp4_hifi2.json
precision,attention_BFP8_LoFi_MLP_BFP4_LoFi,0.992527216,0.993698060,4.562953,0.759633,retain,sweep_precision_attention_bfp8_lofi_mlp_bfp4_lofi.json
precision,all_BFP4_attention_HiFi2,0.989919177,0.991395925,4.576528,0.780703,reject_PCC,sweep_precision_all_bfp4_attention_hifi2.json
precision,all_BFP4_LoFi,0.989795556,0.991162805,4.313586,0.758270,reject_PCC,sweep_precision_all_bfp4_lofi.json
precision,gate_BFP4_down_BFP8,0.995506899,0.996090513,4.474213,0.799069,reject,sweep_precision_gate_bfp4_down_bfp8.json
precision,gate_BFP8_down_BFP4_adapted64c_block5,0.996685231,0.997275621,5.001757,0.812011,reject,sweep_precision_gate_bfp8_down_bfp4_64c_block5.json
kv_cache,BF16,0.993391703,0.993982358,4.249060,0.785161,reject,sweep_precision_bf16_kv_control.json
ccl_dtype,BFP8,0.993243227,0.993902894,4.184984,0.805522,reject,autofix_bfp8_ccl_full_probe.json
ccl_dtype,BFP8_final_policy_7x100,0.992493754,0.993622454,3.708916,0.787956,reject,sweep_ccl_bfp8_final_full.json
fused_CCL_matmul,one_fused_gate_AG_plus_direct_up,0.993391703,0.993894090,4.351594,0.960300,reject,autofix_fused_ag_full_probe.json
fused_CCL_matmul,one_fused_gate_AG_plus_direct_up_final_policy_7x100,0.992527216,0.993663699,3.657417,0.930669,reject,sweep_fused_ag_final_full.json
fused_matmul_RS,O_and_down,0.992527216,0.993671192,4.365227,0.885514,reject,sweep_fused_rs.json
geometry,SDPA_8x4,0.992527216,0.993698060,4.322479,0.758606,retain,sweep_geometry_sdpa8x4.json
geometry,SDPA_group_width_8,0.992527216,0.993698060,4.539093,0.772048,reject,sweep_sdpa_group8.json
geometry,QKV_32c,0.992527216,0.993620847,4.484299,0.767764,reject,sweep_geometry_qkv32.json
geometry,O_20c,0.992527216,0.993699524,4.256854,0.761706,reject,sweep_geometry_o20.json
geometry,O_40c,0.992527216,0.993719229,4.286951,0.775129,reject,sweep_geometry_o40.json
geometry,gate_up_target64_resolved32_noop,0.992527216,0.993698060,4.329782,0.759756,diagnostic_not_64c,sweep_geometry_gate64.json
geometry,down_32c,0.992527216,0.993692323,4.468868,0.763292,reject,sweep_geometry_down32.json
block,QKV_in0_block5,0.992527216,0.993620847,4.189324,0.763179,reject,sweep_block_qkv5.json
block,QKV_in0_block2,0.992527216,0.993659458,4.418851,0.792033,reject,sweep_block_qkv2.json
block,O_in0_block1,0.992527216,0.993719229,4.511408,0.771079,reject,sweep_block_o1.json
block,gate_in0_block1,0.992527216,0.993659695,4.370129,0.872325,reject,sweep_block_gate1.json
block,down_in0_block7,0.992527216,0.993692323,4.101405,0.762449,reject,sweep_block_down7.json
block,down_in0_block2,0.992527216,0.993685492,4.521698,0.787857,reject,sweep_block_down2.json
prefill,grid10x10_block10,0.992527216,0.993698060,3.571924,0.759632,retain,sweep_prefill_control10x10.json
prefill,grid8x10_block10,0.992527216,0.993698060,3.680131,0.760140,reject,sweep_prefill_grid8x10.json
prefill,L1_interleaved_matmul_inputs_first_screen,0.992527216,0.993698060,3.611386,0.758609,retry_noise,sweep_prefill_l1_inputs.json
prefill,L1_interleaved_matmul_inputs_7prefill,0.992527216,0.993698060,3.579746,0.758915,reject,sweep_prefill_l1_inputs_full.json
geometry,gate_up_true64_padded_k_screen,0.992527216,0.993759643,4.344126,0.793048,promote_full,sweep_geometry_gate64_padded_k_screen.json
geometry,gate_up_true64_padded_k_7x100,0.992527216,0.993759643,3.525263,0.792797,reject,sweep_geometry_gate64_padded_k_full.json
buffer,persistent_CCL_off_final_policy_7x100,0.992527216,0.993698060,3.496240,0.771160,reject,sweep_persistent_off_final_full.json
final,final_default_7x100,0.992527216,0.993698060,3.566172,0.758047,selected,final_default.json
