kernel_id,kind,kernel_path,status,case_id,lane,test,test_evidence,factory_ids,selection,kernel_or_factory_evidence,hardware
S034,compute,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,selected,SM071,galaxy,models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py::test_corr_det[{arch}-wan_tp1],models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py:560,F034,"WAN whole-row RMSNorm, TP=1, prompt length512, width5120. TP1 uses the drain-only writer; TP2 uses the all-gather worker writer.",ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:190; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:216; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:264; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:365; ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp:387,"Existing fixture opens a 4x8 Galaxy mesh (32 devices), then a TP1/TP2 submesh."
S035,compute,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,selected,SM069,wormhole-n300,tests/ttnn/unit_tests/operations/ccl/test_minimals.py::test_rms_fuse_n300[silicon_arch_name={arch}-topology=Topology.Linear-device_params={'fabric_config': FabricConfig.FABRIC_1D}-output_dtype=DataType.BFLOAT16-residual_dtype=DataType.BFLOAT16-input_dtype=DataType.BFLOAT16-2x1_grid-use_noc1_only=False-fused_add=False-num_iters=5-num_links=1-fp32_dest_acc_en=False-num_devices=2-elements_per_batch=2048-input_shard_grid={[0-0 - 3-7]}-output_shard_grid=None],tests/ttnn/unit_tests/operations/ccl/test_minimals.py:1002,F035,"Fused RMS all-gather on N300, two devices, BF16, no residual add; smallest existing numeric case.",ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp:172; ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp:215,"Exactly two Wormhole devices (N300), 2x1 fabric mesh."
S036,compute,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,selected,SM070,blackhole-2x4,tests/ttnn/unit_tests/operations/experimental/test_attn_res_gather_softmax.py::test_matches_torch[silicon_arch_name={arch}-plain-fabric2d-mesh-2x4],tests/ttnn/unit_tests/operations/experimental/test_attn_res_gather_softmax.py:110,F036,"Plain AttnRes read, the smallest existing 2x4 fabric arm; 640 tokens per chip.",ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:94; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:271; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:278; ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp:287,"Exactly eight Blackhole devices, 2x4 physical box with 2D fabric."
S039,compute,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,selected,SM050,blackhole,tests/ttnn/nightly/unit_tests/operations/experimental/indexer_score/test_indexer_score.py::test_indexer_score_block_pool_large_blocks_per_unit[g1-bpu16],tests/ttnn/nightly/unit_tests/operations/experimental/indexer_score/test_indexer_score.py:1759,F040; F041,"Indexer block-pool fallback, one group and 16 blocks per unit (>8), reaches the reduce-helper branch.",ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:467; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:512; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp:591,One Blackhole device.
S040,compute,ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,selected,SM051,blackhole,tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_prepare_chunk_recurrence.py::test_prepare_chunk_recurrence_contract_accuracy_and_determinism[unit-h2-n4-k32-v64],tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_prepare_chunk_recurrence.py:315,F042,"Small KDA contract case: 2 heads, 4 chunks, K=32,V=64; output and determinism checked.",ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:384; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:690; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:697; ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp:705,One Blackhole device.
S041,compute,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,selected,SM052,blackhole,tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_sigmoid_gated_rms_norm.py::test_sigmoid_gated_rms_norm_is_accurate_and_deterministic[bf16-output-bf16-input],tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_sigmoid_gated_rms_norm.py:289,F043,Basic BF16 gated RMSNorm numerical case.,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp:131; ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp:136,One Blackhole device.
S045,compute,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,gap,,,,,F047,No direct unit test calls the experimental Quasar generic-reduction entry points. Quasar-named ResNet sum/mean tests call the standard entry points.,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp:21,
S046,compute,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,gap,,,,,F046; F048,No direct unit test calls the experimental Quasar generic-reduction entry points. Quasar-named ResNet sum/mean tests call the standard entry points.,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp:29,
S047,compute,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp,gap,,,,,F047,No direct unit test calls the experimental Quasar generic-reduction entry points. Quasar-named ResNet sum/mean tests call the standard entry points.,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:47; ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:104; ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp:128,
S051,compute,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp,selected,SM018,common,tests/ttnn/nightly/unit_tests/operations/reduction/test_deepseek_grouped_gate.py::test_grouped_gate[minimal_case],tests/ttnn/nightly/unit_tests/operations/reduction/test_deepseek_grouped_gate.py:418,F052,Existing minimal grouped-gate numerical configuration.,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:308; ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:444; ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp:472,One device; see the test for core-grid requirements.
